ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-430769.0982781843,140947.91856189197,30.480000244285367,33.001619185151746,-97.32075694732232,100.0,0.2315,153.1,1902.0,104.31,204.13,66096.0
113.0,-422262.3827589347,138778.02749180997,1122.0855297406135,32.98539224637289,-97.22863395649179,3681.0,0.2116,138.19,1402.0,119.31,202.71,65893.0
226.0,-415324.64432240766,134883.18276439974,1926.6559355141078,32.95302655620854,-97.15257414692715,6321.0,0.1907,123.37,925.0,134.31,202.03,65691.0
339.0,-410222.4505590509,129902.44863372282,2457.6100305909163,32.9101905802599,-97.09573783881864,8063.0,0.2011,129.3,929.0,139.33,199.8,65491.0
452.0,-405351.4518562743,124233.55414825419,2990.9517429359557,32.861064535069055,-97.04113094958845,9813.0,0.2178,139.12,1000.0,124.33,196.65,65295.0
565.0,-398712.6340107088,119699.90470978108,3564.7982243238093,32.822739543612066,-96.9681715374532,11696.0,0.2543,161.29,1214.0,109.33,189.94,65105.0
678.0,-389926.9821615204,116618.19041551666,4261.98187532139,32.79816048558224,-96.872936456949,13983.0,0.3013,189.49,1396.0,94.33,180.35,64924.0
791.0,-379026.821476206,115793.02182623379,5063.290406431688,32.79449387996808,-96.7560718396458,16612.0,0.4772,297.11,1721.0,109.33,152.73,64772.0
904.0,-362857.5087919039,110121.36502977886,6051.135059432044,32.7489075705616,-96.58100382044938,19853.0,0.6772,416.29,1221.0,118.83,133.31,64638.0
1017.0,-341762.2579459812,98510.32194999824,6751.944588625017,32.6512321028826,-96.35133645313744,22152.0,0.7675,467.41,721.0,116.91,123.86,64514.0
1130.0,-317601.355137004,86247.23749410563,7165.7189940078115,32.548144557550884,-96.0892633713264,23510.0,0.7773,470.76,728.0,117.33,121.55,64393.0
1243.0,-293359.3196842703,73720.12697453806,7583.417260963706,32.44215658834824,-95.82685064278323,24880.0,0.7865,473.67,733.0,117.25,119.1,64274.0
1356.0,-268951.9820551113,61148.55157320266,8003.9331009290945,32.3352586853671,-95.56328842023213,26260.0,0.7949,475.99,734.0,117.24,116.44,64157.0
1469.0,-244423.83790261735,48520.619571589785,8425.287354738128,32.22732679703233,-95.29905520565529,27642.0,0.8021,477.5,334.0,117.26,101.61,64056.0
1582.0,-219781.4433931389,35822.33979398013,8616.9668747183,32.1182292972947,-95.03422539987004,28271.0,0.8052,478.04,48.0,117.85,91.46,63964.0
1695.0,-195214.43237793513,22841.70852720937,8644.292436918715,32.006023576536826,-94.77077566952761,28361.0,0.8061,478.4,32.0,118.13,90.8,63874.0
1808.0,-170690.275072493,9732.233355263532,8662.638472613791,31.892102692865535,-94.5084070557029,28421.0,0.8069,478.75,39.0,116.99,90.91,63783.0
