ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-430769.09836360504,140947.91866255514,30.48000000032001,33.00161918602248,-97.3207569482843,100.0,0.3,198.38,2414.0,104.31,208.78,66091.0
118.0,-419300.51716799784,138022.5157992114,1474.7322802814665,32.979726563905565,-97.19656654080626,4838.0,0.5,325.19,2092.0,115.52,180.74,65910.0
236.0,-401683.6711030767,129613.29557553082,2726.273775651725,32.91069830728649,-97.00422230635861,8944.0,0.5708,365.75,1592.0,115.7,163.57,65747.0
353.0,-381846.98778828734,120064.66115441862,3678.628422959737,32.831899966497026,-96.78797000693025,12069.0,0.6451,408.61,1092.0,101.45,150.34,65597.0
471.0,-357685.8742953364,115170.94859242908,4331.79622109426,32.7959296506445,-96.52767712232355,14212.0,0.6545,411.27,1137.0,115.99,147.55,65449.0
589.0,-335388.46056640754,104300.76894122812,5012.108377990654,32.705175987279496,-96.28537007902196,16444.0,0.7219,449.71,690.0,118.02,138.61,65310.0
707.0,-311399.0554038049,91532.35473718822,5425.087149031578,32.597367013904524,-96.02487431705536,17799.0,0.7328,454.11,697.0,133.02,136.45,65174.0
825.0,-291338.2676218193,72809.4994497342,5842.191732794472,32.434497488635564,-95.80504263914618,19167.0,0.7437,458.38,704.0,140.82,134.22,65040.0
942.0,-273838.84310138493,51341.31143142131,6263.558834323563,32.24594554170347,-95.61246143020315,20550.0,0.7545,462.46,712.0,132.37,131.93,64908.0
1060.0,-253197.01619317126,32509.30201132689,6689.347409727393,32.08148823434455,-95.38805770355353,21947.0,0.765,466.28,719.0,117.37,129.51,64778.0
1178.0,-228181.10527840306,19556.178387970307,7119.724796236826,31.970354101363473,-95.11953204691862,23359.0,0.7751,469.75,727.0,104.23,127.04,64651.0
1296.0,-200672.90126237544,12582.719033907744,7554.550324816644,31.912845254971778,-94.82651892182038,24785.0,0.7847,472.74,272.0,113.55,109.84,64541.0
1413.0,-174441.84461009153,1150.1053172666882,7717.381811097913,31.814374609518573,-94.54659314674079,25319.0,0.7883,473.88,-134.0,128.55,95.51,64446.0
1531.0,-151972.1382621024,-16754.8999512802,7637.211088453215,31.656595691525226,-94.30602101656609,25056.0,0.5896,354.81,366.0,127.04,91.81,64354.0
1649.0,-134836.53006050238,-29685.529244656773,7856.221878000908,31.542471665805763,-94.1232134631668,25775.0,0.4041,242.46,855.0,112.04,141.04,64213.0
1767.0,-121273.75165569413,-35175.82893994459,8367.595902437744,31.49461541223617,-93.97942729548524,27453.0,0.6041,359.92,355.0,97.04,89.96,64123.0
1885.0,-99661.4761539315,-37844.194445870315,8579.786868394976,31.4726979963615,-93.75122619819689,28149.0,0.8041,477.66,-145.0,82.04,89.27,64034.0
2002.0,-70978.78362220418,-33832.717018318086,8492.793642094963,31.510901362328358,-93.44908222126014,27863.0,0.8036,477.96,-645.0,67.04,73.53,63960.0
2120.0,-44241.30844173502,-22504.48886874334,8106.615725712146,31.614117974668964,-93.16755109527637,26597.0,0.7982,477.29,-1145.0,52.22,59.92,63900.0
2238.0,-21279.589954890303,-4709.023725084478,7421.253733631602,31.774812320002436,-92.92545562577021,24348.0,0.6335,382.39,-659.0,67.22,52.47,63848.0
2356.0,138.77373129912706,4283.830518245619,7026.748164414838,31.85588540493754,-92.69887566283623,23054.0,0.4336,263.1,-159.0,82.22,68.01,63780.0
2474.0,15944.649059734507,6442.206777112426,6931.415744172585,31.875184553541825,-92.53148762322279,22741.0,0.6336,384.95,-621.0,97.21,56.54,63723.0
2591.0,39140.771918883904,3506.250461666647,6559.9660596914155,31.84822073164291,-92.28595598313912,21522.0,0.7659,467.67,-576.0,101.28,88.55,63635.0
2709.0,66993.94983463084,-2048.7238658715714,6215.5453751091245,31.796969932539312,-91.99146075061846,20392.0,0.6796,416.84,-76.0,88.7,90.86,63544.0
2827.0,92254.0137469408,-1476.7630918626476,6170.306229099266,31.800352243734352,-91.7241340383963,20244.0,0.488,299.5,424.0,73.7,94.72,63449.0
2945.0,109642.7367987974,3607.1055648703345,6424.249092201568,31.84453072185804,-91.53956870756701,21077.0,0.3181,194.6,924.0,88.26,167.15,63282.0
3063.0,121373.0008856699,3963.0885838581644,6977.365438603131,31.84654428965951,-91.41534806023965,22892.0,0.4643,281.94,1424.0,103.26,147.04,63135.0
