ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-855563.740826764,-521246.2032629826,30.480000303052503,33.0016018188928,-97.32071606802124,100.0,0.3,198.38,2414.0,49.59,408.01,65892.0
230.0,-838095.6249469758,-506371.99870956514,2852.8909438613177,33.1492001598333,-97.14869325864501,9360.0,0.5,319.92,1974.0,55.03,336.75,65555.0
460.0,-807543.248722868,-485006.6312286071,5161.069182043054,33.36525450356791,-96.842097005576,16933.0,0.6134,381.41,1480.0,55.03,290.78,65264.0
691.0,-770969.2301151507,-459428.6686967438,6891.52217888299,33.6229229163639,-96.47308287058164,22610.0,0.6855,416.74,1199.0,55.03,262.04,65002.0
921.0,-730926.6426000937,-431422.8256795661,8294.168778377358,33.90379914049679,-96.06655728963362,27212.0,0.7552,450.37,941.0,55.03,238.46,64764.0
1151.0,-687568.371765375,-401095.79268701107,9394.871550922164,34.20645629118146,-95.62336718763999,30823.0,0.7891,463.37,763.0,55.03,218.09,64546.0
1381.0,-642897.6886972935,-369852.1100825532,10287.40724905281,34.51660543075726,-95.16345046610742,33751.0,0.7839,454.39,263.0,55.04,174.09,64372.0
1611.0,-598900.9717906165,-339086.9809100977,10595.260842837573,34.82033556607911,-94.70713890725924,34761.0,0.7681,443.21,-0.0,55.05,150.98,64221.0
1842.0,-555881.0346322582,-309018.8539437744,10595.260840811516,35.115559028397094,-94.2577126298983,34761.0,0.7744,446.89,22.0,55.07,153.02,64068.0
2072.0,-512502.68784397125,-278720.56135064684,10621.12798410069,35.411388882265626,-93.80124894070667,34846.0,0.7744,446.68,21.0,55.09,152.43,63915.0
2302.0,-469132.0225613429,-248452.28534758976,10645.723498901787,35.70523677233491,-93.34151893900396,34927.0,0.7746,446.64,21.0,55.11,151.97,63763.0
2532.0,-425752.53261570906,-218203.6847300433,10670.416059524596,35.9971721089858,-92.8783090012209,35008.0,0.7748,446.58,21.0,55.13,151.5,63612.0
2762.0,-382367.49451354955,-187974.71076548158,10695.06380055224,36.287160710063844,-92.41161627554148,35089.0,0.775,446.52,21.0,55.15,151.03,63461.0
2992.0,-338979.6674088412,-157761.66424920186,10719.658123761506,36.57520149241936,-91.94143471682222,35169.0,0.7751,446.45,21.0,55.16,150.56,63310.0
3223.0,-295592.61052366905,-127559.0744591536,10744.245892853238,36.86130912093856,-91.46776811107493,35250.0,0.7753,446.38,21.0,55.16,150.09,63160.0
3453.0,-252210.80242174043,-97361.11665547547,10768.853391312332,37.14550144143355,-90.99063063116174,35331.0,0.7754,446.3,21.0,55.15,149.62,63011.0
3683.0,-208838.5289217375,-67162.50870572419,10793.477199098914,37.427791889193855,-90.51003406551662,35412.0,0.7756,446.22,21.0,55.14,149.15,62861.0
3913.0,-165478.6644863547,-36959.26205195165,10818.177116979236,37.70818291417874,-90.02597386815265,35493.0,0.7757,446.13,21.0,55.13,148.68,62713.0
4143.0,-122132.97728030731,-6750.063358901006,10842.938857421383,37.986653182336966,-89.53843242508029,35574.0,0.7758,446.03,21.0,55.11,148.21,62565.0
4374.0,-78800.81275532182,23464.290316369865,10867.79597462166,38.263162486055755,-89.04736453349243,35655.0,0.7759,445.93,21.0,55.1,147.75,62417.0
4604.0,-35479.943505858304,53680.7479709328,10892.773192808045,38.53764972561705,-88.55270719984652,35737.0,0.776,445.82,22.0,55.1,147.34,62269.0
4834.0,7832.971190820355,83895.0449003,10917.925188266501,38.81004181161165,-88.05438575193266,35820.0,0.7761,445.71,22.0,55.1,146.87,62123.0
5064.0,51141.2900784575,114102.35273870557,10943.311095992614,39.08025997842532,-87.5523268730767,35903.0,0.7762,445.58,22.0,55.11,146.4,61976.0
5294.0,94447.57440776376,144298.3158067126,10968.88838934748,39.34822878588777,-87.04646751530595,35987.0,0.7763,445.44,22.0,55.13,145.92,61830.0
5525.0,137754.60507028483,174480.8177681785,10994.773314969703,39.61389181999476,-86.5367430614531,36072.0,0.7763,445.3,22.0,55.14,145.45,61685.0
5755.0,181062.59116721858,204648.57583889962,11020.813058457194,39.877199681027996,-86.02311982052537,36158.0,0.7764,445.3,23.0,55.15,145.04,61540.0
5985.0,224373.20980889042,234803.96022353237,11047.130904514803,40.138134958649424,-85.50554692234353,36244.0,0.7764,445.33,23.0,55.16,144.57,61395.0
6215.0,267685.25839025225,264949.58303712937,11073.676236136338,40.39668252918374,-84.98400750476515,36331.0,0.7765,445.36,23.0,55.17,144.09,61251.0
6445.0,310997.18053996365,295090.02993734594,11100.408585883042,40.65284493035883,-84.45848851143312,36419.0,0.7765,445.4,23.0,55.16,143.62,61107.0
6676.0,354307.35361202207,325230.6912823069,11127.08902593926,40.90663180907949,-83.92897729858971,36506.0,0.7767,445.47,26.0,55.16,143.35,60964.0
6906.0,397617.7897220489,355378.4255640767,11157.64458388772,41.15806413219231,-83.39541678893067,36606.0,0.7757,444.91,45.0,55.15,143.99,60820.0
7136.0,440862.89995775506,385494.3981297437,11210.261435769908,41.40678744718306,-82.85859005364905,36779.0,0.7665,439.64,-455.0,55.13,109.52,60711.0
7366.0,483655.1285631991,415313.68701872503,10678.196183336822,41.65062122027014,-82.32334785182107,35033.0,0.7493,431.87,-500.0,55.11,107.41,60603.0
7596.0,525785.227127249,444690.472517499,10093.514078979,41.888429232757154,-81.79243560197193,33115.0,0.7112,413.41,-500.0,55.09,105.2,60498.0
7826.0,566101.1510683289,472822.32197814883,9508.831974611212,42.11389059191498,-81.28068678143083,31197.0,0.627,367.56,-1000.0,55.08,60.43,60438.0
8057.0,602073.8274836161,497939.4523678702,8339.46776587793,42.313289928170995,-80.82099728647594,27360.0,0.5925,353.16,-1500.0,55.06,32.23,60405.0
8287.0,636742.5204193473,522158.8990383978,6585.4214528296125,42.50384233628487,-80.3752168107764,21606.0,0.5388,328.89,-1544.0,55.05,27.82,60378.0
8517.0,669010.4926884032,544710.3335082284,4779.943696445264,42.67973278375139,-79.95786744041672,15682.0,0.4877,304.74,-1524.0,55.04,29.92,60348.0
8747.0,698882.1723892908,565592.5430834702,2997.9814024594457,42.84126382498323,-79.56941055703291,9836.0,0.4455,284.57,-1508.0,55.04,32.75,60315.0
8977.0,726755.4689356986,585080.4138497734,1234.9717227511053,42.99083190467169,-79.20511601233672,4052.0,0.3,195.66,-1030.0,49.59,37.72,60277.0
9208.0,744495.5729857321,600186.2179476429,30.479999699307488,43.109539999200315,-78.96882000135322,100.0,0.1545,102.14,-552.0,44.13,162.04,60115.0
