ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-855563.7408407457,-521246.2034606509,30.47999993966312,33.00160181711594,-97.32071606797732,100.0,0.1573,104.01,914.0,49.59,425.93,65874.0
233.0,-846176.4048797747,-513252.8310629479,1110.8429499285282,33.080949214928175,-97.22834175740161,3644.0,0.2012,131.39,1289.0,64.59,418.72,65455.0
465.0,-832160.6318948984,-506593.27808555856,2635.1404306983227,33.15218102202289,-97.08507280060559,8645.0,0.3458,221.83,1789.0,79.59,364.12,65091.0
698.0,-806456.8966214493,-501868.9934316146,4750.563856461103,33.21546281000878,-96.81475870317901,15586.0,0.5458,341.14,1289.0,64.59,276.22,64815.0
931.0,-769949.9598665786,-484522.83071391465,6274.861334789824,33.39937010377835,-96.43962200695667,20587.0,0.7458,457.08,789.0,49.59,261.85,64553.0
1164.0,-728547.0983270416,-449268.04798595374,7208.032864632146,33.74593264303042,-96.02554663367845,23648.0,0.778,470.93,728.0,42.83,249.82,64303.0
1396.0,-690441.937894008,-408166.729776271,8068.931260772235,34.14115229075945,-95.64865926258426,26473.0,0.7958,476.09,436.0,42.74,220.55,64083.0
1629.0,-651897.3824531782,-366454.6327892283,8584.342280280413,34.54103911918332,-95.26403765693428,28164.0,0.8045,477.87,46.0,43.43,188.67,63894.0
1862.0,-612577.3640553672,-324924.60886953736,8638.586126822098,34.938638588297316,-94.86719242172748,28342.0,0.8064,478.61,38.0,45.04,187.48,63707.0
2095.0,-572042.4905891845,-284448.1705367806,8682.93521533824,35.32628775343012,-94.45247374239567,28487.0,0.8081,479.35,40.0,45.73,187.08,63520.0
2327.0,-530965.1502796811,-244397.99817991495,8730.489383664724,35.709053740200424,-94.02757320648566,28643.0,0.8099,480.08,33.0,45.98,186.06,63334.0
2560.0,-489647.09175471263,-204464.11785772262,8769.311840489334,36.089458076219366,-93.59591939620269,28771.0,0.8116,480.82,35.0,46.15,185.73,63148.0
2793.0,-448145.0203134407,-164595.96945287217,8810.511061462528,36.46786194668545,-93.158068192294,28906.0,0.8133,481.55,31.0,46.29,184.99,62963.0
3025.0,-406483.4432712439,-124764.00166936804,8846.616397556676,36.8444602858566,-92.71420591468313,29024.0,0.8149,482.29,25.0,46.07,184.21,62779.0
3258.0,-364909.731615719,-84709.36780144692,8875.836423619252,37.22142164179424,-92.26714580253244,29120.0,0.8165,483.02,-123.0,46.07,174.64,62604.0
3491.0,-323220.39099912083,-44545.86432017082,8730.542570502008,37.59777024063804,-91.81442786103452,28644.0,0.8158,483.57,-500.0,46.01,153.27,62451.0
3724.0,-281394.9864855174,-4173.137674828216,8139.416643823836,37.97436039843105,-91.3557351907709,26704.0,0.8066,482.1,-500.0,45.62,161.62,62289.0
3956.0,-239978.54861759325,36361.94044164299,7548.29071138924,38.35056820682106,-90.89715352044831,24765.0,0.62,373.57,0.0,43.65,149.87,62139.0
4189.0,-209108.18402502872,68726.06132222699,7548.290711993095,38.649184007080024,-90.55294419455221,24765.0,0.42,253.07,500.0,58.65,213.63,61926.0
4422.0,-183343.3748100044,84424.10672404713,8139.4166265070035,38.79596155338099,-90.260494525718,26704.0,0.62,370.56,448.0,73.65,181.05,61745.0
4655.0,-140932.35292051226,96868.72905334871,8669.49395323371,38.915572414612846,-89.77375202793125,28443.0,0.82,486.49,-52.0,72.11,182.73,61562.0
4887.0,-85480.00804352827,114769.62796599246,8608.445369441644,39.083610967361125,-89.13510689728852,28243.0,0.82,486.91,-48.0,71.65,183.94,61378.0
5120.0,-30128.92025816412,133134.18480996194,8551.876053923515,39.252379925304766,-88.4946672804681,28057.0,0.82,487.29,-45.0,71.56,185.01,61193.0
5353.0,25236.98747012774,151595.5480566499,8499.009790292199,39.418559194726626,-87.85102105178998,27884.0,0.82,487.65,-500.0,71.9,158.34,61034.0
5585.0,80957.27504514033,169808.7719674572,7907.8838655860845,39.578975471073825,-87.20025465034624,25945.0,0.8083,484.65,-0.0,86.9,196.48,60838.0
5818.0,138896.48464580489,172947.61424323102,7907.88379105405,39.59992620850222,-86.52373572514493,25945.0,0.779,467.06,381.0,101.9,209.38,60629.0
6051.0,193442.58652323514,161453.89500681584,8357.935919371117,39.486256902804136,-85.89067921018137,27421.0,0.82,488.61,-119.0,102.54,183.67,60445.0
6284.0,250600.84257215424,148735.13639029767,8216.862115765787,39.357505685555495,-85.22977840755023,26958.0,0.8178,488.28,49.0,87.54,195.58,60249.0
6516.0,308982.7482660939,151238.23467963756,8274.310616483013,39.361434428300846,-84.55015986788777,27147.0,0.82,489.18,-33.0,72.54,190.09,60059.0
6749.0,364868.0923709066,168810.60234356826,8235.159782771232,39.497817874241484,-83.8913271218517,27018.0,0.82,489.45,-281.0,57.54,176.13,59883.0
6982.0,414427.5328679335,200328.78873583008,7902.412645202701,39.75866372600496,-83.2950025027714,25927.0,0.813,487.48,219.0,42.54,209.71,59673.0
7215.0,453820.75478711096,243251.26196806235,8160.791281473558,40.12408377623332,-82.80538499728455,26774.0,0.82,489.95,-30.0,27.54,192.04,59481.0
7447.0,480953.9375621718,295273.88830880367,8125.763206245232,40.57590955649742,-82.44822171807267,26659.0,0.82,490.19,-28.0,25.19,192.7,59289.0
7680.0,505940.19482398545,348391.853109504,8092.088809712072,41.03764401592834,-82.11068124284502,26549.0,0.82,490.41,223.0,32.23,207.56,59081.0
7913.0,537193.6976347545,397970.47386546026,8355.719878962082,41.462609404755995,-81.69627493816465,27414.0,0.82,488.63,-277.0,46.76,172.92,58908.0
8145.0,579910.4163971869,438133.90151698585,8028.225005148817,41.79380079901248,-81.14736047493918,26339.0,0.82,490.85,-777.0,48.47,151.04,58757.0
8378.0,624172.5999416002,477340.7170219841,7109.604184443647,42.11260045189418,-80.57507822873922,23325.0,0.7963,482.68,-1277.0,48.35,132.77,58624.0
8611.0,667775.7907778284,516118.1393202123,5599.857416287569,42.4252020142474,-80.0054871256351,18372.0,0.7,432.8,-1777.0,44.86,84.73,58540.0
8844.0,704786.2278728187,553313.7831020766,3498.9847063115903,42.72652276128553,-79.51235566520153,11480.0,0.5,317.42,-1717.0,34.59,31.86,58508.0
9076.0,726593.5661257907,584942.5518709499,1469.1695607616941,42.9897462800963,-79.20726832246591,4820.0,0.3,195.13,-1217.0,49.59,37.76,58470.0
9309.0,744495.573181952,600186.2179545363,30.4799999974285,43.10953999908139,-78.96881999894333,100.0,0.1,66.13,-717.0,64.59,359.45,58111.0
