ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-855563.740924191,-521246.20336187404,30.479999999987626,33.00160181792669,-97.32071606896355,100.0,0.3,198.38,515.0,49.59,234.38,66066.0
231.0,-837647.1105310754,-505990.0857260495,635.8946703003166,33.15298692112328,-97.1442688981035,2086.0,0.5,328.36,1015.0,35.03,290.22,65775.0
463.0,-815368.3667239394,-474209.9270324221,1829.1967720647156,33.455334006356495,-96.93613688750155,6001.0,0.653,422.94,663.0,50.03,309.84,65466.0
694.0,-776954.9306446272,-442013.1773348624,2608.772214915598,33.773920723229445,-96.55330305765867,8559.0,0.6642,426.25,661.0,64.47,297.57,65168.0
926.0,-731377.0296014125,-420241.1533408185,3386.432059579372,34.003480721030485,-96.0811122381848,11110.0,0.6799,432.2,667.0,65.84,287.76,64880.0
1157.0,-684653.0869295725,-399283.2161385923,4170.280044760137,34.22472210719919,-95.59326938765062,13682.0,0.7011,441.38,679.0,78.11,280.34,64600.0
1389.0,-633487.011221755,-388512.42269854835,4968.413574791048,34.35565246496563,-95.04677310682835,16301.0,0.7227,450.45,692.0,63.11,272.46,64327.0
1620.0,-585902.9646163998,-364384.69306036725,5781.473399508136,34.60159845511828,-94.54702076945254,18968.0,0.7445,459.21,502.0,48.11,251.74,64076.0
1852.0,-545355.992794245,-328019.9531822928,6371.8447200816645,34.951238078374125,-94.12943936039714,20905.0,0.76,465.22,2.0,33.21,213.43,63862.0
2083.0,-515015.1458132667,-281675.5706571193,6374.365047709582,35.383538045690386,-93.8270010733174,20913.0,0.7608,465.65,19.0,48.21,214.54,63648.0
2315.0,-473680.19021057116,-244733.48446802224,6396.440669595436,35.736343613653304,-93.39404305314513,20986.0,0.5608,343.14,500.0,63.21,194.3,63453.0
2546.0,-437352.9765238786,-226392.86261738962,6984.278091616173,35.91837678989551,-93.00245572864182,22914.0,0.561,340.6,22.0,78.21,148.1,63305.0
2777.0,-397659.1428270032,-218109.07496377654,7009.794201638194,36.01026997210175,-92.56648007866681,22998.0,0.761,461.87,-392.0,63.38,173.58,63132.0
3009.0,-348343.8805296928,-193391.38341979266,6548.9543432879145,36.25175460158069,-92.02993461010482,21486.0,0.7622,465.46,108.0,55.75,216.1,62916.0
3240.0,-302569.00893375644,-162227.21194326208,6675.738273500385,36.54759879339731,-91.53221534192016,21902.0,0.7686,468.56,500.0,40.75,239.63,62676.0
3472.0,-266292.9713207999,-120130.77786440299,7263.498849960886,36.93693373820036,-91.14126762975258,23830.0,0.5758,348.27,500.0,45.53,188.15,62488.0
3703.0,-236822.98454631792,-91197.06768432779,7851.332839112019,37.20498072963589,-90.81907203264714,25759.0,0.7758,465.5,400.0,47.5,212.3,62276.0
3935.0,-196092.2999793041,-53871.024711661354,8321.429248564753,37.550087376866,-90.36930173523449,27301.0,0.8106,483.23,-100.0,32.5,183.18,62092.0
4166.0,-165153.92843290776,-5302.900384928664,8203.749547016405,37.99284469948861,-90.02955795599911,26915.0,0.6731,401.95,400.0,45.31,182.92,61909.0
4398.0,-131239.12636875806,28241.381736793708,8673.898370507706,38.30000262092076,-89.6487935404434,28458.0,0.6194,367.48,-0.0,60.31,141.33,61768.0
4629.0,-93225.5527172977,49911.04361329145,8673.842358468164,38.499602393221544,-89.21607932201808,28457.0,0.8194,486.13,-500.0,68.07,154.24,61614.0
4861.0,-39310.39268449312,71612.38784257357,8085.965399430527,38.69874996564941,-88.59775933402115,26529.0,0.6263,374.6,-500.0,53.07,105.6,61508.0
5092.0,-3511.9113245846597,98515.2831728769,7498.6296668185,38.94155228162507,-88.18539010768986,24602.0,0.5101,307.58,-456.0,60.83,94.32,61414.0
5323.0,28581.549040959366,116426.07364665816,6962.007197920751,39.10217325400638,-87.81357485235121,22841.0,0.7101,431.27,-124.0,75.83,170.82,61243.0
5555.0,78420.46334089806,129005.00948488693,6815.860666927075,39.21227680942921,-87.23460413795785,22362.0,0.6776,412.34,376.0,61.32,197.23,61046.0
5786.0,121366.53960640686,152496.5581417795,7257.512862721541,39.41864436508241,-86.73199726278328,23811.0,0.5327,322.21,500.0,76.32,182.64,60863.0
6018.0,158491.71552027983,161532.10967654843,7845.380726555883,39.49396801038485,-86.29780568438933,25739.0,0.7327,439.67,463.0,61.93,201.68,60662.0
6249.0,204511.73450536426,186069.32221069146,8389.411764862605,39.70500509287895,-85.7542077306193,27524.0,0.82,488.4,-37.0,46.93,187.02,60475.0
6481.0,247010.07659639083,225791.12982647977,8345.561989100685,40.05097779672744,-85.24285794304953,27380.0,0.82,488.7,-36.0,31.93,187.77,60287.0
6712.0,277797.93000706716,275188.24340893497,8303.677798781719,40.485465098500896,-84.86028002122883,27243.0,0.82,488.98,-34.0,33.6,188.53,60098.0
6944.0,310029.4734442575,323695.4843505946,8263.56088973832,40.91013135036512,-84.45595208943178,27111.0,0.82,489.25,-33.0,42.33,189.22,59909.0
7175.0,349266.140808641,366776.9121712117,8225.016794777395,41.28175332121821,-83.9656604860018,26985.0,0.82,489.51,-500.0,53.88,162.47,59747.0
7407.0,396535.1911401199,401277.16497381794,7637.133465156283,41.570490066909635,-83.37885732751005,25056.0,0.8011,482.1,-76.0,56.76,192.77,59554.0
7638.0,444575.3147339611,432763.452394374,7548.1349452084305,41.82881108420011,-82.77977518673931,24764.0,0.805,485.04,159.0,62.88,209.64,59344.0
7869.0,495915.6331331254,459052.93012450426,7735.616578668713,42.03549674675833,-82.14034329544005,25379.0,0.8105,487.13,-327.0,62.99,179.31,59165.0
8101.0,547727.2651933236,485461.90516056994,7350.761528425354,42.23945077010279,-81.49100783476851,24117.0,0.8006,483.71,-808.0,63.55,155.71,59009.0
8332.0,599616.4561217884,511276.2545351597,6400.6706383061255,42.43442606387014,-80.83721111967223,21000.0,0.774,473.56,-1264.0,62.4,138.64,58871.0
8564.0,650056.8397185773,537642.7022258168,4914.264317867923,42.6318386470871,-80.19642265083914,16123.0,0.693,432.26,-1567.0,59.83,108.56,58762.0
8795.0,695042.989171489,563792.1669847961,3071.819392835365,42.82846756997136,-79.61838777589074,10078.0,0.4963,316.72,-1524.0,56.15,35.14,58727.0
9027.0,726664.2346491299,585002.7270211676,1280.4827243152229,42.990220147725,-79.20632887557312,4201.0,0.3,195.56,-1063.0,49.59,37.86,58689.0
9258.0,744495.5730853969,600186.2180476486,30.479999999999816,43.10954000000095,-78.9688200000034,100.0,0.1037,68.57,-603.0,43.02,366.17,58323.0
