ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-91533.94510818699,167971.8332341896,30.480000304523063,33.00163555790129,-97.32075950892042,100.0,0.3,198.38,2414.0,150.44,102.22,66198.0
58.0,-88662.42373449281,162909.69655859802,737.6100589661565,32.956344681451505,-97.28948833479826,2420.0,0.4752,311.7,2291.0,150.0,92.23,66106.0
115.0,-84068.91586069917,154952.51022273596,1408.8622211356706,32.88514209185914,-97.2395437768107,4622.0,0.4913,319.76,2144.0,150.03,89.26,66016.0
173.0,-79357.00596598034,146782.44288645388,2037.1423310827672,32.812013691707534,-97.18839446017354,6684.0,0.507,327.57,2013.0,150.07,86.38,65930.0
231.0,-74534.26665984334,138404.56570881006,2626.8529645970143,32.737003108902584,-97.13612786136338,8618.0,0.5225,335.23,1893.0,150.14,83.57,65846.0
288.0,-69606.64313571714,129821.06952843655,3181.5956675599464,32.66012828093888,-97.082813585666,10438.0,0.5395,343.8,1787.0,150.23,80.97,65765.0
346.0,-64564.48393018513,121007.20491401425,3705.1195935893966,32.581165853454614,-97.02835277452054,12156.0,0.5581,353.39,1708.0,150.33,78.86,65687.0
404.0,-59396.45894103944,111935.70650876235,4205.513237790244,32.49986973324315,-96.97262952562164,13798.0,0.5766,362.84,1631.0,150.45,76.81,65610.0
461.0,-54107.51272014879,102608.41059003845,4683.280176487936,32.41625452047182,-96.91570414122027,15365.0,0.5949,372.17,1555.0,150.57,74.82,65535.0
519.0,-48702.10518124663,93027.17478934169,5138.8975402989845,32.33033509896877,-96.85763165879062,16860.0,0.6132,381.41,1481.0,150.7,72.91,65462.0
577.0,-43183.69085585505,83193.30845043888,5572.761544472284,32.2421215266043,-96.79845629471949,18283.0,0.6315,390.61,1408.0,150.83,71.07,65391.0
634.0,-37554.43872438955,73107.19601128499,5985.1559289397355,32.151615636977844,-96.73820850635121,19636.0,0.6499,399.84,1335.0,150.96,69.3,65322.0
692.0,-31814.6970100669,62767.39277823863,6376.175384997527,32.05880289335479,-96.6768993665742,20919.0,0.6684,409.1,1262.0,151.09,67.6,65254.0
750.0,-25964.185167083095,52173.21680924784,6745.93764619666,31.963675626232032,-96.61453341515207,22132.0,0.687,418.44,1189.0,151.21,65.98,65188.0
807.0,-20000.89928196807,41322.950252596704,7094.419316757818,31.866216861575083,-96.55109703793585,23276.0,0.7374,447.06,951.0,151.31,63.44,65125.0
865.0,-13646.454267700095,29711.84469380175,7373.1814558282485,31.761889029831533,-96.48364632084683,24190.0,0.7057,426.23,451.0,151.39,52.09,65072.0
923.0,-7597.616797892727,18620.155047487566,7505.456673249998,31.66219500936931,-96.4195803446981,24624.0,0.661,398.49,-49.0,151.46,39.64,65033.0
980.0,-1948.5405673739933,8232.881622588136,7491.244969022595,31.5688034354981,-96.35987237914172,24578.0,0.612,369.03,-549.0,151.51,26.69,65006.0
1038.0,3279.3815712724545,-1399.4886735088635,7330.546343146505,31.482174397583396,-96.30472236212752,24050.0,0.5769,348.64,-1049.0,151.54,14.92,64991.0
1096.0,8216.505958743277,-10508.381141312533,7023.360795627324,31.40023156586103,-96.25273396967376,23043.0,0.5648,342.74,-1139.0,151.56,12.99,64978.0
1153.0,13067.545386901702,-19465.026032331534,6689.613933175735,31.319637982224414,-96.20174046484345,21948.0,0.5512,335.98,-1151.0,151.56,12.38,64966.0
1211.0,17822.10958167776,-28244.9973304757,6352.329270191,31.24061464087826,-96.15184573261068,20841.0,0.5382,329.54,-1160.0,151.55,11.85,64954.0
