ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-91533.94510820048,167971.8332350108,30.480000287128323,33.00163555790868,-97.32075950892063,100.0,0.3,198.38,2414.0,150.44,109.36,66191.0
62.0,-88462.86152748422,162557.89309705782,786.9692952834932,32.9531968109057,-97.2873162720565,2582.0,0.2876,188.54,2155.0,135.44,108.44,66082.0
123.0,-84306.59219031347,158337.9238968026,1462.5014545371537,32.915568074943465,-97.24239525344501,4798.0,0.2446,159.12,1655.0,120.44,108.94,65973.0
185.0,-79988.16931513979,155800.70041625647,1981.3215822443965,32.89306743881768,-97.19592046312687,6500.0,0.21,135.75,1155.0,105.44,109.47,65864.0
247.0,-75858.45127457213,154660.4165253778,2343.429678605364,32.88309952641593,-97.15160306400116,7688.0,0.2007,129.2,946.0,90.44,109.29,65754.0
308.0,-71775.83112618321,154629.36901901278,2639.79784382384,32.88308845409388,-97.1078852009785,8661.0,0.2271,145.68,1185.0,75.44,107.56,65647.0
370.0,-67324.98895147168,155785.7644851502,3011.3255863285476,32.89376315862551,-97.0603103366397,9880.0,0.2594,165.67,1408.0,63.12,105.11,65542.0
432.0,-62663.65254590159,158148.43793790182,3452.6704324519387,32.91528004041347,-97.01055091611647,11328.0,0.2545,161.67,1238.0,78.12,104.07,65438.0
494.0,-57668.432422879385,159199.17525344953,3840.6766094326554,32.9249968368972,-96.95710903819715,12601.0,0.2608,164.86,1181.0,93.12,102.4,65335.0
555.0,-52468.68300717266,158915.6467371748,4210.778151027713,32.92270205134216,-96.90138901096668,13815.0,0.2734,172.02,1182.0,108.12,100.31,65235.0
617.0,-47303.554272082285,157225.3172084253,4581.1705776437575,32.907730301374094,-96.8459712211436,15030.0,0.2885,180.72,1196.0,123.12,97.93,65137.0
679.0,-42521.129721678924,154105.18398807012,4956.142523493632,32.87986193054429,-96.79460511363598,16260.0,0.3185,198.53,1304.0,138.12,94.63,65042.0
740.0,-38334.449932500975,149435.59514113687,5364.770712902796,32.838018452847265,-96.74958430429255,17601.0,0.3631,225.21,1447.0,153.12,90.37,64952.0
802.0,-35118.66411613952,143091.14592857385,5818.29751463866,32.78106707221218,-96.71492887605208,19089.0,0.4614,284.49,1658.0,168.12,83.42,64869.0
864.0,-33269.32220726609,134299.3456086626,6337.829210317548,32.702057449562176,-96.69483668948426,20793.0,0.6614,405.04,1311.0,176.34,72.71,64796.0
925.0,-32452.016321541374,121510.95053401333,6748.835996267682,32.587073547934736,-96.6856616195306,22142.0,0.7544,459.44,811.0,161.34,68.1,64728.0
987.0,-27795.625070092614,107720.00323995018,7003.130750634152,32.463173487242095,-96.63555939263003,22976.0,0.7728,469.11,725.0,156.2,66.88,64661.0
1049.0,-21797.45309168109,94118.82026012344,7230.3271505809025,32.340986833716315,-96.57131728367547,23722.0,0.7781,470.84,728.0,155.46,66.17,64595.0
1111.0,-15600.382023605047,80547.19539841899,7458.638942209273,32.219036512284006,-96.50513404995625,24471.0,0.7831,472.42,731.0,155.53,65.44,64529.0
1172.0,-9399.792429295198,66922.16230156987,7687.87553719913,32.09657177892274,-96.43908959769522,25223.0,0.7879,473.84,733.0,155.49,64.69,64465.0
1234.0,-3171.032552159268,53260.67607922878,7917.766466977945,31.973745375436526,-96.37292256622824,25977.0,0.7924,475.07,735.0,155.45,63.92,64401.0
1296.0,3082.7338718936526,39568.04944924549,8147.979783238304,31.85060487680901,-96.30666706973416,26732.0,0.7966,476.07,734.0,155.43,63.08,64338.0
1357.0,9354.643062298588,25849.112808004607,8378.159253532685,31.727193612493906,-96.24039602782696,27487.0,0.8004,476.8,655.0,155.41,60.97,64277.0
1419.0,15642.766538344176,12109.136647619214,8583.35686925003,31.60355892877144,-96.17412975121604,28161.0,0.8034,477.2,155.0,155.39,51.85,64225.0
1481.0,21949.279590384544,-1655.977367497274,8631.981502418423,31.479663898120894,-96.10784531357015,28320.0,0.8043,477.4,189.0,155.56,52.25,64173.0
1542.0,28214.71933077615,-15445.556557945063,8691.346310322999,31.35551605555583,-96.04216888713648,28515.0,0.8052,477.59,144.0,155.73,51.27,64121.0
1604.0,34443.59917199646,-29259.84639734033,8736.632891915579,31.231113993995805,-95.97705039636787,28663.0,0.806,477.76,-356.0,155.74,42.53,64079.0
1666.0,40680.0512841415,-43094.74294048881,8625.207442045561,31.10649390156468,-95.91202378298561,28298.0,0.8051,477.97,-856.0,155.73,34.37,64044.0
1728.0,46927.21003446158,-56948.18880605147,8357.069960618544,30.98167427739974,-95.84705551065332,27418.0,0.8018,477.8,-1356.0,155.69,26.91,64018.0
1789.0,53187.13640926907,-70803.71049056985,7932.220447619718,30.856803250097226,-95.78212265821453,26024.0,0.795,476.49,-1856.0,155.72,20.23,63997.0
1851.0,59426.98505498242,-84634.14995765839,7350.658903045984,30.732126756190322,-95.71756659572677,24116.0,0.7834,473.29,-2356.0,155.75,14.47,63983.0
1913.0,65620.85994469022,-98382.3095397102,6612.385326901525,30.608161161296625,-95.65365173551163,21694.0,0.7664,467.65,-2500.0,155.71,14.09,63969.0
1974.0,71749.21901705861,-111963.04716572349,5828.825168970273,30.48567424938709,-95.5905715673669,19123.0,0.7468,460.39,-2500.0,156.0,15.56,63953.0
2036.0,77713.31180382134,-125361.65022720459,5045.265011037012,30.364806007871813,-95.52934756568234,16553.0,0.7263,452.29,-2500.0,155.68,16.93,63936.0
2098.0,83646.41071964498,-138488.8630490296,4261.70485310398,30.24635227256203,-95.46857476948236,13982.0,0.5263,331.0,-2500.0,170.68,8.12,63928.0
2159.0,85351.70728250194,-148878.02655549935,3478.1446951714124,30.152804402890588,-95.45167789530004,11411.0,0.3263,207.22,-2500.0,170.31,8.98,63919.0
2221.0,86456.8347065037,-155346.97912144096,2694.584537238878,30.09455139900366,-95.44072241611994,8841.0,0.1993,127.76,-2500.0,155.31,9.98,63909.0
