ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-91533.9451081755,167971.83343417814,30.480000302248165,33.0016355596997,-97.32075950894001,100.0,0.3,198.38,2414.0,150.44,87.29,66213.0
49.0,-89080.34182151688,163646.43460765574,634.3349181580932,32.96293675191082,-97.29403751435217,2081.0,0.5,328.36,2160.0,135.44,77.73,66135.0
98.0,-83272.93395436894,157750.0211790943,1174.781459883873,32.91035838189429,-97.23127064663608,3854.0,0.4938,322.28,2153.0,120.44,76.7,66058.0
148.0,-76270.19389124494,153635.66808550124,1713.3976193934582,32.8738563650667,-97.15592801471826,5621.0,0.4839,313.84,2148.0,105.44,75.85,65982.0
197.0,-68647.32920189359,151530.86826098416,2250.8261625822183,32.85541959378579,-97.0741579592841,7385.0,0.4631,298.49,2153.0,110.15,75.59,65907.0
246.0,-61588.66831637641,148940.50712200342,2789.590128958429,32.83253344373976,-96.99842779931114,9152.0,0.4815,308.34,2040.0,125.15,73.23,65834.0
295.0,-55234.61516636027,144466.19304280402,3299.886114077169,32.79262596350424,-96.93016365475494,10826.0,0.5819,370.33,1540.0,140.15,66.64,65767.0
345.0,-49241.828373761135,137285.68270510464,3685.089342980701,32.72832951531812,-96.86568086867402,12090.0,0.6507,412.17,1040.0,155.15,62.56,65704.0
394.0,-44862.07000290426,127827.85966186407,3945.199815668241,32.64345758619316,-96.81841197061459,12944.0,0.6936,437.9,673.0,170.15,60.17,65644.0
443.0,-42966.70194219431,116909.45860869881,4113.639939849581,32.545341370180324,-96.79767302396037,13496.0,0.6981,439.83,676.0,155.15,59.83,65584.0
492.0,-38289.49813193476,106809.32014669606,4282.747703055142,32.45467774559678,-96.74736864870253,14051.0,0.7026,441.76,679.0,147.32,59.49,65525.0
542.0,-32252.66384108467,97400.15215438273,4452.529732937908,32.37024764945999,-96.68271315888185,14608.0,0.7072,443.68,681.0,152.08,59.13,65466.0
591.0,-26995.918333314996,87478.96970642109,4622.992974617541,32.28116200594637,-96.62646164214645,15167.0,0.7118,445.6,684.0,154.48,58.77,65407.0
640.0,-22138.04469513771,77302.95589570324,4794.144718375796,32.18975220325856,-96.57455298630072,15729.0,0.7164,447.5,687.0,157.52,58.41,65349.0
689.0,-17808.662368898713,66839.11800782422,4965.9926302831955,32.09572477207204,-96.52835326463992,16293.0,0.7209,449.39,690.0,158.07,58.05,65291.0
739.0,-13561.091471500093,56290.38386962138,5138.544786173429,32.000916216723404,-96.48311476160842,16859.0,0.7255,451.26,693.0,158.37,57.68,65233.0
788.0,-9351.298875376388,45675.63433790071,5311.809709452611,31.90549770431023,-96.43836912339847,17427.0,0.7301,453.11,695.0,157.32,57.28,65176.0
837.0,-4931.089877517126,35096.014742069696,5485.796413248163,31.81038045619346,-96.39148941628852,17998.0,0.7347,454.95,698.0,153.48,56.9,65119.0
886.0,210.0385855906885,24795.598228814535,5660.514447596139,31.71775715301198,-96.33708443552119,18571.0,0.7393,456.75,701.0,154.41,56.51,65062.0
936.0,5202.590529336768,14371.724479428387,5835.973952442299,31.62400127469854,-96.28435771117312,19147.0,0.7439,458.53,704.0,156.38,56.12,65006.0
985.0,9850.661578212117,3740.708198827183,6012.185717413976,31.52836391784676,-96.23537362562807,19725.0,0.7484,460.28,707.0,163.41,55.72,64950.0
1034.0,13176.04170209126,-7421.284257635063,6189.161249501486,31.42794860799755,-96.20043782991083,20306.0,0.753,461.99,710.0,178.07,55.31,64895.0
1083.0,13569.689835842508,-19104.618759264267,6366.912850059431,31.322873426943595,-96.19644934526862,20889.0,0.7574,463.66,714.0,179.84,54.91,64840.0
1133.0,13602.298507188729,-30836.6190000089,6545.45369767102,31.217364780222944,-96.19626676987538,21475.0,0.7619,465.28,717.0,180.84,54.48,64786.0
1182.0,13430.683057542561,-42608.27858199656,6724.796515847081,31.111501854831413,-96.19822999937982,22063.0,0.7663,466.85,678.0,168.89,53.52,64732.0
1231.0,15706.682344446013,-54200.34674890154,6894.300390982401,31.007223595301642,-96.17450466230515,22619.0,0.7703,468.27,178.0,153.89,46.44,64686.0
1280.0,20926.063182847494,-64850.563280265174,6938.711509911649,30.911362277969157,-96.11996212115123,22765.0,0.7715,468.7,-322.0,161.17,39.41,64646.0
1330.0,24759.906479663427,-76096.20306359167,6858.029872630035,30.81015340357564,-96.08005193353804,22500.0,0.7698,468.19,-822.0,172.16,32.57,64614.0
1379.0,26379.72805693808,-87861.66255598266,6652.2554791365055,30.70430934333283,-96.06339713287066,21825.0,0.7652,466.63,-1322.0,175.54,26.01,64588.0
1428.0,27301.656449920534,-99669.58416368793,6321.388329431127,30.59809773866694,-96.05407093621446,20739.0,0.7573,463.87,-1822.0,173.38,19.8,64568.0
1477.0,28659.252927354275,-111369.97168930226,5865.428423515119,30.492842060567746,-96.0402150508449,19244.0,0.746,459.69,-2322.0,158.38,14.11,64554.0
1527.0,32960.97058918762,-122224.66400377509,5284.3757613933285,30.39511193311823,-95.99566998705615,17337.0,0.7311,453.89,-2500.0,143.38,12.81,64541.0
1576.0,39837.7385106997,-131478.01747804033,4658.911980315382,30.31168374618756,-95.92433342102855,15285.0,0.7147,447.25,-2500.0,128.38,13.64,64527.0
1625.0,48741.942930069185,-138530.73863808418,4033.448199234366,30.24792512868973,-95.83191496172593,13233.0,0.6982,440.32,-2500.0,113.38,14.43,64513.0
1674.0,59005.33717645421,-142968.185032924,3407.984418150612,30.20755280266427,-95.72532955123064,11181.0,0.6816,433.18,-2500.0,98.43,15.16,64498.0
1724.0,69885.78194755028,-144580.29661206435,2782.5206370661713,30.192464161356863,-95.61222467704795,9129.0,0.6682,427.91,-2500.0,113.43,16.41,64481.0
1773.0,79854.33712142844,-148899.85415163252,2157.0568559817843,30.15299050980862,-95.50884832852356,7077.0,0.5971,385.27,-2500.0,128.43,8.25,64473.0
1822.0,87513.87490287886,-154976.8191964629,1531.5930748976207,30.097802777110488,-95.42970550923498,5025.0,0.3971,258.13,-2500.0,143.43,7.6,64465.0
1871.0,91407.13851922957,-160224.45295708402,906.1292938191318,30.050319989316932,-95.38970116542711,2973.0,0.3014,197.31,-2000.0,158.43,8.17,64457.0
1921.0,93241.29781032602,-164863.62590092525,405.7582689525474,30.008459619217213,-95.37106119884197,1331.0,0.1581,104.1,-1500.0,150.44,9.22,64448.0
1970.0,94532.41985578882,-167139.71449845834,30.480000301328918,29.987890000891134,-95.3578599989529,100.0,0.0148,9.79,-1000.0,142.44,90.75,64357.0
