ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,5842.312890861465,-257602.34879267646,30.480000302902614,33.001639999100504,-97.32074999937448,100.0,0.2804,185.44,2300.0,358.77,107.49,66193.0
60.0,5720.533950725923,-251919.76174901205,734.5966360056632,33.052745390834964,-97.32201906930953,2410.0,0.3382,221.84,2405.0,13.77,103.88,66089.0
121.0,7341.718625955817,-245305.69231166155,1470.8138481660856,33.11221696412584,-97.3045744022148,4826.0,0.3931,255.67,2350.0,28.77,99.16,65989.0
181.0,11125.580873039065,-238414.99177446595,2190.2081543630493,33.174152948120835,-97.26387144480515,7186.0,0.4251,274.18,2221.0,23.23,95.15,65894.0
241.0,14453.707297809746,-230659.34582129584,2870.0703686429915,33.24386017337232,-97.2279946410822,9416.0,0.4921,314.82,1999.0,8.23,88.65,65806.0
301.0,15842.312932412233,-221053.12259821425,3482.1106750412014,33.33023060456713,-97.21289424279298,11424.0,0.5906,374.98,1499.0,360.0,80.7,65725.0
362.0,15842.312911969077,-209468.19005953183,3941.0636599228574,33.434416153964065,-97.212686023369,12930.0,0.6612,417.47,999.0,354.83,75.62,65649.0
422.0,14679.515971022905,-196604.79502752447,4246.929323279634,33.55011631099082,-97.22499949451233,13933.0,0.7016,441.29,678.0,353.01,72.9,65576.0
482.0,13015.979294703346,-183043.2469799942,4454.490517714387,33.67210030514974,-97.24274561448381,14614.0,0.7071,443.64,681.0,351.73,72.36,65504.0
542.0,11041.23489778814,-169450.20793440612,4663.071272991021,33.79436831535558,-97.26390942777377,15299.0,0.7127,445.97,685.0,351.03,71.84,65432.0
603.0,8888.421401688693,-155811.22617945247,4872.685012016803,33.9170473785858,-97.2870633251213,15986.0,0.7183,448.29,688.0,350.72,71.28,65361.0
663.0,6650.685877512771,-142113.40332744108,5083.3460132077835,34.04025175533215,-97.31120562229397,16678.0,0.7239,450.58,692.0,350.47,70.73,65290.0
723.0,4341.535136379687,-128355.5551163138,5295.069506500505,34.16399145314057,-97.33619454859867,17372.0,0.7296,452.85,695.0,350.3,70.16,65220.0
784.0,1978.09214552438,-114535.84519303586,5507.871782862016,34.28828243535582,-97.36184819938033,18070.0,0.7352,455.09,699.0,350.25,69.59,65150.0
844.0,-407.21916112691156,-100649.80615574367,5721.770319790422,34.413164455926044,-97.38781103790232,18772.0,0.7408,457.29,702.0,350.34,69.0,65081.0
904.0,-2783.0279037023956,-86693.26810252212,5936.783925898148,34.5386748321254,-97.41375526550324,19478.0,0.7463,459.45,706.0,350.44,68.41,65013.0
964.0,-5145.190776257137,-72666.98147805264,6152.932908451241,34.664806953861785,-97.4396296854653,20187.0,0.7519,461.55,710.0,350.07,67.8,64945.0
1025.0,-7609.734887876328,-58592.48127911319,6370.239268767344,34.79136633656521,-97.46670519884232,20900.0,0.7574,463.59,714.0,349.9,67.19,64878.0
1085.0,-10125.797998924683,-44463.18073145415,6588.726925839448,34.91841193178082,-97.49443029233421,21617.0,0.7628,465.56,718.0,351.39,66.56,64812.0
