ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,5842.312774035804,-257602.34879267687,30.48000029286571,33.00163999910116,-97.32075000062692,100.0,0.1973,130.47,1514.0,358.77,116.15,66184.0
64.0,5751.3359756589825,-253357.11104760732,521.5511665187166,33.03981883264971,-97.32169793975855,1711.0,0.3973,261.26,2014.0,343.77,99.66,66084.0
128.0,3368.8176360550924,-245171.19195140398,1174.815190954323,33.11344699415524,-97.34721985784824,3854.0,0.5758,375.83,1514.0,328.77,93.54,65991.0
192.0,-3008.553576792692,-234652.37234659845,1665.8863573070707,33.20804611030601,-97.41569875663342,5466.0,0.6115,396.83,1160.0,343.77,89.19,65901.0
255.0,-6641.950477824755,-222168.6518302163,2042.0758604536911,33.320297975249524,-97.45483769640316,6700.0,0.6557,423.66,662.0,347.63,84.58,65817.0
319.0,-9619.618821984302,-208593.60622388893,2256.684660701248,33.442357864936945,-97.48702642533584,7404.0,0.6168,397.45,1162.0,349.6,86.81,65730.0
383.0,-11970.546736476424,-195786.1161509097,2633.486319037175,33.55751374473165,-97.51253396493905,8640.0,0.5659,363.02,1635.0,359.08,89.34,65641.0
447.0,-12160.601138503696,-183912.07736606934,3163.7861822835425,33.66429717064398,-97.51475010241387,10380.0,0.619,394.55,1232.0,4.36,83.93,65557.0
511.0,-11178.074260547006,-171026.17132727228,3563.2862863953624,33.780193876290454,-97.50430089701797,11691.0,0.6779,430.03,735.0,19.36,79.39,65477.0
575.0,-6502.5855153089005,-157719.95299833373,3801.717342022004,33.89989969300581,-97.45381902373823,12473.0,0.6902,436.57,672.0,28.87,78.37,65399.0
639.0,412.3214671885631,-145179.88010877802,4019.6532251463937,34.01269587828062,-97.3789061220054,13188.0,0.6961,439.09,675.0,13.87,77.79,65321.0
702.0,3865.844968680943,-131197.03608176397,4238.677346766614,34.13843932252578,-97.34137730437583,13906.0,0.702,441.61,679.0,8.3,77.22,65244.0
766.0,5957.079515236979,-116863.37254737892,4458.824926514603,34.267334934307364,-97.31855614787823,14629.0,0.708,444.12,682.0,7.53,76.62,65167.0
830.0,7866.367245154922,-102421.57023724013,4680.110513526056,34.39720014186111,-97.29764600586792,15355.0,0.7139,446.61,686.0,359.0,76.02,65091.0
894.0,7610.529455870017,-87774.76350507246,4902.5495937094365,34.528923912433164,-97.3003019170565,16084.0,0.7199,449.09,689.0,344.0,75.39,65016.0
958.0,3550.221383798877,-73615.43198921479,5126.158698949313,34.65628421407641,-97.34456352855912,16818.0,0.7259,451.54,693.0,337.9,74.77,64941.0
1022.0,-2021.147587413495,-59893.156748228386,5350.9555319737565,34.77969583313127,-97.40550308711089,17556.0,0.7319,453.96,350.0,338.9,68.24,64873.0
1086.0,-7386.230656730631,-45991.07627249486,5464.593267948296,34.90469509641929,-97.46436994270977,17928.0,0.735,455.22,-150.0,343.43,58.96,64814.0
1149.0,-11653.355158658293,-31654.041324001228,5416.0381474915,35.03359060747268,-97.51136482245593,17769.0,0.7339,454.83,350.0,345.0,68.03,64746.0
1213.0,-15517.441294342732,-17233.076117582197,5529.675884674098,35.16322891089517,-97.5540768726851,18142.0,0.5667,350.71,850.0,360.0,64.5,64682.0
1277.0,-15517.441294997569,-5735.952547262598,5805.506479841328,35.26662482856123,-97.554294905229,19047.0,0.3667,226.13,1350.0,0.0,91.09,64590.0
1341.0,-15517.4412932838,1658.5059057607573,6243.529932923694,35.333124680515276,-97.55443556786831,20484.0,0.3251,199.34,974.0,9.13,91.26,64499.0
1405.0,-14482.058002375381,8102.8914517113935,6559.32552672722,35.39109590003001,-97.54313643044253,21520.0,0.5251,320.63,1474.0,354.33,77.67,64421.0
1469.0,-15517.441294479246,18539.984334157478,7037.313978587053,35.48494317639182,-97.55475795680074,23088.0,0.7251,439.93,1042.0,360.0,70.84,64351.0
1533.0,-15517.441295115283,32955.029592145656,7375.3420767916,35.61458049935238,-97.5550347761582,24197.0,0.7824,472.51,730.0,2.6,67.97,64283.0
1596.0,-14814.918624570022,48434.51944485949,7612.283655826279,35.75380131747639,-97.54754859250824,24975.0,0.7875,474.09,733.0,16.91,67.18,64215.0
1660.0,-10291.587960849176,63308.95216545946,7849.945185906329,35.8876274803001,-97.49761429563628,25754.0,0.7924,475.48,316.0,16.62,59.25,64156.0
