ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-512930.65539532725,-358552.01468948566,30.479999755231596,33.0016165270849,-97.32072806413251,100.0,0.1573,104.01,914.0,49.71,275.49,66025.0
151.0,-506834.48358759965,-353383.6903717145,729.2536472257169,33.050998937870666,-97.25843999166459,2393.0,0.1684,110.45,918.0,64.71,273.88,65751.0
301.0,-499158.54376264533,-349756.7288750019,1430.9974886409598,33.08729047045708,-97.17828715055343,4695.0,0.1804,117.39,922.0,79.71,271.45,65479.0
452.0,-490278.4239221255,-348144.34303497465,2136.1957862612035,33.10602944145509,-97.08404474352152,7009.0,0.2355,151.97,1422.0,94.71,263.76,65215.0
602.0,-478675.83945882716,-349100.0389398961,3223.7315521965165,33.10292200965182,-96.9591904991383,10577.0,0.2813,179.19,1548.0,86.0,251.93,64964.0
753.0,-464984.5194815212,-348141.9139553447,4407.150349938751,33.11780465380916,-96.81296775416097,14459.0,0.4729,296.85,1719.0,71.0,204.4,64759.0
903.0,-443465.286801238,-340730.96241037274,5721.758189832554,33.193837680720506,-96.58600798866816,18772.0,0.6729,415.39,1219.0,56.0,179.88,64579.0
1054.0,-416971.6929840108,-322858.7486630331,6654.028561154175,33.36540329623032,-96.31019492195509,21831.0,0.7654,466.74,719.0,41.0,165.65,64414.0
1204.0,-393350.4771029609,-295682.71600767545,7203.961463912415,33.61879239392641,-96.06845548119354,23635.0,0.7785,471.26,728.0,40.27,161.56,64252.0
1355.0,-369852.74144461437,-267946.8192950789,7760.814935790506,33.87670384723813,-95.82688740388814,25462.0,0.7906,474.98,733.0,40.68,157.11,64095.0
1505.0,-345974.71010937146,-240162.32163705587,8321.669211405246,34.13472150390735,-95.57976823993161,27302.0,0.801,477.51,388.0,40.8,138.47,63956.0
1656.0,-321864.1628045349,-212229.48060585023,8618.716999120088,34.39366160578669,-95.32868177435442,28277.0,0.8058,478.39,49.0,40.84,121.88,63835.0
1806.0,-297645.6890320971,-184209.5195779771,8656.28154178365,34.65291391987389,-95.07491052042718,28400.0,0.807,478.87,37.0,41.28,121.08,63713.0
