ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-512930.6554572988,-358552.01464254875,30.4800000006595,33.001616527475086,-97.32072806482277,100.0,0.2705,178.87,1661.0,49.71,242.85,66057.0
145.0,-502851.81757746066,-350007.1925845054,1256.079553988494,33.08324425282504,-97.21770933006182,4121.0,0.4705,306.79,1161.0,47.37,181.08,65876.0
290.0,-486086.0255656566,-334573.22421836195,2112.834778515266,33.22978952093084,-97.04659317775096,6932.0,0.6568,423.95,661.0,32.37,191.61,65684.0
436.0,-469181.6153539739,-307903.7149508881,2600.745640845377,33.476994543507004,-96.87945275829945,8533.0,0.6638,426.02,661.0,47.37,186.85,65498.0
581.0,-445837.7061448027,-286414.1750614757,3088.13274650115,33.68034515985894,-96.6391953783784,10132.0,0.6715,428.45,661.0,41.8,182.27,65315.0
726.0,-424570.10553573223,-262626.72940691985,3576.0826103908744,33.90299808829941,-96.42141122028634,11733.0,0.6846,434.21,166.0,34.35,159.64,65156.0
871.0,-406281.0741315374,-235866.69663421423,3698.5932012883536,34.15077133147311,-96.23624870618958,12134.0,0.6881,435.78,666.0,49.35,178.53,64977.0
1017.0,-381659.2507028075,-214726.3073065622,4189.945868203852,34.35024975480087,-95.97853069576996,13747.0,0.6528,410.91,1146.0,64.35,182.61,64795.0
1162.0,-354144.3880718011,-201514.14665959263,5035.635635628907,34.4790155699712,-95.68467796996806,16521.0,0.4528,282.0,1646.0,79.35,196.06,64598.0
1307.0,-333636.03092232096,-197657.76193048738,6250.168397668775,34.520710076678725,-95.46266815880954,20506.0,0.417,255.67,1453.0,72.71,196.89,64402.0
1452.0,-315556.98062661936,-192031.39953528158,7322.3927021347345,34.57713112244987,-95.26761332855403,24024.0,0.617,372.92,1014.0,86.84,148.53,64253.0
1597.0,-287891.65065359464,-190502.1920374294,8070.083896392896,34.599235627640894,-94.96616709249086,26477.0,0.7961,476.24,514.0,72.91,140.64,64112.0
1743.0,-253975.69080869533,-180077.50469357142,8448.931925794612,34.70213681182489,-94.5990088831013,27720.0,0.8026,477.63,268.0,57.91,127.75,63985.0
1888.0,-223786.81445988253,-161150.51016975095,8646.464837862104,34.87950833667575,-94.27404415234233,28368.0,0.6089,361.36,297.0,42.91,106.99,63878.0
2033.0,-205434.63214171378,-141411.04861532917,8865.495193858891,35.06092311693754,-94.07787428539075,29086.0,0.8088,478.51,-203.0,27.91,105.25,63772.0
2178.0,-188682.10366491976,-109790.03113465616,8715.683922291873,35.34853327834927,-93.90121479026418,28595.0,0.808,479.08,-471.0,41.59,95.91,63677.0
2323.0,-164867.8848415246,-82959.33875392885,8368.425144131457,35.594043695058076,-93.64420450589807,27455.0,0.804,479.02,29.0,56.59,119.08,63557.0
2469.0,-135000.26308827248,-63258.85237272255,8389.996658038031,35.7757613844015,-93.3172672237968,27526.0,0.6117,364.36,529.0,71.59,118.99,63438.0
2614.0,-109246.86036709446,-54687.55174299231,8780.410559882866,35.856064516291276,-93.03300426708844,28807.0,0.811,480.39,282.0,86.59,125.46,63313.0
2759.0,-73475.73902013627,-52556.97953629525,8988.348056363737,35.8785853505265,-92.63630333122343,29489.0,0.8139,480.72,-218.0,72.08,103.87,63209.0
2904.0,-39267.54949009551,-41493.82738145785,8827.453268740388,35.980061495753745,-92.25717910401924,28961.0,0.8131,481.3,-26.0,57.08,113.01,63096.0
3050.0,-9081.718067432652,-21949.631585224815,8807.943194757996,36.15657936083944,-91.92193990788165,28897.0,0.8136,481.75,-32.0,42.08,113.0,62983.0
3195.0,15040.62270417467,4766.679648530606,8783.999934349526,36.39677001366341,-91.652740408186,28819.0,0.814,482.18,-16.0,27.08,113.89,62869.0
3340.0,31439.779407343194,36841.912332411855,8772.154293227486,36.68483007294343,-91.4682073041641,28780.0,0.8146,482.61,117.0,29.69,119.22,62750.0
3485.0,49285.15290110418,68143.81821381925,8858.448422569365,36.965573803492184,-91.26605647937323,29063.0,0.8165,483.13,17.0,44.69,114.6,62635.0
3630.0,74664.18911747934,93801.06613247823,8870.668636133489,37.19464551991664,-90.97786797102731,29103.0,0.8174,483.58,92.0,59.69,117.44,62518.0
3776.0,105835.96976304392,112025.59217983278,8938.653321908538,37.35554740090171,-90.62340158903562,29326.0,0.819,484.06,-0.0,48.03,113.31,62405.0
3921.0,132724.26544201066,136206.26399757943,8938.42159214614,37.56956367357072,-90.31490764207858,29326.0,0.8198,484.52,-152.0,33.03,107.47,62297.0
4066.0,152471.84877756602,166574.3377007063,8826.474335742472,37.83959736744124,-90.08457922087214,28958.0,0.819,484.85,-17.0,41.18,113.75,62183.0
4211.0,176321.43951539462,193838.65186106952,8813.589721263046,38.08050166383399,-89.80644514183278,28916.0,0.8196,485.25,-27.0,56.18,113.53,62070.0
4356.0,206441.66941048618,214019.16492272,8793.99716300068,38.25569010805145,-89.45667722369845,28852.0,0.82,485.64,-62.0,71.18,112.41,61957.0
4502.0,240792.4047154671,225727.85034807413,8748.070991755649,38.35261198273263,-89.05956338806233,28701.0,0.82,485.96,76.0,84.26,118.12,61839.0
4647.0,276899.3145410405,229356.31264342595,8804.30174751501,38.37508740622739,-88.64439898614532,28886.0,0.82,485.57,-179.0,69.26,107.63,61732.0
4792.0,310854.6491759077,242213.05381078695,8672.452108125097,38.47976339777463,-88.249614590181,28453.0,0.82,486.47,-679.0,54.26,89.99,61642.0
4937.0,340453.41248393897,263512.10591125255,8171.758459401355,38.660578181906445,-87.89968379193496,26810.0,0.8112,484.65,-1179.0,39.26,75.16,61567.0
5083.0,363496.99202050397,291704.4996111367,7302.2205524019855,38.90487707637244,-87.6199815184871,23957.0,0.7918,478.68,-1679.0,46.93,62.68,61504.0
5228.0,389821.95743157703,316312.7795781607,6063.838356190394,39.114912938403066,-87.30236572246702,19894.0,0.7598,466.96,-2179.0,53.59,51.46,61452.0
5373.0,418158.57045439765,337213.64998267806,4456.61190123167,39.28987659042979,-86.96177059288796,14621.0,0.7,439.14,-2500.0,44.47,40.08,61412.0
5518.0,441368.17771534726,360856.975365659,2612.390450241847,39.49097830825787,-86.67729850059004,8571.0,0.5,320.85,-2000.0,47.95,20.66,61392.0
5663.0,459288.65376125363,377022.71906548896,1137.0130941170069,39.62702618044237,-86.45794392869817,3730.0,0.3,195.88,-1500.0,49.71,23.89,61368.0
5809.0,470490.0800588063,386519.26984047185,30.48000000018595,39.70639999998407,-86.32082000002477,100.0,0.1,66.13,-1000.0,51.47,194.78,61173.0
