ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-1094206.2037766473,-359653.0848514862,30.48000000370276,33.00159042407007,-97.32072250894625,100.0,0.3,198.38,2414.0,61.05,465.87,65834.0
263.0,-1071337.0710776534,-347005.0228071532,3253.1041335256646,33.13829372357873,-97.09265138184696,10673.0,0.5,318.37,1948.0,67.88,379.95,65454.0
526.0,-1032170.4949164538,-331082.6204217807,5853.846296694206,33.320413282520256,-96.69364426896364,19206.0,0.6229,383.85,1448.0,67.88,322.48,65132.0
788.0,-984731.1704806195,-311802.68689284456,7786.999425893842,33.53925922313295,-96.20813868765173,25548.0,0.7348,441.32,1010.0,67.89,281.23,64850.0
1051.0,-929975.1622566527,-289556.45143187314,9136.15954353863,33.789459100450735,-95.64471507333135,29974.0,0.7885,464.75,796.0,67.89,255.26,64595.0
1314.0,-872205.9325660892,-266088.25503832527,10198.418721931655,34.05065476782465,-95.04674760404419,33459.0,0.7842,455.2,296.0,67.89,202.47,64393.0
1577.0,-815349.7110427469,-242991.08432535946,10593.088933449459,34.304917860325126,-94.4546675905894,34754.0,0.7678,443.07,0.0,67.89,172.42,64220.0
1840.0,-759844.0388968036,-220446.81780230673,10593.091009609687,34.55037813287032,-93.87322253425556,34754.0,0.775,447.24,24.0,67.91,174.97,64045.0
2103.0,-703824.0029965887,-197705.19456992458,10624.727562494449,34.795237623831454,-93.28293453936449,34858.0,0.7745,446.72,21.0,67.92,173.98,63871.0
2365.0,-647861.1942607589,-175004.9146288178,10652.173202372871,35.036861855549176,-92.68976852855744,34948.0,0.7749,446.77,21.0,67.94,173.4,63698.0
2628.0,-591885.5909706246,-152318.44164483002,10680.725403772176,35.27550584295815,-92.09297817055908,35042.0,0.775,446.64,21.0,67.95,172.77,63525.0
2891.0,-535919.0238476194,-129651.76095257618,10709.143482817508,35.51105884688086,-91.4927920675514,35135.0,0.7751,446.52,21.0,67.97,172.14,63353.0
3154.0,-479959.71048624004,-107005.46000954267,10736.756749485403,35.74347478679274,-90.88918738748086,35226.0,0.7754,446.52,21.0,67.99,171.55,63182.0
3417.0,-423992.72393649793,-84377.27432877614,10765.352467437522,35.97273849464432,-90.28199871461479,35319.0,0.7755,446.35,21.0,68.01,170.92,63011.0
3680.0,-368036.0702125167,-61775.20550047591,10793.1240074546,36.19872659276285,-89.67142166531823,35411.0,0.7757,446.31,21.0,68.02,170.32,62840.0
3942.0,-312075.72804866894,-39189.431301601675,10821.574552444523,36.42149020332059,-89.05730807888997,35504.0,0.7758,446.17,21.0,68.03,169.7,62671.0
4205.0,-256125.2813338534,-16620.525150415237,10849.841477821969,36.640976508361405,-88.43981299233047,35597.0,0.776,446.07,21.0,68.04,169.09,62501.0
