ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-1094206.203802356,-359653.0848709102,30.479999999953243,33.0015904238699,-97.3207225091958,100.0,0.2388,157.89,500.0,61.05,455.72,65844.0
375.0,-1067699.031701302,-344992.9592560915,983.3465311908058,33.16000386901624,-97.05630562265044,3226.0,0.4388,287.0,0.0,46.05,270.93,65573.0
750.0,-1027819.4751369213,-306555.1766796079,983.3480959421793,33.54311446383596,-96.67611542365097,3226.0,0.6388,417.82,0.0,61.05,456.9,65116.0
1125.0,-957257.0875204669,-267529.7394902907,983.3503359857577,33.960170233983284,-95.96284008688814,3226.0,0.4518,295.55,500.0,58.96,361.48,64755.0
1501.0,-908664.6991230412,-238283.13889745402,1936.0460700966871,34.26622270931598,-95.47023660907114,6352.0,0.2518,162.9,754.0,73.96,520.05,64235.0
1876.0,-878739.2754557423,-229677.9908261304,3373.2077235963347,34.36983923165119,-95.15524796348731,11067.0,0.3786,240.72,269.0,81.15,291.8,63943.0
2251.0,-832981.0323547486,-222557.00768710024,3885.6469580510566,34.4728085198045,-94.66607216833513,12748.0,0.4632,292.65,521.0,66.15,328.57,63615.0
2626.0,-781649.9883496085,-199868.5961138732,4878.876931791383,34.71733487715765,-94.12976127829081,16007.0,0.2632,164.23,512.0,56.82,511.12,63103.0
3001.0,-755300.0154354132,-182639.20827125313,5855.056074270324,34.891874612776796,-93.85837637983018,19210.0,0.4621,284.8,41.0,64.09,236.52,62867.0
3376.0,-705885.9652919507,-158636.67862077188,5933.636101688906,35.143306347179326,-93.339173710378,19467.0,0.6615,407.21,272.0,49.09,325.91,62541.0
3751.0,-646694.9094311796,-107350.06633802985,6452.918009339538,35.643402416856766,-92.73133278975594,21171.0,0.4738,289.71,-153.0,55.64,201.53,62339.0
4127.0,-600453.734100674,-75731.23119131019,6161.711183289017,35.95641863053985,-92.24489185817428,20216.0,0.4825,296.14,124.0,70.54,246.68,62093.0
4502.0,-546650.7326722874,-56720.97707240997,6398.12010488209,36.15888004030948,-91.66164134582773,20991.0,0.518,316.93,-207.0,79.61,196.49,61896.0
4877.0,-486334.57342877093,-45661.296373720514,6002.843656647332,36.29057549436609,-90.99780388277499,19694.0,0.4821,296.53,-104.0,91.05,207.87,61688.0
5252.0,-429042.21774171415,-46711.44353065656,5804.479133098994,36.308568504211976,-90.35878090895883,19044.0,0.4043,249.34,-320.0,76.5,170.62,61518.0
5627.0,-382072.13717555307,-35431.487442961414,5195.399047029952,36.429775147467005,-89.8406992029294,17045.0,0.2805,174.36,-200.0,64.87,279.56,61238.0
6002.0,-351534.19306380843,-21108.35588884783,4814.976331020449,36.57015729994195,-89.50621175281913,15797.0,0.4104,256.28,-127.0,73.03,198.81,61039.0
6377.0,-304155.761471122,-6648.849772557784,4572.003939550188,36.716397257599226,-88.98178027698007,15000.0,0.5909,370.16,358.0,66.94,327.09,60712.0
6753.0,-238713.4325186976,21215.893816738084,5254.388855760725,36.98557079623493,-88.25665910483464,17239.0,0.3909,242.77,500.0,73.89,323.07,60389.0
7128.0,-193986.5474470596,34134.03736442043,6207.245718946245,37.11196181862485,-87.75656861587049,20365.0,0.4552,279.26,0.0,58.89,218.17,60171.0
7503.0,-147843.6494173664,61980.10847188797,6207.2463539769315,37.37071367718476,-87.24181079273865,20365.0,0.5122,314.21,-500.0,62.7,148.0,60023.0
7878.0,-93627.58660171562,89959.4451544591,5254.4037360654975,37.62931239643071,-86.63189633162646,17239.0,0.4415,274.18,-358.0,47.7,156.19,59867.0
8253.0,-54321.533302448224,125721.3507276027,4572.017604834556,37.95404216534073,-86.18825426904942,15000.0,0.2415,151.28,13.0,40.57,380.93,59486.0
8628.0,-35335.73926695746,147893.68602859695,4596.678134162454,38.15436120719201,-85.97281847912788,15081.0,0.3274,205.05,-13.0,39.01,240.06,59246.0
9003.0,-10424.048545499194,178648.79239514394,4572.006853144988,38.431567779126745,-85.68838712463801,15000.0,0.5274,330.4,0.0,54.01,242.22,59004.0
9379.0,41167.20695079759,216121.69483184794,4572.009676314238,38.767695819098044,-85.09398232224157,15000.0,0.4765,298.5,-0.0,69.01,221.8,58782.0
9754.0,94951.08398831703,236759.29824283678,4572.005252513108,38.94924305156466,-84.4709584573976,15000.0,0.6765,423.79,2.0,84.01,340.08,58442.0
10129.0,176288.9477088175,245297.46892973926,4576.080635278126,39.013805229124664,-83.52862916836527,15013.0,0.4767,298.64,-2.0,77.77,219.73,58222.0
10504.0,232617.24587350606,257502.0282701666,4572.020880649004,39.11074325341574,-82.87297004132719,15000.0,0.6767,423.94,336.0,89.06,373.57,57849.0
10879.0,314089.24246777076,258844.4715577709,5212.952911866673,39.09809907292366,-81.92902956053841,17103.0,0.6464,401.67,500.0,104.06,349.34,57499.0
11254.0,388821.73363385,240133.9718329369,6165.733399607734,38.90101082272551,-81.07476632560635,20229.0,0.6076,372.93,82.0,110.55,256.96,57242.0
11629.0,456144.20015341195,214896.83724428047,6321.698958505366,38.64320237597507,-80.31468266661692,20740.0,0.4801,294.09,-418.0,95.55,143.67,57099.0
12005.0,512924.1790089418,209380.04446335608,5524.857145471261,38.56353311359769,-79.66633266081988,18126.0,0.6801,420.93,-500.0,80.55,254.4,56844.0
12380.0,593542.3262529704,222799.31388171867,4572.012042923662,38.63483573493287,-78.73036894567419,15000.0,0.6221,389.69,-0.0,79.36,294.55,56550.0
12755.0,667455.21762195,236686.15647359626,4572.00848366385,38.70791684941462,-77.86919634547968,15000.0,0.6091,381.59,-412.0,66.81,237.27,56312.0
13130.0,735479.4121941578,265821.71368661214,3787.700613410728,38.9158028459765,-77.05785536684613,12427.0,0.5837,369.23,-336.0,51.81,248.24,56064.0
