ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,982104.7248247624,-2141.74068933213,30.480000303049618,33.001640000274975,-97.32075000104416,100.0,0.3,198.38,2414.0,278.87,408.54,65891.0
230.0,959407.128476588,1399.6042774230184,2856.5560975467747,33.053585546191464,-97.55922268134279,9372.0,0.5,319.91,1974.0,272.98,337.16,65554.0
461.0,922129.9005564982,3342.915385056268,5167.334995464734,33.103385724697475,-97.95541568485945,16953.0,0.6136,381.52,1479.0,272.98,291.06,65263.0
691.0,877489.5760432159,5669.404170983944,6899.003723789813,33.16137894403042,-98.43044691370903,22635.0,0.6859,416.88,1198.0,272.98,262.26,65001.0
922.0,828610.7927046742,8215.37346913649,8302.106006752987,33.22281164650021,-98.95128858664616,27238.0,0.7554,450.5,940.0,272.98,238.65,64762.0
1152.0,775687.2343442597,10970.07106508129,9403.067315027381,33.28688024268576,-99.51603901165672,30850.0,0.7891,463.31,759.0,272.98,218.01,64544.0
1383.0,721182.9739057728,13804.837240047704,10291.958692987431,33.35019128057947,-100.09850535658202,33766.0,0.7838,454.32,259.0,272.97,173.99,64370.0
1613.0,667506.0550965442,16594.01073588276,10595.40870446939,33.409878821892114,-100.67293984019496,34762.0,0.7681,443.22,-0.0,272.97,151.18,64219.0
1844.0,615020.7987666694,19318.456919612338,10595.408702451783,33.465674080350986,-101.23536764943586,34762.0,0.7745,446.9,22.0,272.97,153.21,64066.0
2074.0,562109.5334653711,22062.410042218053,10621.476567181953,33.519345827127836,-101.80307597088496,34847.0,0.7744,446.67,21.0,272.97,152.62,63913.0
2305.0,509224.416497581,24802.910550657587,10646.122209477126,33.57040237355735,-102.37118966061779,34928.0,0.7746,446.63,21.0,272.96,152.16,63761.0
2535.0,456343.5876622539,27541.53355999694,10670.873353419483,33.61886293717534,-102.93991075715805,35009.0,0.7748,446.57,21.0,272.96,151.68,63609.0
2766.0,403469.858617715,30278.358439917614,10695.553694112055,33.664720114225254,-103.50917641865519,35090.0,0.7749,446.5,21.0,272.96,151.21,63458.0
2996.0,350602.9515986322,33013.396722336765,10720.213287793014,33.70796785609899,-104.07895676470379,35171.0,0.7751,446.43,21.0,272.96,150.74,63308.0
3227.0,297743.2223584313,35746.58078593349,10744.852720377292,33.748599570939284,-104.64921476020434,35252.0,0.7752,446.36,21.0,272.96,150.27,63157.0
3457.0,244890.77945522455,38477.776732363905,10769.493382287119,33.786608601227385,-105.21991571292442,35333.0,0.7754,446.28,21.0,272.96,149.8,63007.0
3688.0,192045.77429573116,41206.577531262315,10794.148969026803,33.82198625410172,-105.79102419036647,35414.0,0.7755,446.19,21.0,272.95,149.33,62858.0
3918.0,139208.1934569641,43932.06567769957,10818.850727319452,33.85471970619567,-106.3625062477645,35495.0,0.7757,446.11,21.0,272.95,148.86,62709.0
4149.0,86378.10172463757,46652.81354058351,10843.62555841636,33.88479194284467,-106.93432667971977,35576.0,0.7758,446.01,21.0,272.94,148.39,62561.0
4379.0,33555.514384048125,49367.32662788311,10868.498801842376,33.912185725734204,-107.50645030260098,35658.0,0.7759,445.91,21.0,272.93,147.92,62413.0
