ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,982104.7250246768,-2141.7407313023514,30.480000298025622,33.00163999971945,-97.32074999895659,100.0,0.2659,175.81,2199.0,278.87,380.4,65920.0
212.0,963523.9035453176,757.2930524980842,2402.960834956909,33.044196775485766,-97.51594911574688,7884.0,0.4659,299.7,1699.0,274.46,296.77,65623.0
425.0,931284.3256096363,3270.3432530750983,4235.914542206369,33.09488060885522,-97.85766332862701,13897.0,0.6448,405.64,1199.0,278.5,268.58,65354.0
637.0,887819.3887668777,9766.529511987133,5529.341122041424,33.18949659030689,-98.31592050099468,18141.0,0.7353,455.07,699.0,278.92,245.12,65109.0
850.0,838937.7747741634,17434.774332673547,6283.240574463877,33.2971779240769,-98.83210820921806,20614.0,0.7547,462.49,712.0,278.96,237.73,64871.0
1062.0,789274.8660735713,25266.360253731928,7051.304865491001,33.404807072008296,-99.3577887119814,23134.0,0.7732,469.04,725.0,278.98,229.81,64642.0
1274.0,738921.7732509945,33226.16169171688,7834.154040817639,33.511891373626725,-99.89206071203928,25703.0,0.7899,474.1,583.0,279.37,212.6,64429.0
1487.0,688030.4565407598,41619.514445848,8463.002508592259,33.62096015557511,-100.43308882121651,27766.0,0.8007,476.43,83.0,279.19,175.79,64253.0
1699.0,636669.4026692675,49930.01092162594,8552.323851153717,33.727264404875626,-100.98058471718478,28059.0,0.8029,477.14,30.0,279.02,171.59,64082.0
1912.0,585187.0377269721,58104.35019046438,8585.072716532746,33.83005192155243,-101.53080848830555,28166.0,0.8044,477.81,36.0,278.94,171.6,63910.0
2124.0,533622.6930590243,66211.7277668531,8624.277212280926,33.92988906343862,-102.08325377910889,28295.0,0.806,478.48,36.0,278.91,171.17,63739.0
2337.0,481981.79258567945,74304.24105945432,8663.494398064904,34.027213339303124,-102.63780277558881,28424.0,0.8076,479.15,35.0,278.88,170.69,63568.0
2549.0,430264.77819518436,82387.86009404136,8701.440935509023,34.12205239290444,-103.19442493669682,28548.0,0.8091,479.82,32.0,278.83,170.1,63398.0
2761.0,378466.2953381114,90433.4833632515,8735.803549834765,34.2141213508698,-103.75316837004614,28661.0,0.8106,480.49,22.0,278.68,169.16,63229.0
2974.0,326570.4078746706,98353.07784243401,8759.654441517581,34.3026079746489,-104.31421109542092,28739.0,0.812,481.16,-7.0,278.19,167.28,63062.0
3186.0,274524.81421342486,105839.21656461421,8751.583436679972,34.38473412059847,-104.87817612426706,28713.0,0.813,481.8,-102.0,276.28,162.02,62900.0
3399.0,222152.06901469227,111603.38810731341,8641.717084312018,34.44891669951521,-105.44723224717652,28352.0,0.8126,482.28,-217.0,270.0,156.97,62743.0
3611.0,169365.68242321344,111603.38810902291,8407.979592762813,34.458756861464956,-106.02278893402104,27585.0,0.8099,482.24,283.0,270.0,188.43,62554.0
3823.0,116782.50923423897,111603.38810904516,8713.769214546577,34.46592242084571,-106.59624571439228,28588.0,0.8157,483.66,220.0,270.0,181.06,62373.0
