ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,227745.49951610412,60565.138513384496,30.480000302964317,33.0016399990814,-97.32074999895285,100.0,0.2575,170.29,2134.0,257.13,101.08,66199.0
56.0,222989.07384577673,59478.091576563624,641.0307757804258,32.99284201266828,-97.37200496352801,2103.0,0.3023,198.54,2277.0,242.13,98.7,66100.0
113.0,217955.6146033877,56815.9982999815,1292.3240784781956,32.96991945189586,-97.42659222996004,4240.0,0.3498,227.96,2315.0,227.13,95.29,66005.0
169.0,213158.4743520445,52362.3619526758,1954.7384938205032,32.930822278685284,-97.47903351947578,6413.0,0.3906,252.62,2256.0,213.17,91.52,65913.0
225.0,209185.08695603407,46283.11983755475,2600.262155482903,32.876933337425214,-97.52297576799268,8531.0,0.4275,274.34,2153.0,228.17,87.61,65826.0
282.0,203302.43649787118,41017.61869175054,3216.323914472221,32.830696669357444,-97.5871128148469,10552.0,0.4844,308.59,1994.0,243.17,82.46,65743.0
338.0,195368.62551373855,37004.50294812354,3786.645778622575,32.79604988021713,-97.67285554823539,12423.0,0.5556,351.47,1723.0,258.17,77.01,65666.0
394.0,185444.3250866537,34925.53129510489,4279.442551347305,32.7790682367154,-97.77942767837621,14040.0,0.6266,393.95,1339.0,257.67,72.13,65594.0
451.0,174326.9674655474,32495.988131465805,4662.4933823211395,32.75903307251977,-97.89878190883898,15297.0,0.6965,435.81,839.0,257.6,67.94,65526.0
507.0,162016.00076045812,29790.309342673754,4902.49908402519,32.73657731421815,-98.03089033831166,16084.0,0.7189,448.47,688.0,257.76,66.54,65460.0
563.0,149335.73818839993,27039.600798797375,5099.410865209051,32.713627913601144,-98.16688602962193,16730.0,0.7241,450.6,692.0,257.96,66.07,65394.0
619.0,136585.57775830172,24320.652945675385,5297.25389572017,32.69082588128697,-98.30355369274744,17379.0,0.7294,452.71,695.0,257.91,65.57,65328.0
676.0,123778.31503464433,21577.19567121486,5496.041675451904,32.66766161825649,-98.4407645495421,18032.0,0.7346,454.8,698.0,257.85,65.06,65263.0
732.0,110914.95008022603,18808.54194596187,5695.788624021431,32.6441270477806,-98.5785061785997,18687.0,0.7398,456.85,702.0,257.85,64.56,65198.0
788.0,97994.04008563452,16026.023586930034,5896.510185291721,32.6203224334831,-98.71679093737687,19346.0,0.745,458.86,705.0,257.89,64.03,65134.0
845.0,85014.31910327068,13240.911198597012,6098.222947364419,32.596347416390316,-98.85562990561802,20007.0,0.7502,460.83,709.0,257.87,63.52,65071.0
901.0,71980.04780368347,10439.64550531376,6300.944781116588,32.57207793539224,-98.99497770382595,20672.0,0.7553,462.74,712.0,257.86,62.97,65008.0
957.0,58892.2817104546,7624.587918063349,6504.695001148922,32.54753346281862,-99.13482142108172,21341.0,0.7604,464.6,716.0,257.86,62.43,64946.0
1014.0,45752.44306369957,4797.530925076183,6709.49396828478,32.52272839010555,-99.27514439687036,22013.0,0.7654,466.38,720.0,257.87,61.88,64884.0
1070.0,32561.85895973418,1962.0119830085855,6915.354156540155,32.49769287181504,-99.41593103210754,22688.0,0.7703,468.08,723.0,257.87,61.31,64822.0
1126.0,19323.23717527464,-883.348342377619,7122.262045033274,32.47241288353907,-99.55715131835126,23367.0,0.775,469.69,727.0,257.86,60.74,64762.0
1183.0,6039.59697233888,-3739.621866909388,7330.162496080822,32.44687729717393,-99.69877188560763,24049.0,0.7797,471.19,730.0,257.87,60.14,64701.0
1239.0,-7286.316062920269,-6604.540437565723,7538.948500239795,32.42110498827134,-99.84076197029309,24734.0,0.7842,472.56,732.0,257.87,59.52,64642.0
1295.0,-20650.865788868894,-9477.54942645893,7748.457940784191,32.39509975849942,-99.98308216959208,25421.0,0.7885,473.78,734.0,257.87,58.89,64583.0
1352.0,-34049.74786834249,-12358.358680344889,7958.479055953815,32.368863372648875,-100.12568540076151,26110.0,0.7925,474.83,541.0,257.87,55.33,64528.0
1408.0,-47484.10488491933,-15246.519713318457,8113.313935549593,32.34239883267382,-100.26858282558004,26618.0,0.7953,475.52,41.0,257.74,47.12,64481.0
1464.0,-60945.56794669886,-18171.668242246615,8125.10368479472,32.31543906499274,-100.4116824520011,26657.0,0.7958,475.71,-459.0,257.5,39.2,64441.0
1521.0,-74412.6134542764,-21157.457411663596,7993.848303682558,32.28777209539103,-100.55475124452839,26227.0,0.7938,475.4,-959.0,257.48,31.69,64410.0
1577.0,-87881.01276381592,-24148.9573496537,7719.5477922111195,32.25989231514345,-100.69774633612889,25327.0,0.789,474.31,-1459.0,257.53,24.72,64385.0
1633.0,-101330.54355983651,-27123.689649947602,7302.202150379829,32.23200391841967,-100.84045453035921,23957.0,0.7807,471.97,-1959.0,257.57,18.37,64367.0
1690.0,-114723.29467552846,-30074.97053498061,6741.811378189265,32.20417183385707,-100.9824742749559,22119.0,0.7682,467.89,-2459.0,257.61,12.86,64354.0
1746.0,-128007.39263481207,-32993.472266869656,6038.37547564296,32.17648814943822,-101.12325692834361,19811.0,0.751,461.72,-2500.0,257.65,13.58,64340.0
1802.0,-141117.10619243947,-35863.795677359834,5323.1498238195245,32.149103695892784,-101.26210878943344,17464.0,0.7327,454.63,-2500.0,257.68,14.74,64325.0
1858.0,-154025.06614161673,-38684.04208508229,4607.924171994224,32.12204560611263,-101.39874299063315,15118.0,0.7139,446.99,-2500.0,257.71,15.83,64310.0
1915.0,-166716.0882080047,-41448.66842253572,3892.6985201678426,32.095373098426805,-101.53300306974032,12771.0,0.6948,438.98,-2500.0,257.73,16.85,64293.0
1971.0,-179179.05434384124,-44159.05804956158,3177.4728683407693,32.069083002260555,-101.66477485857475,10425.0,0.6759,430.75,-2500.0,257.76,17.8,64275.0
2027.0,-191407.63746432879,-46812.985006239905,2462.247216513219,32.04320411463608,-101.79399575724968,8078.0,0.6639,426.78,-2500.0,257.78,20.15,64255.0
2084.0,-203523.3640521251,-49437.68915109781,1747.0215646855327,32.0174772832503,-101.92195284514364,5732.0,0.6538,423.85,-2500.0,257.79,23.07,64232.0
2140.0,-215555.50786207497,-52041.350937611205,1031.7959128612797,31.99182714436278,-102.04895655654619,3385.0,0.5,326.87,-2000.0,257.79,8.49,64223.0
2196.0,-224824.9415902743,-54047.45422495785,459.61539139956335,31.97197781988307,-102.14675022513549,1508.0,0.3,197.41,-1500.0,257.13,9.5,64214.0
2253.0,-230398.62089541106,-55321.27808637031,30.480000302464532,31.959399069673967,-102.20551659384026,100.0,0.1,66.13,-1000.0,256.46,84.86,64129.0
