ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,227745.49932069136,60565.138712693595,30.480000032278134,33.00164000091338,-97.32075000099837,100.0,0.2297,151.92,1884.0,257.13,102.03,66198.0
56.0,223489.0488252787,59592.357914016604,570.7235995034811,32.993767808492116,-97.36661774278095,1872.0,0.4297,282.43,2162.0,272.13,89.24,66109.0
113.0,215344.05055459635,59894.8025456684,1190.6828901506892,32.998109487663164,-97.45385911169046,3906.0,0.5608,365.91,1662.0,286.45,83.65,66025.0
169.0,205189.57392164008,62892.24251839773,1667.2387660093948,33.02699472071315,-97.5620505998081,5470.0,0.6113,396.67,1162.0,286.73,78.87,65946.0
226.0,194182.22493221678,66200.30138158932,2000.391227460516,33.0587318036276,-97.67939580146903,6563.0,0.6551,423.46,662.0,286.07,74.94,65871.0
282.0,182378.6466026618,69601.56329574043,2190.1402772928827,33.091331499926575,-97.80535134325078,7185.0,0.6578,424.25,661.0,274.49,74.21,65797.0
339.0,170109.56704779947,70565.13861475428,2379.758433799088,33.101962377868894,-97.93685029365123,7808.0,0.6302,405.55,1027.0,269.24,75.5,65722.0
395.0,158356.1062951816,70408.36287076499,2674.2827777208017,33.102309586616244,-98.06303920042687,8774.0,0.5801,371.97,1527.0,270.83,77.94,65644.0
452.0,147591.03325488247,70565.13865982444,3112.2105206176016,33.10521798775502,-98.17856874825564,10211.0,0.5934,378.52,1440.0,268.06,75.91,65568.0
508.0,136638.7144997078,70194.15663955706,3525.1503343700724,33.103298930319774,-98.2961946595954,11565.0,0.6355,403.34,1153.0,253.06,72.79,65495.0
565.0,125459.43766346914,66789.10410560708,3855.869647579746,33.074014414566335,-98.41666720803624,12650.0,0.6916,437.15,673.0,238.06,69.17,65426.0
621.0,114698.87200085245,60080.81232450511,4048.7529943390578,33.01486794453856,-98.53298050758222,13283.0,0.6968,439.39,676.0,230.03,68.73,65357.0
677.0,104931.58686719682,51893.46282908737,4242.506583976618,32.94221927186656,-98.63866104070608,13919.0,0.702,441.61,679.0,245.03,68.27,65289.0
734.0,93319.69876674733,46485.86585240454,4437.140005721424,32.89463567401148,-98.76363638938363,14558.0,0.7073,443.83,682.0,260.03,67.8,65221.0
