ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-745481.1736246865,280374.15614497877,30.480000042722992,33.00160362344586,-97.32076275029284,100.0,0.2371,156.78,1890.0,104.09,337.05,65963.0
188.0,-731058.0188949606,276753.0994640986,1831.6821921267156,32.97855688467331,-97.16370965369082,6009.0,0.227,147.05,1390.0,105.09,331.56,65631.0
375.0,-717521.22371484,273102.02466014045,3156.307112094754,32.95448978660964,-97.01618877368543,10355.0,0.2756,175.71,1501.0,120.09,315.64,65316.0
563.0,-703027.5498516645,264702.24609748943,4587.143573784746,32.88832779208561,-96.85496200029186,15050.0,0.4756,297.9,1731.0,135.09,256.0,65060.0
751.0,-682974.4737344608,244583.01896930416,6236.901857789304,32.72034166210229,-96.62614304817795,20462.0,0.6756,414.29,1231.0,128.72,220.15,64840.0
938.0,-652031.0052786127,219772.4059819817,7410.082869594071,32.516119351294016,-96.27906413584154,24311.0,0.781,471.49,731.0,127.91,199.63,64640.0
1126.0,-616299.9376473275,191943.45681274647,8106.686609287847,32.286417393294364,-95.88081854527249,26597.0,0.7946,475.15,442.0,127.91,177.73,64462.0
1313.0,-580223.3164040777,163844.09250674833,8527.926430426895,32.05316342843769,-95.48081482845605,27979.0,0.8015,476.45,9.0,127.72,150.67,64312.0
1501.0,-543848.0786515886,135708.32771505596,8536.666949758215,31.818415074661832,-95.07972171090606,28007.0,0.8026,477.03,36.0,125.55,152.05,64160.0
1689.0,-506394.4903576626,108942.88293124057,8570.688063301208,31.595120335231346,-94.67004646858031,28119.0,0.8039,477.62,47.0,121.88,152.29,64007.0
1876.0,-467257.3432595653,84603.82056471599,8615.56406242398,31.39292041098084,-94.24579861873558,28266.0,0.8055,478.22,45.0,118.06,151.74,63856.0
2064.0,-426534.1904393425,62898.37487803198,8658.172305049886,31.213503673821183,-93.80787012111249,28406.0,0.8069,478.82,39.0,115.27,151.0,63704.0
2252.0,-384749.6820284879,43174.64839849001,8695.548735469316,31.05071275776147,-93.36125225608919,28529.0,0.8084,479.41,30.0,113.65,150.17,63554.0
2439.0,-342368.4630202777,24617.793284156756,8724.30276213206,30.897008114091573,-92.91032783854517,28623.0,0.8097,480.0,16.0,112.93,149.19,63405.0
2627.0,-299703.42447254044,6565.203799997144,8739.791127816778,30.7463141184138,-92.45805102557274,28674.0,0.8109,480.59,-8.0,112.9,147.86,63257.0
2814.0,-256969.00472961858,-11487.822003290488,8732.114217389859,30.594034757949807,-92.0064846996384,28649.0,0.8117,481.16,-354.0,112.91,130.34,63127.0
3002.0,-214090.04701350958,-29613.047305663553,8394.390014354132,30.43954525441174,-91.5548353549331,27541.0,0.8077,481.02,-500.0,113.1,126.84,63000.0
3190.0,-171242.69210606115,-47886.63353122633,7917.812742278882,30.282134345337447,-91.10494215001982,25977.0,0.7996,479.39,-174.0,113.62,148.79,62851.0
3377.0,-128797.05085675708,-66444.77718925172,7752.094319285863,30.120555605479748,-90.66065424903685,25433.0,0.6055,363.8,326.0,114.53,140.61,62711.0
3565.0,-96920.33622076655,-80992.23768519548,8062.953168368867,29.992719567890443,-90.32790685081544,26453.0,0.6132,366.9,500.0,99.53,151.01,62560.0
3753.0,-62112.465990571895,-86836.04019774958,8539.53044045981,29.942455394768132,-89.96614316816063,28017.0,0.8132,483.35,422.0,103.04,171.81,62388.0
3940.0,-16789.291867373955,-97330.52635552973,8942.158082422384,29.849553986265555,-89.49560537338083,29338.0,0.82,484.63,-78.0,103.65,142.54,62245.0
4128.0,28691.07357746144,-108378.18942128372,8868.208453535053,29.749977279806956,-89.02435102666244,29095.0,0.82,485.13,-69.0,103.52,143.94,62101.0
4315.0,74242.40049479384,-119328.4597663388,8802.556081199024,29.64957402681807,-88.55330236715331,28880.0,0.82,485.58,-62.0,103.44,145.13,61956.0
4503.0,119848.260555459,-130228.34803184924,8743.05374698109,29.547925951238685,-88.08264000820908,28685.0,0.82,485.99,-57.0,103.44,146.14,61810.0
