ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-745481.1737181545,280374.1562448037,30.48000000017884,33.00160362427783,-97.3207627513718,100.0,0.3,198.38,2298.0,104.09,322.97,65977.0
184.0,-727608.594132186,275887.0915026578,2178.718390303391,32.973016358294636,-97.12616110365245,7148.0,0.5,322.51,1798.0,119.09,263.73,65713.0
368.0,-701237.7398616627,261213.2968330495,3859.5431007893517,32.85819270565548,-96.83323864426922,12663.0,0.6245,394.72,1298.0,114.28,238.07,65475.0
552.0,-667449.2218294907,245973.54436482652,5072.954001976645,32.74195777941565,-96.46155971460496,16644.0,0.7118,443.1,798.0,128.79,217.84,65257.0
736.0,-634913.6247396708,219824.96818527763,5818.951200740423,32.52617574040898,-96.09692183744767,19091.0,0.7429,458.01,704.0,136.15,209.94,65047.0
920.0,-605009.8369989416,188691.58277153043,6476.725621691624,32.26323904361657,-95.75889204967996,21249.0,0.7595,464.25,715.0,121.15,204.24,64843.0
1104.0,-567569.1195286582,166057.67663689717,7145.38107174177,32.07927401262584,-95.34805242827541,23443.0,0.7754,469.75,727.0,106.15,198.25,64645.0
1288.0,-525055.1356339231,153743.1671289137,7825.019654734649,31.988830247687126,-94.89078235651216,25673.0,0.7897,474.05,279.0,91.15,169.13,64476.0
1472.0,-480267.89889491344,152840.91902162973,8086.01300761426,32.00011557569893,-94.41598956159369,26529.0,0.795,475.53,282.0,106.15,166.52,64309.0
1656.0,-437107.05535598303,140339.04536972917,8349.604402835861,31.904920936140154,-93.95312087887186,27394.0,0.8,476.73,142.0,103.93,156.6,64153.0
1840.0,-393343.5504858826,129486.44351723719,8482.693143470178,31.823071531457913,-93.48550499721686,27830.0,0.8027,477.47,0.0,88.93,147.96,64005.0
2024.0,-348149.906717253,130332.5548143587,8482.70419454626,31.845049287482418,-93.00776032938859,27830.0,0.8036,478.01,0.0,96.39,148.02,63857.0
2208.0,-303178.39326547773,125293.03568945432,8482.72510869889,31.81233603273076,-92.53032868499136,27830.0,0.8045,478.55,-114.0,111.39,142.31,63714.0
