ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-342402.7862315357,-108051.87493864399,30.48000027179922,33.00162385801178,-97.32074316738502,100.0,0.2332,154.18,1917.0,69.33,169.77,66130.0
94.0,-335513.74475097074,-105452.79608211004,946.3670728024528,33.02715317462404,-97.2478802759894,3105.0,0.2091,136.82,1417.0,84.33,169.11,65961.0
188.0,-328988.2690236101,-104804.87720900826,1623.4306958505333,33.03499921946409,-97.17816438505332,5326.0,0.1898,123.24,993.0,99.33,168.75,65792.0
282.0,-323140.7435551691,-105765.55360488694,2097.8022243422865,33.028149328039355,-97.11513070911793,6883.0,0.1979,127.8,981.0,114.33,167.29,65625.0
376.0,-317539.6977177931,-108298.01297114062,2566.455054154202,33.007071889664516,-97.05419822157609,8420.0,0.212,136.1,1039.0,129.33,165.22,65460.0
470.0,-312477.21752772696,-112445.98176626295,3062.679416257303,32.97129144863028,-96.99850996506196,10048.0,0.2317,147.86,1137.0,120.0,162.29,65298.0
564.0,-306321.7387343431,-115999.84926747794,3605.5470125285833,32.94113577144428,-96.9313630777555,11829.0,0.2602,164.99,1256.0,105.0,157.32,65140.0
658.0,-298663.47497381136,-118051.87493880348,4205.593538370133,32.924856937620234,-96.84866647504104,13798.0,0.3021,190.12,1416.0,90.0,150.31,64990.0
752.0,-289531.1807258823,-118051.87493870026,4881.9683679475565,32.92736044879742,-96.75087215279204,16017.0,0.4445,277.39,1823.0,87.51,133.87,64856.0
846.0,-276229.1396402054,-117472.27935404182,5752.852630335029,32.93607688279907,-96.60859191255906,18874.0,0.6445,397.72,1330.0,72.51,113.04,64743.0
940.0,-257966.83292059143,-111715.97973291641,6388.194260493041,32.99236015170749,-96.41462045659817,20959.0,0.7435,454.98,830.0,67.55,105.59,64637.0
1034.0,-237684.3121576152,-103333.77131754914,6784.712440852619,33.07239505566816,-96.19942428666717,22260.0,0.7682,467.67,721.0,68.35,102.89,64535.0
1128.0,-216710.03818416168,-95007.03127994644,7129.255457013741,33.151701361202136,-95.97639519651683,23390.0,0.7764,470.46,727.0,68.61,101.3,64433.0
1222.0,-195572.85010568472,-86729.0221206292,7476.529769179689,33.23020069518763,-95.75120144042208,24529.0,0.7842,472.95,732.0,68.75,99.63,64334.0
1316.0,-174304.96605472462,-78457.33064560189,7825.949074206747,33.30825752488005,-95.52419640995195,25676.0,0.7914,475.06,734.0,68.78,97.84,64236.0
1410.0,-152937.8947397649,-70161.45001903607,8176.4819764098775,33.38613191410354,-95.29572133350909,26826.0,0.798,476.68,733.0,68.79,95.93,64140.0
1504.0,-131496.4372933059,-61842.31420999616,8526.817919253164,33.463804541435714,-95.06603897012816,27975.0,0.8035,477.67,233.0,68.78,81.38,64058.0
1598.0,-109974.86858024112,-53485.463235134775,8638.330413731246,33.54139959846003,-94.8350857567601,28341.0,0.8054,478.03,37.0,68.77,75.69,63983.0
1692.0,-88423.84677072991,-45114.42323155475,8656.13192663242,33.61869447644991,-94.603401628948,28399.0,0.8061,478.33,35.0,68.78,75.55,63907.0
1786.0,-66858.65028654442,-36739.870054389816,8672.928880088099,33.695588393187606,-94.37114938256964,28454.0,0.8068,478.62,35.0,68.78,75.47,63832.0
1880.0,-45279.671430842456,-28361.34129465079,8689.882122474948,33.77208258967376,-94.13833300974976,28510.0,0.8075,478.92,36.0,68.79,75.41,63756.0
1975.0,-23686.342553923405,-19980.244202855713,8706.900459046346,33.84816154223876,-93.90494606143679,28566.0,0.8082,479.21,36.0,68.79,75.33,63681.0
2069.0,-2079.4930855359676,-11594.453448834489,8724.033822860258,33.92384147184106,-93.67099736710291,28622.0,0.8089,479.51,33.0,68.79,75.17,63606.0
2163.0,19541.403394946603,-3204.65837434026,8739.834503262931,33.99911267976287,-93.43648130484532,28674.0,0.8095,479.81,34.0,68.79,75.12,63531.0
