ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-342402.7863295289,-108051.87483927229,30.480000000011504,33.00162385887315,-97.32074316847265,100.0,0.3,198.38,1665.0,69.33,149.95,66150.0
94.0,-333517.46619008516,-104699.64527154762,823.6965212263705,33.03454307200159,-97.22675849192042,2702.0,0.5,327.65,1165.0,84.32,121.47,66029.0
188.0,-317844.3678653052,-103141.61333094447,1378.667749965497,33.053310089643425,-97.0592737013657,4523.0,0.6466,421.04,665.0,69.4,128.49,65900.0
281.0,-298864.0107041138,-96007.47824062055,1695.391439530999,33.12288468056322,-96.85808850563208,5562.0,0.651,422.33,663.0,54.4,126.43,65774.0
375.0,-282326.22825636173,-84167.77157999069,2011.4259376450023,33.23377919423259,-96.68430085280964,6599.0,0.6555,423.65,163.0,49.2,112.12,65662.0
469.0,-266858.1111755784,-70816.63632879489,2089.240004195772,33.35775173629683,-96.52203851895403,6854.0,0.6567,424.04,662.0,64.2,123.89,65538.0
563.0,-248472.3068938992,-61929.077623284946,2404.781405803006,33.44208725040301,-96.32662451096654,7890.0,0.609,391.74,1161.0,79.2,125.15,65412.0
657.0,-229973.1417678254,-58400.58109844515,2958.0657485572415,33.47797227084992,-96.12822263440029,9705.0,0.6693,427.71,661.0,94.2,118.42,65294.0
750.0,-209431.2989400786,-59909.51405354286,3273.122184366073,33.46866195503468,-95.90644213348146,10739.0,0.6767,430.78,664.0,109.2,117.02,65177.0
844.0,-189840.73490832263,-66732.1219174544,3589.500856439501,33.411011724475074,-95.6938302293859,11777.0,0.6852,434.52,668.0,97.82,115.82,65061.0
938.0,-169111.60486176895,-69580.60792372977,3907.6626935779664,33.388903849655115,-95.4700007103903,12820.0,0.5911,373.36,1167.0,82.82,113.65,64948.0
1032.0,-151306.47878335544,-67339.17000897866,4463.822535084074,33.411741271498556,-95.27863138539927,14645.0,0.3911,245.33,1513.0,67.83,130.85,64817.0
1126.0,-140413.93814523326,-62899.55811601317,5184.702713031807,33.45315582125841,-95.1619927284844,17010.0,0.2869,178.34,1013.0,52.83,145.04,64672.0
1219.0,-133588.777731255,-57723.70268843465,5667.4869398194705,33.50057648085494,-95.08921121629746,18594.0,0.4298,265.49,1513.0,37.83,125.78,64546.0
1313.0,-125781.4517960381,-47667.74105497685,6388.419798532636,33.59195314223426,-95.00644603033176,20959.0,0.6297,385.38,1224.0,22.83,105.89,64440.0
1407.0,-118598.7676597583,-30602.15857164515,6971.793918385361,33.74623621310765,-94.93120141140548,22873.0,0.7732,469.51,725.0,31.75,101.78,64338.0
1501.0,-106707.57044900794,-11382.716132329422,7317.0298826577955,33.920331589691386,-94.80494025988922,24006.0,0.7812,472.16,718.0,46.75,99.84,64238.0
1595.0,-90153.99701026047,4191.987834636364,7659.198646141994,34.06193716180539,-94.62715969948746,25129.0,0.7886,474.46,487.0,61.75,92.35,64146.0
1688.0,-70020.21445057141,15012.512552175062,7891.454061532998,34.16078212071425,-94.40947374591876,25891.0,0.7935,475.86,5.0,76.74,78.83,64067.0
1782.0,-47669.820477363726,20277.40403433857,7893.601367221688,34.20938666462591,-94.16685452601885,25898.0,0.7939,476.11,310.0,91.74,86.64,63981.0
1876.0,-24730.076286713662,19578.574185193433,8041.385462499458,34.203896671384314,-93.91737363239461,26382.0,0.7616,455.82,807.0,106.74,94.76,63886.0
1970.0,-3726.6462334147764,13259.330101269812,8426.076851573209,34.14735237798237,-93.68895622076678,27645.0,0.8036,478.41,376.0,121.74,85.4,63800.0
2064.0,15879.865919021677,1128.9789534076697,8605.167212074803,34.03814776985906,-93.47612119998591,28232.0,0.8066,478.94,-122.0,116.85,71.65,63729.0
2157.0,36507.69431374673,-9313.660510789005,8547.035093373524,33.94372064746965,-93.25269394944263,28041.0,0.8063,479.16,-515.0,101.86,61.82,63667.0
2251.0,59173.367873832394,-14072.220327506746,8301.544942872115,33.8998953044847,-93.00731158839521,27236.0,0.7767,463.16,-16.0,89.55,72.8,63594.0
2345.0,81523.32031601871,-13895.948519198564,8293.975528561377,33.89998552416205,-92.76514177403092,27211.0,0.5767,343.95,483.0,85.88,75.47,63519.0
2439.0,98049.29707824283,-12706.524799744537,8524.019648312405,33.90927052568707,-92.58595838804311,27966.0,0.5661,336.55,930.0,100.3,91.55,63427.0
2533.0,113972.23425411971,-15600.681120951844,8967.060392783897,33.881640838803676,-92.41380387026736,29419.0,0.7661,452.61,438.0,87.78,79.63,63347.0
2626.0,135762.97050416944,-14754.259977801623,9175.785939286216,33.88666563523931,-92.17764411041496,30104.0,0.8199,482.95,-41.0,72.78,71.03,63276.0
2720.0,158025.5738070656,-7853.171423052963,9156.040408170702,33.94560547159069,-91.93525072364262,30040.0,0.82,483.16,-433.0,57.78,61.13,63215.0
2814.0,177777.5824148024,4596.010751492626,8949.52493887937,34.054373585321116,-91.7186176854632,29362.0,0.8143,481.2,-933.0,51.49,49.06,63166.0
2908.0,196000.3307977748,19097.620988424755,8504.932796973335,34.181493069205615,-91.51757640946894,27903.0,0.8091,481.12,-974.0,36.95,50.62,63116.0
3002.0,209998.20000320242,37707.127044222805,8040.720418077653,34.34606320183544,-91.36090494971485,26380.0,0.8014,479.63,-1474.0,32.59,40.52,63075.0
