ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,43181.0178498249,379194.33206843375,30.480000299538293,33.00164000089521,-97.32074999892396,100.0,0.2412,159.48,1994.0,186.96,169.19,66131.0
94.0,42259.23263368566,371648.23383796855,981.2264876101514,32.93381125179866,-97.33096601449128,3219.0,0.2917,190.78,2134.0,171.96,164.16,65967.0
188.0,43531.74103967449,362634.5086910582,1999.0138970188711,32.852703384842215,-97.3177524611965,6558.0,0.3428,221.56,2141.0,156.96,156.65,65810.0
282.0,47674.32411955378,352892.03037506854,3019.863590587277,32.76492703285169,-97.27391708268316,9908.0,0.3678,234.86,2005.0,159.56,150.03,65660.0
376.0,51597.917489301726,342363.20669452724,3976.0282735972482,32.67007467440951,-97.2325457487577,13045.0,0.5516,348.13,1745.0,174.56,128.12,65532.0
469.0,53181.01784977589,325733.60031629546,4808.071918996568,32.52045396281919,-97.21656232247454,15775.0,0.6497,405.8,1245.0,180.0,116.8,65415.0
563.0,53181.01784730754,306218.8741228686,5401.672499357796,32.34495818724349,-97.21763609384793,17722.0,0.7266,450.4,745.0,186.0,109.27,65306.0
657.0,50913.96644762678,284638.9533387035,5756.8300146812135,32.15098977322689,-97.24288718117285,18887.0,0.7412,457.36,703.0,188.48,107.37,65198.0
751.0,47666.009474434446,262842.6012357595,6091.8559295122195,31.955109573966137,-97.27843399656577,19986.0,0.7498,460.65,708.0,189.49,105.89,65093.0
845.0,44006.71142590722,240951.51057620408,6429.6672349761775,31.758382670450136,-97.31818266761628,21095.0,0.7583,463.8,714.0,190.49,104.4,64988.0
939.0,39937.97913732957,218979.52790951825,6770.353393126095,31.560929679574194,-97.36208611999243,22212.0,0.7666,466.76,721.0,190.69,102.89,64885.0
1033.0,35765.68720019381,196882.795865092,7113.985162430679,31.362342953654018,-97.40689907668119,23340.0,0.7746,469.48,421.0,190.7,93.64,64792.0
1127.0,31563.819255164017,174634.69327956808,7314.557712641372,31.16238021309581,-97.45183870001954,23998.0,0.7792,471.01,-79.0,190.82,79.63,64712.0
1220.0,27292.142408167158,152286.5951624423,7276.687197859456,30.961504247117794,-97.49732386539326,23874.0,0.7788,470.98,-579.0,190.85,66.53,64645.0
1314.0,23002.43758865233,129908.14770910692,7000.373618095674,30.76033984771808,-97.54280756971485,22967.0,0.7731,469.25,-926.0,192.3,58.6,64587.0
1408.0,18162.78849745429,107704.93646169142,6558.897364634114,30.560743896281867,-97.59384192151595,21519.0,0.7235,441.78,-426.0,185.59,67.14,64520.0
1502.0,16082.259314006953,86443.72097471633,6355.864176159876,30.369566725812785,-97.61589643016654,20853.0,0.5235,320.52,74.0,191.72,62.51,64457.0
1596.0,12938.718823533536,71290.97196994298,6391.274052684188,30.233332119239552,-97.64884813507075,20969.0,0.3235,197.98,574.0,206.72,116.39,64341.0
1690.0,8649.191250771766,62769.661775005785,6665.126994191888,30.156735792421,-97.69356667475378,21867.0,0.4349,265.17,1074.0,221.72,109.81,64231.0
1784.0,162.88536108417236,53251.581626801686,7177.423000293223,30.071167968321667,-97.78183232470555,23548.0,0.6349,384.47,574.0,236.72,83.03,64148.0
1878.0,-15329.169847865234,43082.99937770388,7451.275941589963,29.979624756040316,-97.942676627238,24446.0,0.7849,473.53,74.0,228.21,83.02,64065.0
1971.0,-32376.54471465297,27848.105770421207,7486.685817979515,29.842286536669082,-98.11920571930202,24563.0,0.786,473.96,173.0,215.8,85.38,63980.0
2065.0,-45759.34924644263,9294.556748549103,7569.048113007133,29.675011786787696,-98.25716946263464,24833.0,0.788,474.69,673.0,200.8,97.46,63882.0
2159.0,-53882.50743447435,-12086.239687051107,7889.853472726835,29.482408950283638,-98.34018739544514,25885.0,0.7948,476.67,733.0,185.8,97.22,63785.0
2253.0,-56204.220127885455,-34930.48893304523,8239.279515287688,29.27686849931522,-98.36299870391632,27032.0,0.8014,478.33,730.0,180.0,95.27,63690.0
2347.0,-56204.22012692492,-57972.39467502294,8587.532020510349,29.069652783363434,-98.36182423358666,28174.0,0.8071,479.38,338.0,180.0,83.6,63606.0
2441.0,-56204.22012703689,-81096.70377432574,8748.769277534613,28.86169601755911,-98.36065532041503,28703.0,0.8096,479.77,82.0,180.0,76.18,63530.0
2535.0,-56204.22012013322,-104260.19383358181,8787.700294344757,28.65338688825546,-98.35949415903708,28831.0,0.8105,480.07,88.0,178.68,76.12,63454.0
2629.0,-55668.72181378034,-127431.22750939325,8829.721576553513,28.445033377469716,-98.35286563803942,28969.0,0.8115,480.36,425.0,177.93,84.41,63369.0
2722.0,-54831.87369582541,-150580.17829079492,9032.282767687431,28.236890950862602,-98.34319366291521,29633.0,0.8139,480.43,-75.0,177.63,70.54,63299.0
2816.0,-53872.81372550734,-173768.09732034587,8996.400895449806,28.028402340177077,-98.3323179868037,29516.0,0.8142,480.82,-575.0,177.5,57.92,63241.0
