ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,43181.01784984364,379194.3320684664,30.480000285985053,33.0016400008955,-97.32074999892376,100.0,0.2767,182.94,1663.0,186.96,186.28,66114.0
112.0,41909.95488733189,368788.90811029635,980.5721328266715,32.908109741915275,-97.33483292507333,3217.0,0.4767,311.79,1163.0,171.96,142.14,65972.0
225.0,44419.777788555555,351010.75144573976,1645.053538968198,32.74813679272491,-97.30879326833403,5397.0,0.6503,422.08,663.0,162.06,151.96,65820.0
337.0,51924.87913350348,327836.7483124964,2023.9242187019681,32.53942376626854,-97.22984034830837,6640.0,0.6556,423.66,662.0,177.06,149.05,65671.0
450.0,53181.01784981866,303419.70241953654,2402.053457642898,32.31978525660243,-97.21778948225291,7881.0,0.661,425.26,661.0,192.05,146.16,65524.0
562.0,48057.35715584655,279419.2313709695,2779.740435229964,32.10416803855188,-97.27347640823092,9120.0,0.5273,337.69,1161.0,207.05,136.75,65388.0
675.0,39214.234651129365,262101.53015943329,3443.038139219947,31.948753925582068,-97.36802146731581,11296.0,0.3273,207.93,1661.0,198.72,178.18,65209.0
787.0,35388.82194932564,250811.42106645688,4391.946569600245,31.847340666562655,-97.40895864042416,14409.0,0.4677,293.64,1705.0,213.72,153.12,65056.0
900.0,26033.04560616847,236792.49213195094,5365.64039275722,31.721507332768272,-97.50835035556445,17604.0,0.6677,414.07,1205.0,228.72,136.23,64920.0
1012.0,8120.584935985773,221065.89854740864,6053.723489523528,31.58033086322197,-97.69781657136501,19861.0,0.7497,460.82,705.0,218.7,126.89,64793.0
1124.0,-8500.556615030746,200319.35113913467,6456.209411454262,31.393750158863476,-97.87306827189872,21182.0,0.751,459.19,676.0,203.7,122.27,64671.0
1237.0,-19148.94859836617,176061.6807369267,6842.6008590432,31.175473940425746,-97.98477767102644,22449.0,0.551,335.18,176.0,188.7,79.96,64591.0
1349.0,-22079.78457059932,156908.66538839805,6943.3815802777635,31.003177421325272,-98.01516604134252,22780.0,0.5679,345.01,-324.0,173.7,58.48,64533.0
1462.0,-19887.16682010822,137048.06538757862,6758.551575126072,30.824605304298117,-97.99177902822221,22174.0,0.7679,467.65,-824.0,158.7,74.95,64458.0
1574.0,-10031.240899712184,111768.87541433414,6288.110843582769,30.597385475916646,-97.88832544107896,20630.0,0.7569,463.82,-1324.0,143.7,61.37,64396.0
1687.0,5925.021438804584,90047.02813416335,5532.059385662349,30.402063072872302,-97.72174696789091,18150.0,0.557,344.67,-1819.0,158.7,13.96,64382.0
1799.0,13206.03395140292,71372.16186841023,4492.90257114323,30.234059437941443,-97.64606468687921,14740.0,0.357,223.84,-1319.0,161.12,15.41,64367.0
1912.0,17408.96260780644,59083.238153617836,3739.356482915725,30.123490499413684,-97.60251883304367,12268.0,0.2277,144.14,-819.0,176.1,47.25,64320.0
2024.0,17976.32912055693,50753.75789909532,3271.4211210394483,30.04857373982072,-97.59676058293903,10733.0,0.2769,176.25,-319.0,190.21,65.12,64254.0
2136.0,16166.882929053385,40710.55751553314,3089.096485466452,29.95827825416153,-97.61571192065387,10135.0,0.4769,304.24,181.0,175.46,85.42,64169.0
2249.0,17560.123077015538,23177.894316505328,3192.3825760299796,29.800584607865623,-97.6015371892872,10474.0,0.6764,431.02,126.0,178.5,124.17,64045.0
2361.0,18212.467555318708,-1735.9599621740433,3264.148051159975,29.57651999889784,-97.595196591751,10709.0,0.4765,303.35,625.0,193.5,105.98,63939.0
2474.0,14125.721719458028,-18758.337062163828,3621.4036354635086,29.423487247740287,-97.63767731007204,11881.0,0.3956,250.76,1124.0,187.59,133.8,63805.0
2586.0,12219.22264076866,-33066.07249951816,4263.440320002111,29.294834918715296,-97.65752196098191,13988.0,0.5942,373.66,1108.0,202.42,130.83,63674.0
2699.0,4012.1716637793415,-52959.970894625956,4896.463335879226,29.11597805554248,-97.74222558573572,16065.0,0.5139,320.58,1419.0,217.42,135.85,63538.0
2811.0,-7187.143450259727,-67598.4483176775,5707.059388687141,28.984316931306928,-97.85741192876296,18724.0,0.7139,440.76,930.0,225.75,129.82,63409.0
2924.0,-25384.03148195915,-85323.65325254196,6238.144240593541,28.82467608720189,-98.04408409089434,20466.0,0.5145,315.49,1421.0,210.75,133.59,63275.0
3036.0,-34656.75130603512,-100908.27561021985,7049.707368641198,28.6843016109803,-98.13878414354377,23129.0,0.3463,210.05,921.0,195.75,151.0,63124.0
3148.0,-37940.879555489184,-112550.41046066477,7575.976303427014,28.579508652185336,-98.17205699267733,24856.0,0.3753,226.06,934.0,180.75,143.47,62981.0
3261.0,-38112.352519709646,-125567.58476649899,8109.775200306458,28.462438588705414,-98.17337453178219,26607.0,0.5753,343.99,694.0,165.76,98.59,62882.0
3373.0,-33230.947531938706,-144798.17738258376,8505.947423414931,28.28963175320411,-98.1228811890013,27907.0,0.7753,461.04,194.0,161.71,91.55,62790.0
