ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-328188.5786636536,172412.86261633874,30.48000030430521,33.00162408277781,-97.32075918833688,100.0,0.3,198.38,2414.0,114.72,174.81,66125.0
99.0,-319174.93033082405,168262.5104384175,1239.6997078455934,32.96693612366885,-97.22273512099139,4067.0,0.4813,313.87,2209.0,116.41,154.58,65971.0
197.0,-305039.8735959393,161241.4287663678,2346.4002082737743,32.90777985139557,-97.06900227137281,7698.0,0.5081,327.07,1983.0,116.43,145.97,65825.0
296.0,-290295.61458359135,153912.49027717506,3340.106372417965,32.84582688528521,-96.90886103280114,10958.0,0.5369,341.49,1803.0,116.46,138.27,65686.0
394.0,-274892.1308998968,146245.34936109543,4243.26996687933,32.780792223133595,-96.74179552748896,13921.0,0.568,357.31,1671.0,116.51,132.02,65554.0
493.0,-258771.94181538039,138205.82212896322,5080.632313746327,32.71235423363755,-96.56721395392468,16669.0,0.5987,372.66,1545.0,116.56,126.1,65428.0
592.0,-241958.3910588046,129800.38492582447,5854.841865882762,32.64053487342651,-96.38540358389787,19209.0,0.629,387.6,1424.0,116.62,120.55,65308.0
690.0,-224471.74670837357,121034.77352851101,6568.3021549498035,32.56535039774653,-96.19661900452647,21550.0,0.6589,402.26,1307.0,116.69,115.37,65192.0
789.0,-206325.6314665978,111913.2174745138,7222.99401002763,32.486805035579835,-96.00104396531788,23697.0,0.6886,416.72,1193.0,116.75,110.55,65082.0
888.0,-187529.30417617757,102439.88074716687,7820.696423935451,32.40490313932714,-95.79881629152807,25658.0,0.718,430.99,1083.0,116.8,106.15,64976.0
986.0,-168090.278893932,92620.31080456848,8363.175690070646,32.31966154688988,-95.59005612935113,27438.0,0.7472,445.19,975.0,116.84,102.12,64874.0
1085.0,-148010.2285886755,82459.22170013229,8851.854075355499,32.231090104500254,-95.37482192026475,29042.0,0.7689,454.99,897.0,116.87,98.73,64775.0
1183.0,-127487.33170617379,72062.45872292783,9301.174163622594,32.140085461003075,-95.15527311664677,30516.0,0.7839,460.93,1025.0,116.88,100.72,64674.0
1282.0,-106709.9295632283,61531.825748857766,9814.719632665176,32.047523062001204,-94.93344769584004,32201.0,0.7894,460.76,925.0,116.87,95.75,64578.0
