ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-328188.57866408554,172412.86261316767,30.48000000907877,33.00162408274919,-97.32075918834039,100.0,0.1913,126.53,1418.0,114.72,185.44,66115.0
102.0,-322223.94566178403,169666.43556671753,764.5281850035846,32.97867843974644,-97.25588477274476,2508.0,0.1693,111.0,918.0,129.72,185.37,65929.0
204.0,-317774.42899139994,165969.25226231795,1239.6830947863932,32.94672893172384,-97.20694773212857,4067.0,0.1774,115.67,921.0,144.72,184.31,65745.0
306.0,-314292.0967863565,161046.643392485,1716.3893097052003,32.90347926936279,-97.16798775998906,5631.0,0.1859,120.59,924.0,139.81,182.95,65562.0
408.0,-310234.34552510147,156243.9371505138,2194.8052969248897,32.861453275583536,-97.12294948035114,7201.0,0.195,125.78,928.0,124.81,181.31,65381.0
510.0,-304848.9950956298,152500.19623981934,2675.0979395275804,32.829286483236686,-97.06410087312882,8777.0,0.2047,131.24,932.0,109.81,179.36,65201.0
612.0,-298408.87479517603,150180.85902573197,3157.4429118970743,32.81017155781265,-96.99447107403567,10359.0,0.2153,137.24,934.0,94.81,176.88,65024.0
713.0,-291275.4385602079,149581.10591417382,3641.309317174647,32.80665058792131,-96.91799349424804,11947.0,0.2278,144.38,933.0,79.81,173.37,64851.0
815.0,-283861.6358220354,150914.269399255,4124.320789682993,32.82052519707848,-96.83911074126317,13531.0,0.2462,155.09,982.0,94.81,168.85,64682.0
917.0,-275799.5741113927,150236.440877639,4632.665043606279,32.81643829501494,-96.75267484981846,15199.0,0.2906,181.93,1227.0,109.81,161.23,64521.0
1019.0,-266880.14976695133,147024.2100847291,5267.98813132762,32.789719183859425,-96.65635332385433,17283.0,0.481,298.67,1722.0,124.81,136.71,64384.0
1121.0,-254115.69569699516,138150.72832853178,6159.630520795669,32.7129177684419,-96.51745040246917,20209.0,0.681,418.0,1222.0,127.68,119.53,64265.0
1223.0,-236848.42488556358,124814.1718967802,6792.379634668969,32.59679860453048,-96.32959460155458,22285.0,0.7698,468.55,722.0,123.16,111.43,64153.0
1325.0,-216334.90459619556,111410.64194242755,7166.235472947731,32.480420341797625,-96.10761446150644,23511.0,0.7787,471.63,728.0,122.67,109.54,64044.0
1427.0,-195571.96541419803,98097.34907345791,7543.1333314287385,32.36450582219092,-95.88357354493418,24748.0,0.7872,474.38,732.0,122.43,107.53,63936.0
1529.0,-174633.3920116155,84794.26428466426,7922.119325216762,32.2483131832593,-95.65824323811695,25991.0,0.7952,476.67,733.0,122.34,105.39,63831.0
1631.0,-153573.32138684907,71460.05612238657,8301.569619997941,32.131456462513654,-95.43219592973644,27236.0,0.8022,478.38,656.0,122.33,101.12,63730.0
1733.0,-132430.41030834598,58077.112525177195,8641.004991588758,32.0137687679721,-95.20584399117467,28350.0,0.8075,479.29,156.0,123.46,85.42,63644.0
1835.0,-111475.23209506038,44228.715383597206,8721.547091759921,31.89147473617346,-94.98200985078036,28614.0,0.8091,479.65,19.0,123.14,81.13,63563.0
1937.0,-90416.18522142015,30481.81059127457,8731.453770550334,31.769708434028836,-94.7576826246259,28647.0,0.8097,479.97,36.0,121.63,81.56,63482.0
2039.0,-68989.92105641718,17285.539200077135,8749.979184428375,31.652521948192657,-94.53010698569376,28707.0,0.8105,480.29,44.0,119.93,81.68,63400.0
2140.0,-47167.03669118912,4723.687148449054,8772.732355719509,31.54065260905217,-94.29895224025253,28782.0,0.8113,480.61,36.0,118.14,81.34,63319.0
2242.0,-24946.912411239868,-7158.817052686366,8791.471748358224,31.434485048196258,-94.06418338415789,28843.0,0.812,480.93,43.0,116.49,81.43,63237.0
2344.0,-2379.315240069081,-18403.933781008,8813.557312277071,31.333621952547837,-93.8262908101427,28916.0,0.8128,481.26,38.0,115.08,81.18,63156.0
2446.0,20473.494417691996,-29098.575028157728,8833.040463699286,31.237264503103045,-93.58590008473298,28980.0,0.8136,481.58,39.0,113.97,81.1,63075.0
2548.0,43545.18411241363,-39353.93112674335,8852.977564090696,31.1444015774029,-93.34368129734763,29045.0,0.8144,481.9,36.0,113.15,80.91,62994.0
2650.0,66776.05271179223,-49287.01396352919,8871.780226518864,31.053973778596028,-93.1002461432544,29107.0,0.8151,482.22,30.0,112.57,80.65,62913.0
2752.0,90122.6506915671,-58990.507360066535,8887.53125133158,30.96514382057938,-92.85604102846571,29159.0,0.8158,482.55,41.0,112.29,80.87,62832.0
2854.0,113531.75255632272,-68584.32889618803,8908.64724747203,30.876833918655056,-92.61162468455372,29228.0,0.8166,482.87,228.0,112.28,85.85,62747.0
2956.0,136941.52457935366,-78174.8553998795,9026.48863792384,30.788093394182983,-92.3676530215572,29614.0,0.8185,483.16,188.0,112.28,84.03,62663.0
3058.0,160369.1017195875,-87771.38722940249,9123.662397277893,30.698838700869768,-92.12394802699187,29933.0,0.82,483.38,-312.0,112.3,69.75,62593.0
3160.0,183845.55550670682,-97402.03701801748,8961.942881550798,30.608813653620366,-91.88019097086281,29403.0,0.8189,483.83,-812.0,112.33,57.12,62536.0
3262.0,207379.20523356128,-107069.14969572866,8541.330090339374,30.517995363613952,-91.6362991191293,28023.0,0.8134,483.46,-1312.0,112.34,46.23,62489.0
3364.0,230929.0081446763,-116747.86606081088,7861.824023580789,30.426614520734706,-91.39269881792,25793.0,0.8009,480.5,-1812.0,112.31,36.81,62453.0
3466.0,254371.03086598348,-126367.95688869368,6923.424681263679,30.335330597906328,-91.15066469952623,22715.0,0.7793,473.54,-2312.0,112.38,28.48,62424.0
3567.0,277486.8293436872,-135887.19997340394,5726.1320634127915,30.244582822754534,-90.9124510922493,18787.0,0.7483,461.9,-2500.0,112.57,28.01,62396.0
3669.0,300006.9748508102,-145246.63943725076,4431.665685374929,30.154989888782314,-90.68082503202871,14540.0,0.5673,355.99,-2500.0,109.91,13.2,62383.0
3771.0,317657.19017401116,-151641.13963029138,3137.1993073470476,30.09294157977881,-90.4992961780615,10293.0,0.3673,234.19,-2500.0,110.65,14.83,62368.0
3873.0,329174.93201496644,-155982.58642692683,1842.7329294496747,30.05080068976107,-90.38101514057645,6046.0,0.1764,114.26,-2000.0,125.65,17.52,62351.0
3975.0,334001.9528054501,-159445.17916969667,807.1598270498633,30.018344876556107,-90.3319990432037,2648.0,0.1583,103.74,-1500.0,114.72,18.72,62332.0
4077.0,338915.35688247695,-161707.5657576672,30.480000220444484,29.996629999081037,-90.28172999899841,100.0,0.1401,92.64,-1000.0,103.79,38.95,62293.0
