ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-328188.57876314764,172412.86271667405,30.480000000001517,33.00162408365013,-97.32075918943859,100.0,0.3,198.38,2414.0,114.72,172.69,66127.0
97.0,-319283.11696055334,168312.32545714785,1225.0613519106157,32.96735292194215,-97.22391120240644,4019.0,0.4122,268.84,2351.0,104.23,158.71,65969.0
195.0,-306359.3491555727,165033.9381519554,2388.8084554368775,32.94149839920135,-97.08437739223844,7837.0,0.3012,193.78,1851.0,119.23,164.66,65804.0
292.0,-297967.5448529525,160337.8346734545,3305.100073701271,32.90155844011988,-96.99299532026743,10844.0,0.2673,170.12,1381.0,126.58,163.92,65640.0
390.0,-291170.83211012004,155294.07563307352,3988.738435701348,32.858015957344904,-96.91865615264962,13086.0,0.3802,239.94,1838.0,111.58,149.66,65490.0
487.0,-280082.6157367949,150908.3786100142,4898.198840198207,32.82141914105839,-96.79868718578719,16070.0,0.5802,362.0,1625.0,96.58,126.86,65363.0
585.0,-262168.27662206395,148841.6180678,5702.712910274371,32.807160183083276,-96.60647775152839,18710.0,0.684,422.34,1125.0,111.0,115.68,65248.0
682.0,-242484.32229296942,141284.41590522364,6259.769537477225,32.74364543734163,-96.39398356957487,20537.0,0.7537,462.05,711.0,114.24,109.16,65139.0
779.0,-221418.77715260506,131799.2942050334,6611.756183562424,32.66271685442867,-96.16658054045351,21692.0,0.7624,465.2,718.0,121.13,107.55,65031.0
877.0,-201510.01278064575,119773.18260681388,6966.895627739806,32.55833223126164,-95.95138936763121,22857.0,0.7708,468.12,724.0,132.66,105.86,64925.0
974.0,-184300.20507961337,103912.06075621035,7325.193203408481,32.418667698215195,-95.76471293081346,24033.0,0.7789,470.74,730.0,142.39,104.11,64821.0
1072.0,-169938.88774713103,85267.67358841606,7686.3176295283065,32.253279930007,-95.60841669295422,25218.0,0.7865,472.98,733.0,134.15,102.23,64719.0
1169.0,-152974.22049191984,68796.6515050643,8049.310247747013,32.107589324915345,-95.42541054387408,26408.0,0.7933,474.71,736.0,119.15,100.29,64619.0
1267.0,-132249.64218275054,57235.76870076109,8413.36819367404,32.00622446221987,-95.2038116719484,27603.0,0.7991,475.79,254.0,105.76,85.51,64533.0
1364.0,-109319.09682210935,50763.68535216482,8539.031923387527,31.950446520975646,-94.95991059659333,28015.0,0.8011,476.17,-246.0,104.01,71.18,64462.0
1461.0,-86142.99362917623,44980.51269227474,8417.432551728985,31.90041809463096,-94.7137664908423,27616.0,0.8001,476.37,-745.0,119.01,58.25,64404.0
1559.0,-65211.03903726107,33372.702416592125,8048.543275330549,31.797412035286825,-94.49125896071439,26406.0,0.795,475.73,-333.0,134.01,71.75,64332.0
1656.0,-48042.81354744261,16787.49728114282,7883.6269054837485,31.64910685004449,-94.30878378288085,25865.0,0.6986,419.01,166.0,121.58,75.14,64257.0
1754.0,-30162.166485350277,5794.216345432522,7966.023062854526,31.550849444299033,-94.11954895078085,26135.0,0.5709,342.04,666.0,106.58,86.33,64170.0
1851.0,-13772.027901330637,913.1267139825496,8295.628006711007,31.50726474391354,-93.94651170910006,27217.0,0.7709,459.76,722.0,91.58,95.55,64075.0
1949.0,9203.069789823223,277.82574083809754,8653.112040288923,31.501596806485605,-93.70416901263309,28389.0,0.8054,477.95,224.0,76.58,83.34,63992.0
2046.0,32486.90596203894,5831.689458534822,8764.055282804125,31.551123361897872,-93.45839640843029,28753.0,0.8071,478.23,-272.0,61.58,69.34,63922.0
2143.0,53588.48744990892,17248.77904284107,8629.405774191682,31.653010589874764,-93.23508523967054,28312.0,0.8062,478.55,-536.0,57.43,63.04,63859.0
2241.0,73837.25093491332,30185.751454409008,8364.211878208464,31.768230456130485,-93.0201887777251,27442.0,0.803,478.43,-38.0,72.42,78.09,63781.0
2338.0,96700.69531027788,37427.59308580123,8345.318194617617,31.83165680399864,-92.77763240867333,27380.0,0.8031,478.65,418.0,87.42,90.26,63691.0
2436.0,120632.04872525333,38504.106991282315,8552.370082906778,31.839072039107737,-92.52419878177652,28059.0,0.8066,479.35,53.0,102.41,79.45,63611.0
2533.0,144092.26771036905,33340.27189229675,8578.570275489685,31.789936272061432,-92.27663732073486,28145.0,0.8075,479.68,193.0,114.9,83.02,63528.0
2631.0,165884.72467718448,23223.596208546718,8674.259733988161,31.69603779550513,-92.04781354429315,28459.0,0.7222,428.46,692.0,129.9,88.27,63440.0
2728.0,182317.64636504062,9482.760264489267,9016.7130027184,31.570014671364337,-91.87670476158767,29582.0,0.8133,480.17,193.0,141.79,80.4,63360.0
2825.0,197193.78706526375,-9415.396478086766,9112.429433126208,31.39767166517744,-91.72348771230362,29896.0,0.8146,480.28,24.0,156.79,75.34,63284.0
2923.0,206679.74973558405,-31538.153766743802,9124.470754964444,31.19713687074015,-91.62816463089104,29936.0,0.8153,480.59,-475.0,171.79,61.98,63222.0
3020.0,210124.80495680377,-55418.267418545656,8889.402344144886,30.981842136179722,-91.59695963958116,29165.0,0.8137,481.29,-975.0,176.8,50.23,63172.0
3118.0,211473.85532430236,-79580.74098182573,8406.919538236636,30.764383400036934,-91.58786647152745,27582.0,0.8076,480.89,-1475.0,161.8,40.08,63132.0
3215.0,219035.0958974058,-102584.31095590875,7676.998479332186,30.556204343143357,-91.51369162157154,25187.0,0.7941,477.62,-1975.0,146.8,31.29,63101.0
3313.0,232217.91027291954,-122733.1327374326,6699.630730670898,30.372559491690037,-91.380609164848,21980.0,0.7715,470.21,-2475.0,131.8,23.57,63077.0
3410.0,249904.7647366267,-138549.4503928481,5474.820946295539,30.226788928090123,-91.20012763796562,17962.0,0.7399,458.2,-2500.0,116.8,26.66,63051.0
3507.0,270535.770425463,-148972.92245128675,4237.471456784876,30.12857895339726,-90.98819156153809,13902.0,0.7065,444.45,-2500.0,105.06,29.95,63021.0
3605.0,292179.38438120775,-154798.61051218826,3000.119889650039,30.071099891283474,-90.76487850507044,9843.0,0.6737,430.31,-2500.0,90.07,33.06,62988.0
3702.0,313872.66940623306,-154823.51406007915,1762.7723254515345,30.06535037024824,-90.53956984790379,5783.0,0.5,324.1,-2000.0,99.72,14.34,62973.0
3800.0,329946.9284671438,-157578.03534769217,772.8915671042181,30.036251718308282,-90.37350258976554,2536.0,0.3,196.71,-1500.0,114.72,16.26,62957.0
3897.0,338915.3567819219,-161707.5656585813,30.48000000001475,29.99662999999989,-90.28173000000989,100.0,0.1,66.13,-1000.0,129.72,139.99,62817.0
