ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,944836.9493208178,-12437.50031660052,30.480000303133437,33.00164000097501,-97.32075000096413,100.0,0.3,198.38,2414.0,279.17,392.92,65907.0
222.0,923011.8835357449,-8913.77921916758,2748.455940334562,33.0519418525437,-97.55015256814451,9017.0,0.5,320.32,1983.0,273.77,325.45,65582.0
443.0,887124.6495380086,-6551.211288157737,4982.052508639773,33.10312837777135,-97.93128207078499,16345.0,0.6075,378.62,1503.0,273.76,282.67,65299.0
665.0,844540.5177409607,-3754.111662964394,6674.120551380315,33.16231598166699,-98.38410661478025,21897.0,0.6775,413.05,1229.0,273.74,255.64,65043.0
887.0,797993.1003172803,-708.2397639875203,8058.14888692559,33.225047172487116,-98.87977230533409,26437.0,0.7466,446.7,970.0,273.68,233.08,64810.0
1108.0,747554.3653747733,2536.744705397729,9150.861523897143,33.29032226055496,-99.41770800150701,30023.0,0.7901,465.57,889.0,273.64,220.92,64589.0
1330.0,694957.1013085501,5884.765213241293,10151.83384687091,33.355618215832536,-99.97953136253895,33307.0,0.7858,456.41,389.0,273.65,177.43,64412.0
1552.0,643182.6431763239,9188.408914383153,10589.75850458453,33.417509565328245,-100.53336499292654,34743.0,0.7678,443.07,-0.0,273.65,145.48,64266.0
1773.0,592757.1097413572,12402.857336795267,10589.75850247344,33.475410567931455,-101.07351285583603,34743.0,0.7739,446.63,19.0,273.63,147.22,64119.0
1995.0,541932.8422872111,15624.9100182049,10611.224907668195,33.53125478972449,-101.61865605148823,34814.0,0.7747,446.92,21.0,273.62,147.0,63972.0
2217.0,491075.6153248988,18841.457811082935,10635.366249974943,33.58469237314631,-102.16484455706569,34893.0,0.7748,446.83,22.0,273.57,146.62,63826.0
2438.0,440226.13299101294,22016.613935675938,10659.644827118804,33.63537186812358,-102.71162923027991,34973.0,0.7749,446.7,22.0,273.51,146.17,63679.0
2660.0,389386.7159423644,25131.985816109154,10683.91352824071,33.68312044508,-103.25895774097435,35052.0,0.7749,446.57,21.0,273.45,145.65,63534.0
2882.0,338559.09616976505,28199.593052916553,10707.947477850565,33.72803931020927,-103.80676783084776,35131.0,0.775,446.46,21.0,273.41,145.2,63389.0
3103.0,287740.98167407664,31230.076464218473,10731.768142037614,33.77021932166802,-104.35504349856822,35209.0,0.7751,446.37,21.0,273.38,144.76,63244.0
3325.0,236929.67345584225,34227.050410912096,10755.506905314456,33.809688400186225,-104.90377718335041,35287.0,0.7753,446.29,21.0,273.34,144.32,63099.0
3547.0,186124.27503629206,37192.95524646725,10779.222802212558,33.84646354964812,-105.4529426358991,35365.0,0.7754,446.21,21.0,273.31,143.89,62956.0
3768.0,135324.6082029429,40130.96308109827,10802.960319347247,33.88056853792945,-106.00250599897807,35443.0,0.7755,446.12,21.0,273.28,143.45,62812.0
3990.0,84530.95500593037,43045.33322720136,10826.748476767976,33.912037276003396,-106.5524287953781,35521.0,0.7756,446.04,21.0,273.26,143.02,62669.0
4212.0,33743.70414700049,45940.761143231,10850.612493301938,33.940908033714166,-107.10267216499162,35599.0,0.7757,445.94,21.0,273.25,142.58,62527.0
4433.0,-17036.82014539067,48821.57391054592,10874.576434454866,33.96721595910495,-107.6531988257013,35678.0,0.7758,445.84,21.0,273.24,142.15,62384.0
4655.0,-67810.35420898581,51693.18316930218,10898.66533222749,33.991006646061635,-108.20397252767462,35757.0,0.7759,445.73,22.0,273.23,141.78,62243.0
4877.0,-118576.85862185541,54559.736102279756,10922.905630230769,34.01231527811061,-108.75496072882551,35836.0,0.776,445.62,22.0,273.23,141.34,62101.0
5098.0,-169336.40966376773,57426.05433591152,10947.318441758312,34.03118313009853,-109.30613321200367,35916.0,0.7761,445.5,22.0,273.24,140.9,61960.0
5320.0,-220089.33260943898,60296.82415651029,10971.92952259162,34.04765044933656,-109.85746335006037,35997.0,0.7762,445.38,22.0,273.25,140.47,61820.0
5542.0,-270836.08731810446,63176.08792435436,10996.776491890796,34.061751911158595,-110.40892673932689,36079.0,0.7763,445.26,22.0,273.26,140.03,61680.0
5763.0,-321576.9241238189,66067.47592538793,11021.884922495556,34.07351877190565,-110.9604973951881,36161.0,0.7763,445.27,22.0,273.28,139.59,61540.0
5985.0,-372311.9522977362,68974.16852681486,11047.186115390305,34.08297854595393,-111.5121483786908,36244.0,0.7764,445.3,23.0,273.3,139.21,61401.0
6207.0,-423042.6966626091,71898.57230493771,11072.738332312336,34.09015150167856,-112.06386841252514,36328.0,0.7764,445.34,22.0,273.32,138.71,61262.0
6428.0,-473769.57386821834,74842.22076232913,11097.979264981119,34.09505056361213,-112.61563422934027,36411.0,0.7766,445.45,27.0,273.34,138.6,61124.0
6650.0,-524502.8277658699,77806.50947627025,11128.38831615241,34.09768275392079,-113.16752935898015,36510.0,0.7754,444.72,-27.0,273.37,134.57,60989.0
6872.0,-575151.6461177539,80785.65186664362,11098.04176093728,34.09804403752428,-113.71853729498177,36411.0,0.7638,438.07,-500.0,273.39,103.17,60886.0
7094.0,-625178.5854939334,83746.91754304754,10534.994095682994,34.09617112011699,-114.26278242028918,34564.0,0.7436,429.46,-500.0,273.41,103.79,60782.0
7315.0,-674266.6350161354,86669.74175605438,9971.946430414848,34.09217098875815,-114.79678861092059,32716.0,0.7049,410.48,-500.0,273.43,101.34,60681.0
7537.0,-721180.3517970621,89477.83441288644,9408.898765139827,34.08633653211706,-115.30709337205664,30869.0,0.6233,365.96,-1000.0,273.44,58.12,60623.0
7759.0,-763157.1257798091,92001.65936696893,8282.803434591598,34.07944132468764,-115.76363698522526,27175.0,0.5922,353.23,-1500.0,273.45,31.15,60592.0
7980.0,-803798.5872724834,94453.8425208238,6593.660438789967,34.07124577158767,-116.20558660854329,21633.0,0.5487,334.85,-1616.0,273.46,26.54,60565.0
8202.0,-842327.4463197597,96784.44570484455,4774.009192016149,34.062078721059265,-116.62448278894237,15663.0,0.4979,311.14,-1605.0,273.47,28.74,60536.0
8424.0,-878099.813655389,98953.29781014386,2966.876423298566,34.05234913288722,-117.01332790894757,9734.0,0.4511,288.21,-1554.0,273.48,31.53,60505.0
8645.0,-911204.3345055834,100965.72889781524,1217.1543789163206,34.04230989257767,-117.37309521025594,3993.0,0.3,195.7,-1054.0,279.17,36.35,60468.0
8867.0,-933356.3687864774,104542.24002106502,30.479999699457885,34.05489533866551,-117.61617069205313,100.0,0.1489,98.49,-554.0,284.86,173.52,60295.0
