ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,944836.9495207793,-12437.500515978487,30.480000296322427,33.001639999022146,-97.32074999903692,100.0,0.2671,176.62,2208.0,279.17,366.13,65934.0
205.0,926871.8002443413,-9536.974297626752,2324.0876990329266,33.04307547320868,-97.50956227695049,7625.0,0.4671,300.77,1708.0,276.27,286.66,65647.0
409.0,895801.4850183792,-6122.093251447914,4098.2260810658645,33.09978627990456,-97.8381040219879,13446.0,0.6408,403.84,1208.0,279.39,260.07,65387.0
614.0,854229.1424564432,750.658142588216,5352.895146383504,33.19491013880192,-98.27617110691094,17562.0,0.7295,452.46,708.0,279.61,237.83,65149.0
818.0,807520.1301981305,8657.858917441567,6088.094894987666,33.30165065360376,-98.76931340228936,19974.0,0.7498,460.69,708.0,279.6,230.72,64919.0
1023.0,759965.9539185261,16705.293262237785,6824.049869893985,33.40833853981251,-99.27259695360962,22389.0,0.768,467.29,722.0,279.65,223.59,64695.0
1227.0,711746.704214026,24906.925758464848,7573.73332977644,33.514860144376236,-99.78412328151278,24848.0,0.7848,472.71,733.0,280.21,215.81,64479.0
1432.0,663059.3773233248,33672.04933296552,8334.953832882828,33.624660855228356,-100.30150606918275,27346.0,0.7987,476.1,233.0,280.11,179.3,64300.0
1636.0,613829.0885605366,42448.55248830525,8576.70501981298,33.73276980585071,-100.82603205493287,28139.0,0.8029,476.97,0.0,279.9,163.17,64137.0
1841.0,564394.2180011568,51078.224707654415,8576.705027943213,33.837501499596016,-101.35415765356143,28139.0,0.804,477.59,34.0,279.79,165.18,63972.0
2045.0,514889.94136737176,59621.524690641905,8612.181998534288,33.93928845471684,-101.8843523588892,28255.0,0.8054,478.24,36.0,279.74,164.93,63807.0
2250.0,465311.7120403473,68131.51893580488,8649.336813508582,34.03858429974784,-102.41660712520981,28377.0,0.807,478.89,36.0,279.72,164.55,63642.0
2454.0,415664.0630520402,76639.18172005874,8686.283349036054,34.135641016747634,-102.95083572373497,28498.0,0.8085,479.53,34.0,279.69,164.05,63478.0
2659.0,365944.35008810693,85132.53601527314,8721.41680708881,34.230328766216104,-103.48705374402417,28614.0,0.8099,480.18,29.0,279.62,163.41,63315.0
2863.0,316144.81663408375,93573.25817992572,8751.131436789548,34.32228203950002,-104.02533868055168,28711.0,0.8114,480.82,10.0,279.41,162.06,63153.0
3068.0,266241.38611709746,101846.6703767568,8761.012017712712,34.41045160288896,-104.56596033059161,28743.0,0.8126,481.46,-47.0,278.72,158.87,62994.0
3272.0,216155.1462797781,109529.03988509615,8712.593342601469,34.491016158790515,-105.1098385033626,28585.0,0.813,482.03,-298.0,275.66,145.67,62848.0
3477.0,165579.12647055165,114542.24022015094,8403.291473168552,34.54529882330331,-105.66060704149615,27570.0,0.8092,481.87,-72.0,270.0,162.11,62686.0
3681.0,114854.00905561162,114542.24022059915,8328.734962138913,34.55209224279483,-106.21437447742709,27325.0,0.8088,482.14,428.0,270.0,190.14,62496.0
3886.0,64285.99947588848,114542.24022062907,8773.647766757944,34.5564190186545,-106.7664999924893,28785.0,0.8169,483.96,146.0,270.0,169.6,62326.0
4090.0,13422.423543318657,114542.24022038587,8925.169902290208,34.55830705232573,-107.3218939263562,29282.0,0.82,484.75,-75.0,260.09,155.78,62170.0
4295.0,-36844.331335561714,105755.89302284352,8847.220468442285,34.478728179402054,-107.87040142637362,29026.0,0.82,485.28,-66.0,255.4,157.35,62013.0
4499.0,-86276.63960046369,92879.84580678544,8778.22262721271,34.360037098639474,-108.40835300684437,28800.0,0.82,485.75,-60.0,254.46,158.64,61854.0
4704.0,-135535.46152073258,79177.9568878818,8715.81998182634,34.23163746343146,-108.9427652978442,28595.0,0.82,486.18,-55.0,254.21,159.78,61695.0
4908.0,-184775.58519844097,65250.269709686945,8658.53885058038,34.09894151137102,-109.47529970079071,28407.0,0.82,486.57,-51.0,254.18,160.79,61534.0
5113.0,-234047.63045872308,51289.86610791078,8605.384794402964,33.96369563533187,-110.00650516438078,28233.0,0.82,486.93,-48.0,254.13,161.68,61372.0
5317.0,-283342.31961754925,37274.1349699275,8555.649209273535,33.825713609128826,-110.53625300387807,28070.0,0.82,487.27,-468.0,253.98,139.96,61232.0
5522.0,-332783.0292868133,23079.744786637628,8069.033794413612,33.68386512659756,-111.06580618942988,26473.0,0.8109,485.14,-81.0,253.38,166.44,61066.0
5726.0,-381721.23159709,8471.554218446567,7985.077987981235,33.536271029354744,-111.58802267303828,26198.0,0.8098,485.04,419.0,263.26,193.53,60872.0
5931.0,-432246.3209181588,2499.9928302320154,8420.591497890337,33.463430182453756,-112.12970926027495,27627.0,0.82,488.19,-39.0,278.26,164.72,60707.0
6135.0,-483090.77813954663,9880.678738862644,8380.39967823256,33.507927378475195,-112.6811250833525,27495.0,0.82,488.46,-37.0,280.92,165.38,60542.0
6340.0,-533565.3542644773,19619.307837979253,8341.908634480718,33.57128889453278,-113.2305234164709,27368.0,0.82,488.72,-36.0,280.75,165.96,60376.0
6544.0,-584095.7536936555,29209.625170698968,8304.946534616558,33.63082804226875,-113.78122246938888,27247.0,0.82,488.97,-34.0,280.82,166.57,60210.0
6749.0,-634638.4563159184,38873.752509791586,8269.368780676217,33.68854584643389,-114.33285782764412,27130.0,0.82,489.21,114.0,280.53,174.67,60035.0
6954.0,-685201.7408338923,48268.33384301046,8387.786701014164,33.74135135635861,-114.88523621283012,27519.0,0.82,488.41,-386.0,281.21,146.45,59888.0
7158.0,-735746.7998494458,58284.80960224662,7986.735305017276,33.79724037098202,-115.43860545151954,26203.0,0.8149,488.08,-886.0,284.41,126.22,59762.0
7363.0,-785789.3101605807,71139.23145575434,7066.214592328371,33.876364540147954,-115.98979944378686,23183.0,0.7919,480.28,-1386.0,282.88,109.6,59653.0
7567.0,-835502.3992916582,82505.18435999905,5626.224562945417,33.93994507284654,-116.53703328808045,18459.0,0.7,432.66,-1886.0,282.79,67.28,59585.0
7772.0,-880409.3370635379,92702.8391226687,3666.765216934763,33.99464018885807,-117.0319878861884,12030.0,0.5,316.77,-2000.0,284.71,27.79,59558.0
7976.0,-912991.7456046478,101254.30983443842,1588.8879502927869,34.04334324162754,-117.39270586804068,5213.0,0.3,194.86,-1500.0,279.17,33.01,59525.0
8181.0,-933356.3689863038,104542.24021995522,30.480000205577703,34.054895340262696,-117.61617069442445,100.0,0.1,66.13,-1000.0,273.64,250.37,59274.0
