ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,685278.5462263046,-336.3267240343583,30.480000100878428,33.001639999932586,-97.32074999894708,100.0,0.3,198.38,2414.0,276.08,265.52,66034.0
150.0,670345.4184410537,1253.731971225175,1867.1939976319895,33.025196475309585,-97.47933800585456,6126.0,0.5,323.7,2061.0,261.08,226.84,65808.0
300.0,645980.087964949,-2571.4175573631505,3435.881526934487,33.00569881870054,-97.74282291271494,11273.0,0.5807,368.92,1561.0,274.31,202.36,65605.0
449.0,617862.4577054133,-452.7306645285664,4624.080946133202,33.041042042965366,-98.04231374762499,15171.0,0.67,419.45,1061.0,275.19,184.39,65421.0
599.0,585845.0225766147,2454.3986512124093,5431.792255277325,33.08485536511191,-98.38331285441501,17821.0,0.7327,454.0,697.0,275.1,173.53,65247.0
749.0,551120.3065010832,5556.483191988653,5962.14378410103,33.130876341730634,-98.75355482576732,19561.0,0.7465,459.36,706.0,275.19,169.9,65077.0
899.0,515993.1423998086,8744.622411555247,6499.435920928061,33.17677469268828,-99.12844799781301,21324.0,0.76,464.39,716.0,275.15,166.13,64911.0
1049.0,480483.69190858887,11947.594232364863,7044.013223454036,33.22186141993897,-99.50782434336178,23110.0,0.7729,468.9,725.0,275.15,162.14,64749.0
1198.0,444632.26416317717,15180.325159615886,7595.979667917907,33.26621376627363,-99.89124495258022,24921.0,0.785,472.68,733.0,275.16,157.9,64591.0
1348.0,408495.96672228974,18446.184268318193,8153.741271994813,33.30980384105416,-100.27809612598274,26751.0,0.7955,475.36,431.0,275.19,141.04,64450.0
1498.0,372097.8253277363,21751.534401319444,8482.020351647312,33.35264965087095,-100.66812801824796,27828.0,0.8009,476.39,67.0,275.31,123.13,64327.0
1648.0,335556.66177402274,25150.74470768389,8532.627553520288,33.39517351687895,-101.06004153223861,27994.0,0.8023,476.88,42.0,275.39,121.66,64205.0
1798.0,298977.4455601988,28600.94563261462,8564.262722573654,33.43694411257695,-101.45272442948765,28098.0,0.8034,477.35,32.0,275.35,121.0,64084.0
1947.0,262357.4727675912,32028.63684199267,8588.793403506534,33.47729484083092,-101.8462241925266,28178.0,0.8045,477.83,41.0,275.33,121.19,63963.0
2097.0,225702.05728297067,35449.10982338102,8619.96823535887,33.516354744809284,-102.24046745869803,28281.0,0.8056,478.3,35.0,275.37,120.7,63843.0
2247.0,189011.17366013105,38896.45342169403,8646.494300047174,33.55442369599806,-102.63543666233774,28368.0,0.8067,478.77,38.0,275.43,120.62,63722.0
2397.0,152288.68233065124,42389.30166130074,8675.65947363028,33.591662278623254,-103.03108033382362,28463.0,0.8079,479.25,36.0,275.46,120.31,63602.0
2547.0,115531.19468652064,45905.29141568283,8702.917780279278,33.627863831979255,-103.4274334612631,28553.0,0.809,479.72,31.0,275.23,119.9,63482.0
2696.0,78722.25529502981,49273.12593494387,8726.553925236141,33.661482829139885,-103.82468168395997,28630.0,0.81,480.19,37.0,274.74,119.97,63362.0
2846.0,41850.679459649655,52328.89577187094,8754.378562920254,33.691037467354555,-104.2229251210888,28722.0,0.8112,480.67,29.0,274.24,119.43,63242.0
2996.0,4916.009853992982,55066.38748288284,8776.65834590094,33.71646263275867,-104.62211959004219,28795.0,0.8122,481.14,29.0,273.43,119.27,63123.0
3146.0,-32090.053861970195,57284.65738799066,8798.517196203657,33.735942160666745,-105.02229695792172,28867.0,0.8133,481.61,28.0,271.83,119.07,63004.0
3296.0,-69180.1980485278,58471.92118518851,8819.499352703237,33.74486417936664,-105.42347812319126,28935.0,0.8143,482.09,34.0,270.0,119.16,62885.0
3445.0,-106324.49237701758,58471.92124779653,8845.350777837803,33.74181824739313,-105.82517945732454,29020.0,0.8154,482.56,38.0,270.0,119.13,62766.0
3595.0,-143504.60957108933,58471.9212518418,8874.290605986951,33.737478691223174,-106.22723369893089,29115.0,0.8165,483.04,52.0,270.0,119.47,62646.0
3745.0,-180718.73640929288,58471.92125408162,8913.684199940195,33.73184244286566,-106.62960911275816,29244.0,0.8178,483.52,53.0,270.0,119.18,62527.0
3895.0,-217969.55082943715,58471.92125158319,8954.38433457943,33.72490586313351,-107.03232245844396,29378.0,0.8191,484.0,14.0,270.0,117.29,62410.0
4045.0,-255265.2852044308,58471.92124275723,8964.816867899162,33.71666371529342,-107.43545045252907,29412.0,0.82,484.47,-82.0,270.0,113.41,62296.0
4194.0,-292616.5910376519,58471.921230899825,8902.621067054162,33.70710905681551,-107.83909582134977,29208.0,0.82,484.9,-74.0,270.0,114.37,62182.0
4344.0,-329999.06719059095,58471.92107073803,8846.648319805698,33.696244359570706,-108.24298244675732,29024.0,0.82,485.28,-67.0,269.11,115.22,62067.0
