ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,685278.5460390351,-336.3267244375212,30.480000020006226,33.00164000004709,-97.3207500009506,100.0,0.3,198.38,1661.0,276.08,246.97,66053.0
155.0,669758.2516425026,1316.2527152187315,1335.0937360088349,33.026118659915205,-97.48557536491734,4380.0,0.5,325.72,1161.0,276.65,195.87,65857.0
309.0,644177.7233432564,4299.935922401668,2246.9881283044147,33.068324964751795,-97.75725393614337,7372.0,0.6586,424.48,661.0,278.34,202.63,65655.0
464.0,610878.1064172761,9179.517995234632,2766.1631665848336,33.13131704517762,-98.11062873756153,9075.0,0.6216,398.13,1161.0,276.39,205.25,65449.0
618.0,579593.6823091008,12683.864303677008,3678.039437910608,33.179920060302564,-98.4437642299112,12067.0,0.687,435.21,670.0,268.7,190.51,65259.0
773.0,545102.4533353772,11899.058684758173,4204.31464373509,33.19080142672552,-98.81426859442324,13794.0,0.7012,441.3,678.0,276.31,187.14,65072.0
928.0,510333.84633159975,15744.767088911303,4737.076714813084,33.24225702071146,-99.18522594628938,15542.0,0.7156,447.35,687.0,291.31,183.66,64888.0
1082.0,477302.1268914148,28631.099196477866,5276.528014506982,33.37298651463804,-99.5331582960314,17311.0,0.7301,453.27,398.0,276.91,167.8,64720.0
1237.0,441584.0974190794,32960.45852883062,5589.3156213710345,33.427070135993596,-99.91527513931923,18338.0,0.5685,351.55,898.0,268.35,158.61,64562.0
1392.0,413769.94937112735,32157.96984312851,6294.816354342996,33.430909518384986,-100.21508603089319,20652.0,0.5055,309.71,1396.0,253.36,186.34,64375.0
1546.0,390362.1225976657,25160.579073921712,7391.12392646022,33.37680989524572,-100.47016739888747,24249.0,0.7055,425.98,959.0,243.03,161.93,64213.0
1701.0,360326.8291144616,9876.140484489828,8143.987810115603,33.249978224778594,-100.7995164415013,26719.0,0.7974,476.57,468.0,258.03,147.17,64066.0
1855.0,323341.0588082553,2034.2928221550317,8511.696573235813,33.19122065290264,-101.19983565923955,27926.0,0.8036,477.83,280.0,271.75,135.95,63930.0
2010.0,285411.4002047782,3195.293418896354,8731.814348946386,33.21232173895506,-101.60690764279319,28648.0,0.8071,478.39,225.0,272.6,131.57,63799.0
2165.0,247446.3901596987,4916.005081270494,8908.166261261831,33.23713815899071,-102.01439644816152,29226.0,0.8096,478.73,-275.0,280.27,108.6,63690.0
2319.0,209922.17984988776,11716.796069059552,8691.808430348454,33.30621049300726,-102.41618891328027,28516.0,0.8082,479.36,-164.0,295.27,115.54,63574.0
2474.0,175412.24809751162,28009.40366739913,8562.654998873548,33.45884910608894,-102.78429966670267,28093.0,0.8073,479.7,189.0,296.7,131.73,63443.0
2628.0,141360.51989278552,45135.413879865475,8710.878431756542,33.61784869079092,-103.14861322035966,28579.0,0.8101,480.32,329.0,283.12,136.18,63307.0
2783.0,104221.78943984763,53794.245306703524,8969.281940327981,33.699962076490195,-103.54864950892066,29427.0,0.8137,480.73,-87.0,269.45,116.32,63190.0
2938.0,65967.74251083401,53426.68918741345,8901.201107268038,33.69969604858241,-103.96217997580376,29203.0,0.8139,481.3,-223.0,266.66,111.32,63079.0
3092.0,27703.212994428548,51193.19728830161,8725.771061807294,33.681283289055564,-104.37587297619883,28628.0,0.8126,481.73,-592.0,266.62,97.54,62981.0
3247.0,-10668.894106731555,48926.42214737925,8260.900692919144,33.66120278051992,-104.79054503285818,27103.0,0.8061,480.95,-92.0,257.69,122.96,62858.0
3402.0,-48063.61226772659,40769.21968523353,8188.7469835706825,33.58682028660791,-105.1941420327172,26866.0,0.8054,481.04,249.0,256.88,137.74,62721.0
3556.0,-85276.74293570171,32098.97224989897,8384.712736560334,33.50654110891397,-105.59503287755136,27509.0,0.8096,482.24,-5.0,265.63,125.55,62595.0
3711.0,-123523.47962338883,29175.495192342947,8381.106797555283,33.47654027112752,-106.00710618000971,27497.0,0.8102,482.63,-190.0,275.06,117.98,62477.0
3865.0,-161802.11160005833,32564.996020933017,8231.518314660763,33.501940324079925,-106.4203728596577,27006.0,0.7,417.86,294.0,284.4,120.57,62357.0
4020.0,-193942.70129118135,40815.96024580982,8462.250302763026,33.570801143803024,-106.76872801960548,27763.0,0.8082,480.87,157.0,273.1,130.61,62226.0
4175.0,-232102.3036726369,42882.314257559825,8585.414945573659,33.581806440163916,-107.18102231976532,28167.0,0.8133,483.09,223.0,269.25,132.68,62093.0
4329.0,-270476.38403602445,42381.51331065612,8760.951534182224,33.56832583038216,-107.59495103017869,28743.0,0.8131,481.8,446.0,266.26,139.4,61954.0
4484.0,-308621.21672264603,39888.40464240179,9111.16798589347,33.53564272722727,-108.00558332510221,29892.0,0.6855,404.19,668.0,261.44,130.93,61823.0
4638.0,-340289.2165024064,35120.95082117598,9635.535864299323,33.483255865877815,-108.34522714477528,31613.0,0.7787,455.69,300.0,265.92,119.06,61704.0
4793.0,-376380.9244187486,32547.89358184488,9871.06148054673,33.44812792629948,-108.7330141779971,32385.0,0.82,478.21,-122.0,271.96,104.87,61599.0
4948.0,-414421.7032228423,33851.36545096317,9774.990449886365,33.44586327814282,-109.14325330028022,32070.0,0.82,478.89,-500.0,274.08,90.09,61509.0
5102.0,-452522.00862065237,36570.80191720506,9382.08041309853,33.45493648139724,-109.55482020157558,30781.0,0.82,481.61,-1000.0,265.98,73.9,61435.0
5257.0,-490940.94613039366,33872.906722722124,8596.637649669465,33.413897151879915,-109.96693202594687,28204.0,0.82,486.99,-1500.0,268.4,63.88,61371.0
5411.0,-529960.660106547,32781.58624105256,7418.477195863876,33.38562627663709,-110.38605718506689,24339.0,0.7953,480.04,-2000.0,275.62,53.75,61317.0
5566.0,-568329.3203879748,36555.95102320766,5847.597982255511,33.39992614950474,-110.80098196869525,19185.0,0.7544,464.92,-2500.0,273.44,44.09,61273.0
5721.0,-605657.9465519941,38802.580240091964,3884.0012047457208,33.39973397325,-111.2038234423729,12743.0,0.7,442.29,-2135.0,273.73,67.82,61205.0
5875.0,-641084.8415389844,41114.53969906542,2206.774866473547,33.39995875933215,-111.58626315491944,7240.0,0.5,322.4,-1635.0,282.76,24.34,61181.0
