ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-162529.34021698884,31794.994763345367,30.480000304520125,33.00163221869383,-97.32075165528194,100.0,0.3,198.38,2414.0,99.64,91.1,66209.0
51.0,-157413.6102989783,30926.49489005726,660.669152036593,32.994570023545876,-97.26575189372473,2168.0,0.4768,313.06,2291.0,101.16,82.3,66127.0
103.0,-149341.5108827455,29334.58939557011,1258.9228391125018,32.98138600332636,-97.17894977848366,4130.0,0.4914,320.37,2158.0,101.14,79.95,66047.0
154.0,-141075.93785326494,27706.234093003502,1822.3565034846545,32.967839110934236,-97.09009435678735,5979.0,0.5057,327.54,2036.0,101.12,77.63,65969.0
206.0,-132620.89751942205,26044.02189966847,2354.038339245417,32.953947811676095,-96.99923090992813,7723.0,0.5198,334.56,1925.0,101.09,75.38,65894.0
257.0,-123979.99912812974,24350.526724400843,2856.64675168625,32.939730477746956,-96.9064003954445,9372.0,0.5337,341.5,1822.0,101.04,73.2,65820.0
308.0,-115155.6190203451,22628.067892748528,3332.454738963185,32.92520334848126,-96.81163046098936,10933.0,0.5498,349.74,1738.0,100.99,71.33,65749.0
360.0,-106113.8811425548,20871.847290830337,3786.320995967129,32.91032215738333,-96.7145595528767,12422.0,0.5665,358.4,1667.0,100.93,69.68,65679.0
411.0,-96844.33801032494,19081.57934765444,4221.682631860841,32.89507991953354,-96.61507798729302,13851.0,0.5833,366.99,1598.0,100.86,68.09,65611.0
463.0,-87348.50448597348,17259.120365915514,4638.815614449297,32.87948747759688,-96.51320452908108,15219.0,0.6,375.56,1528.0,100.79,66.52,65545.0
514.0,-77626.51066887533,15405.811370731368,5037.872348945689,32.86355106107631,-96.40894305346734,16528.0,0.6167,384.07,1460.0,100.72,65.02,65480.0
565.0,-67679.81196983815,13522.922978423585,5419.103801867738,32.84727606045376,-96.30231162564183,17779.0,0.6336,392.63,1392.0,100.65,63.57,65416.0
617.0,-57507.05572973701,11610.817051392727,5782.518662395173,32.8306597662274,-96.19329820024848,18972.0,0.6504,401.19,1324.0,100.57,62.16,65354.0
668.0,-47108.296880428294,9669.704150437034,6128.226277950184,32.813697870196,-96.08190584656353,20106.0,0.6931,425.58,1114.0,100.51,59.92,65294.0
720.0,-36069.16428721683,7622.479624069315,6418.998357450576,32.795704296526864,-95.96370094362484,21060.0,0.6803,416.14,614.0,100.45,50.7,65243.0
771.0,-25261.09506538789,5629.950153369152,6579.222360601984,32.77808635352285,-95.84801702186712,21585.0,0.6366,388.58,114.0,100.39,39.27,65204.0
822.0,-15157.399078335899,3776.84083056545,6608.8982874045405,32.761606509405816,-95.73991403778888,21683.0,0.5894,359.64,-386.0,100.35,27.25,65177.0
874.0,-5797.183722521591,2067.4195183250185,6508.026137858186,32.746322446485465,-95.63980165467667,21352.0,0.549,335.42,-886.0,100.32,15.6,65161.0
925.0,2938.5616314644003,477.410071329015,6276.605911964849,32.732034503260714,-95.54639933782883,20593.0,0.539,330.32,-1081.0,100.29,11.92,65149.0
977.0,11543.528093803385,-1084.958710673236,5994.377745359277,32.71792715517851,-95.45442464540034,19667.0,0.5279,324.74,-1093.0,100.28,11.41,65138.0
1028.0,20003.34235330946,-2618.631278784359,5709.080616911788,32.70401341345661,-95.36402979714443,18731.0,0.5172,319.35,-1101.0,100.27,10.98,65127.0
1079.0,28322.64091397937,-4125.915037975923,5421.586365803725,32.69027580019762,-95.2751639082277,17787.0,0.5069,314.16,-1107.0,100.27,10.59,65116.0
1131.0,36506.38675753902,-5609.038695918584,5132.539826890569,32.676697334788344,-95.1877727319659,16839.0,0.497,309.13,-1111.0,100.28,10.25,65106.0
1182.0,44558.574728420164,-7069.904940997491,4842.499745302091,32.66326380488919,-95.10181247158549,15887.0,0.4874,304.27,-1113.0,100.3,9.94,65096.0
1234.0,52483.3294003208,-8510.26479644316,4551.886736938237,32.64996218742948,-95.01723803852369,14934.0,0.4781,299.56,-1114.0,100.33,9.66,65087.0
1285.0,60284.594934650435,-9931.656928890274,4261.05587048993,32.636781211882166,-94.93400635243012,13980.0,0.4691,294.99,-1114.0,100.36,9.4,65077.0
1336.0,67965.89093497586,-11335.355587301197,3970.3025697874427,32.6237118547726,-94.85207893154652,13026.0,0.4604,290.57,-1112.0,100.39,9.19,65068.0
1388.0,75530.88096503276,-12722.476948360309,3679.8597516383484,32.6107463635917,-94.7714158156026,12073.0,0.4519,286.27,-1110.0,100.43,8.97,65059.0
1439.0,82982.93058199008,-14093.900286972459,3389.926047386341,32.597878998061866,-94.69198026972487,11122.0,0.4438,282.1,-1108.0,100.47,8.77,65050.0
1491.0,90325.28268276097,-15450.314483913025,3100.657692725403,32.58510561143999,-94.61373690443342,10173.0,0.4359,278.06,-1105.0,100.51,8.58,65042.0
1542.0,97561.32882268312,-16792.275019336823,2812.189012498493,32.57242312161935,-94.53664877691962,9226.0,0.4282,274.13,-1101.0,100.55,8.42,65033.0
1593.0,104693.89444052907,-18120.09080424033,2524.6436376194215,32.55983059499863,-94.46068500006113,8283.0,0.4208,270.32,-1097.0,100.58,8.26,65025.0
1645.0,111726.17362012429,-19434.01286245787,2238.1193911851797,32.547327476611905,-94.38581077856783,7343.0,0.4136,266.61,-1093.0,100.62,8.11,65017.0
1696.0,118660.95991853683,-20734.10884713411,1952.712178768256,32.53491479221973,-94.31199559785777,6407.0,0.4067,263.0,-1089.0,100.65,7.96,65009.0
1747.0,125500.93042002045,-22020.335421310512,1668.483057173503,32.52259448048769,-94.23921019428124,5474.0,0.3999,259.5,-1084.0,100.68,7.88,65001.0
1799.0,132249.06241551635,-23292.638461517756,1385.4742155412666,32.51036844823434,-94.16742212110081,4546.0,0.3933,256.09,-1079.0,100.7,7.99,64993.0
1850.0,138907.7471155836,-24550.79987596432,1103.7458589014773,32.49824005237617,-94.09660517718639,3621.0,0.387,252.77,-1074.0,100.72,8.09,64985.0
1902.0,145479.45296217527,-25794.589172589862,823.3387555127271,32.48621266972569,-94.02673234922113,2701.0,0.3808,249.54,-1069.0,100.73,8.19,64977.0
1953.0,151966.83452714526,-27023.794684443896,544.2800787724101,32.47428940105649,-93.95777465635355,1786.0,0.3748,246.39,-1063.0,100.73,8.29,64968.0
2004.0,158372.01372542564,-28238.109150993783,266.6158918988571,32.46247419927559,-93.88970879338174,875.0,0.3,197.85,-904.0,99.64,8.72,64960.0
2056.0,163531.0948625041,-29113.96878103236,30.479999695647173,32.45385000091353,-93.83488000104812,100.0,0.2252,148.92,-745.0,98.54,10.47,64949.0
