ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-162529.34021704743,31794.994763518673,30.480000293662997,33.001632218695384,-97.3207516552826,100.0,0.3,198.38,2414.0,99.64,78.13,66222.0
44.0,-158139.61108985508,31049.748509482553,570.9558268512261,32.99557372605345,-97.27355667010805,1873.0,0.4178,274.56,2500.0,85.87,73.32,66149.0
88.0,-151974.57785889797,31494.43101889437,1130.7725047345086,33.00044401807097,-97.20753301696388,3710.0,0.3628,236.89,2380.0,95.6,74.4,66074.0
132.0,-146671.11776744042,30974.038304363,1663.6576383792892,32.99648742867749,-97.15058606570614,5458.0,0.345,223.9,2218.0,110.6,74.09,66000.0
176.0,-141955.06632499112,29201.005138902052,2160.4167659008076,32.981165984561116,-97.09974811201441,7088.0,0.3468,223.76,2116.0,125.6,73.08,65927.0
220.0,-137859.06312591868,26268.110521026316,2634.3509857333825,32.95531705980154,-97.05539941240508,8643.0,0.3558,228.23,2045.0,140.6,71.77,65855.0
264.0,-134596.184535721,22295.236152452195,3092.3131477043476,32.91999925292404,-97.01985039843831,10145.0,0.3703,236.28,1994.0,155.6,70.18,65785.0
309.0,-132396.8080273457,17445.812864077358,3538.8827696189487,32.87666180094496,-96.99559235358937,11611.0,0.3775,239.51,1922.0,140.6,68.89,65716.0
353.0,-128969.57119648371,13272.816235879307,3969.2796810945943,32.83954645907982,-96.95831235623469,13023.0,0.3878,244.77,1860.0,125.6,67.42,65649.0
397.0,-124481.04249463818,10058.858378484392,4385.823110015948,32.81116399450261,-96.90983888401705,14389.0,0.4007,251.61,1806.0,110.6,65.83,65583.0
441.0,-119167.26257678002,8061.104932435867,4790.271567364597,32.79378842921756,-96.852726258293,15716.0,0.4189,261.68,1765.0,95.6,64.04,65519.0
485.0,-113289.44576844631,7484.354474905692,5185.445413425699,32.789222864013475,-96.78977741040151,17013.0,0.4398,273.37,1726.0,80.6,62.15,65457.0
529.0,-107200.47384340403,8491.92877763256,5571.890920005566,32.798893057148376,-96.72476007471028,18280.0,0.4645,287.32,1688.0,80.96,60.18,65397.0
573.0,-100792.35007882866,9511.33430078393,5949.832056800764,32.80866546332256,-96.65631518635767,19520.0,0.5298,326.06,1649.0,95.96,56.92,65340.0
617.0,-93465.30480207216,8746.257792041444,6319.139835264237,32.8024322813211,-96.57784168988324,20732.0,0.6771,414.72,1217.0,91.72,51.53,65288.0
661.0,-84085.78641012083,8464.967200526098,6591.653140385601,32.80065938951797,-96.47746559491839,21626.0,0.7614,464.73,717.0,94.03,48.71,65239.0
