ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-162529.34027131388,31794.994886450357,30.48000000079167,33.00163221979262,-97.32075165588623,100.0,0.3,198.38,2414.0,99.64,81.92,66218.0
46.0,-157927.26296635842,31013.6981622241,597.186389479109,32.995280204272646,-97.2712738310863,1959.0,0.5,328.5,2163.0,86.54,73.04,66145.0
92.0,-150169.7098199284,31482.605747309837,1105.036510811781,33.00058644714554,-97.1881793807468,3625.0,0.3737,244.1,2404.0,96.09,77.62,66067.0
139.0,-144444.54811100173,30871.839833327595,1669.3840920159548,32.995864163644484,-97.12669766839528,5477.0,0.2823,183.17,1904.0,111.09,80.08,65987.0
185.0,-140412.9194925994,29317.026247026006,2116.336106149523,32.98240775393053,-97.08323440561561,6943.0,0.2572,166.03,1601.0,126.09,80.26,65907.0
231.0,-137244.32117182776,27007.348693962347,2492.358433711424,32.9620411069299,-97.04892186093167,8177.0,0.2631,169.1,1559.0,141.09,79.45,65828.0
277.0,-134734.76600781045,23898.40883186349,2858.3875805901744,32.934397522785865,-97.02156979106117,9378.0,0.2769,177.19,1579.0,156.09,78.27,65749.0
324.0,-133037.56137487743,20070.376939245496,3229.189451784668,32.900183843430355,-97.00283208796722,10594.0,0.289,184.09,1573.0,153.08,77.01,65672.0
370.0,-131067.54069452149,16189.91641693087,3598.4718440761035,32.86552838791555,-96.98118095446635,11806.0,0.2992,189.73,1543.0,138.08,75.66,65597.0
416.0,-128070.31090219067,12851.307672295325,3960.691982275114,32.83586140729332,-96.9486292273391,12994.0,0.3042,191.99,1477.0,123.08,74.49,65522.0
462.0,-124264.58234189062,10371.883815348616,4307.386338268887,32.814003168456935,-96.90756496656715,14132.0,0.3092,194.35,1414.0,108.08,73.29,65449.0
508.0,-119892.19820497674,8944.106129526206,4639.37606121098,32.80164968143876,-96.86059572525325,15221.0,0.3331,208.49,1470.0,93.08,71.25,65378.0
555.0,-114964.86621081956,8678.616855083405,4984.5632494621495,32.79978812416878,-96.807847813133,16354.0,0.4672,291.13,1701.0,88.98,62.97,65315.0
601.0,-108072.76036096262,8801.806132192467,5383.979218449728,32.801594244325074,-96.73412821117631,17664.0,0.6672,413.65,1201.0,91.64,55.98,65259.0
647.0,-98263.10145855624,8521.528237454797,5665.99801912699,32.79999348091786,-96.62914825500951,18589.0,0.7391,456.58,701.0,90.54,53.04,65206.0
693.0,-87420.15153199476,8419.823430624734,5830.6196499802,32.79999361339331,-96.5131345378565,19129.0,0.7434,458.24,704.0,90.48,52.69,65153.0
740.0,-76537.74686564045,8327.890337301087,5995.906213647715,32.799977534095895,-96.39669965580276,19672.0,0.7476,459.87,707.0,91.1,52.34,65101.0
786.0,-65618.28241865317,8118.626389765078,6161.867161827727,32.79880091796174,-96.27986013547877,20216.0,0.7518,461.47,710.0,84.19,51.99,65049.0
832.0,-54715.23246013774,9228.202612331928,6328.5128295467175,32.80937541753823,-96.16327752979684,20763.0,0.756,463.04,713.0,90.85,51.62,64997.0
878.0,-43720.076580490546,9064.362622543069,6495.854158369254,32.80839387060928,-96.04562143767203,21312.0,0.7602,464.56,716.0,88.05,51.26,64946.0
924.0,-32694.092504252694,9440.420057247897,6663.902438883501,32.81215873533837,-95.9276573336722,21863.0,0.7643,466.03,719.0,87.72,50.88,64895.0
971.0,-21635.551913715044,9880.533391271372,6832.665142837914,32.81638987511692,-95.80933649968009,22417.0,0.7684,467.45,722.0,91.0,50.5,64844.0
1017.0,-10536.291593234308,9687.691520652894,7002.138842401199,32.81481799263323,-95.69056155385793,22973.0,0.7724,468.82,725.0,90.83,50.12,64794.0
1063.0,595.6936019614703,9526.188708953792,7172.302960603816,32.81341591175926,-95.57144071336364,23531.0,0.7763,470.11,512.0,90.72,47.09,64747.0
1109.0,11763.070616572588,9386.558627519464,7292.4722314453875,32.81209739832339,-95.45194480159877,23925.0,0.779,471.01,12.0,90.67,40.45,64707.0
1155.0,22961.34709794535,9255.98424706572,7295.244377002622,32.810746310023546,-95.33212177613227,23935.0,0.7792,471.13,-488.0,90.62,33.91,64673.0
1202.0,34170.876130811,9134.996403639045,7180.619369179469,32.80936713746894,-95.21218180194283,23558.0,0.7769,470.46,-988.0,90.64,27.59,64645.0
1248.0,45371.5799740292,9010.420742725082,6948.597200172831,32.80784189996994,-95.0923403103433,22797.0,0.7719,468.89,-1488.0,90.57,21.58,64624.0
1294.0,56540.49551283914,8898.980132783146,6599.17786875439,32.80632244743849,-94.97284240169803,21651.0,0.7639,466.19,-1988.0,90.49,15.96,64608.0
1340.0,67649.30410322512,8803.24898053082,6132.36137972914,32.804834647140225,-94.85399068145466,20119.0,0.7526,462.14,-2488.0,89.98,11.0,64597.0
1387.0,78664.1936652381,8807.96887256626,5548.147755734424,32.804144797840515,-94.73613938184931,18203.0,0.7379,456.53,-2500.0,92.41,11.66,64585.0
1433.0,89534.74218855788,8349.524475333626,4961.161842140894,32.79919144306197,-94.61987921374437,16277.0,0.7226,450.46,-2500.0,107.41,12.41,64573.0
1479.0,99777.30383566745,5136.77329938243,4374.175921138743,32.76942017666105,-94.51064721210359,14351.0,0.7071,444.09,-2500.0,122.41,13.13,64559.0
1525.0,108710.20833668485,-535.480895532461,3787.1899943667263,32.71756828604832,-94.4157781895603,12425.0,0.6916,437.49,-2500.0,132.76,13.8,64546.0
1571.0,116362.77292286945,-7612.738851392118,3200.204061210096,32.653147648676025,-94.33487148652235,10499.0,0.6761,430.75,-2500.0,128.34,14.43,64531.0
1618.0,124411.06911588101,-13979.068610332692,2613.2181217692482,32.59502419948872,-94.24976192964041,8574.0,0.6657,427.18,-2500.0,127.93,15.9,64515.0
1664.0,132437.08422332082,-20234.60597826096,2026.2321806756775,32.53784313412111,-94.16498395949797,6648.0,0.6574,424.78,-2500.0,117.89,17.81,64498.0
1710.0,141380.2538486331,-24967.008194573318,1439.2462380163183,32.49418476231163,-94.07030655527497,4722.0,0.6492,422.44,-2500.0,102.89,19.88,64478.0
1756.0,151188.45567601672,-27210.895905241923,852.2603193398323,32.47271360493487,-93.96610147719385,2796.0,0.5,327.54,-2000.0,98.24,7.01,64471.0
1803.0,158902.99412978598,-28328.254075154175,382.6715690349619,32.461587679784145,-93.88406524691936,1255.0,0.3,197.59,-1500.0,99.64,7.81,64463.0
1849.0,163531.09486915648,-29113.96881835837,30.4800000020087,32.45385000057695,-93.83488000098373,100.0,0.1,66.13,-1000.0,101.03,70.23,64393.0
