ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,134607.5436456522,689192.2605645787,30.480000303721724,33.00163999911199,-97.32075000108266,100.0,0.3,198.38,2414.0,192.41,304.49,65996.0
172.0,130911.85366327195,672399.6765319787,2136.774702158481,32.85104145430112,-97.36255852639044,7010.0,0.5,322.67,2038.0,192.02,257.71,65738.0
344.0,125047.35985548455,644860.1704779064,3915.4385334994445,32.60401348839727,-97.42872679290394,12846.0,0.5644,356.46,1682.0,191.99,232.55,65505.0
515.0,118571.49420801026,614361.1249111437,5383.541989298866,32.33039694012026,-97.50138284306934,17663.0,0.619,383.79,1460.0,191.94,214.69,65291.0
687.0,111617.12798219878,581474.8873983012,6657.757356175752,32.0353156795154,-97.57893688372654,21843.0,0.6725,410.08,1251.0,191.89,198.76,65092.0
859.0,104207.09792948281,546286.6758235891,7749.55538655792,31.719525254813302,-97.6610416272828,25425.0,0.7255,435.92,1051.0,191.84,184.89,64907.0
1031.0,96354.72818639418,508830.4996034474,8666.940427140597,31.38332179317723,-97.7474574207704,28435.0,0.7701,456.9,889.0,191.8,173.58,64733.0
1202.0,88143.67977383819,469529.17069760023,9443.172766295776,31.03049313524438,-97.83717522459939,30982.0,0.7929,465.28,909.0,191.79,169.6,64564.0
1374.0,79790.64263255028,429515.6372638535,10236.311150201844,30.671207452645387,-97.92777005969212,33584.0,0.7875,456.84,409.0,191.8,138.01,64426.0
1546.0,71557.31534488987,390100.92917666316,10593.115901877982,30.31723846946883,-98.01641040017826,34754.0,0.7663,442.23,-25.0,191.81,111.3,64314.0
1718.0,63559.26929768557,351839.5748719144,10571.080105310353,29.973571313060717,-98.10190742304242,34682.0,0.7765,448.24,29.0,191.81,115.03,64199.0
1890.0,55451.30361617129,313072.75120902667,10596.594719546905,29.625308712036837,-98.18797928652803,34766.0,0.7751,447.27,20.0,191.81,114.11,64085.0
2061.0,47363.74330794742,274386.1347421821,10614.167820896178,29.27771198980988,-98.27324700177901,34823.0,0.7755,447.37,21.0,191.78,113.93,63971.0
2233.0,39292.28562417636,235687.52785299945,10632.78579757835,28.929953670973696,-98.35777408678265,34884.0,0.7756,447.31,22.0,191.74,113.71,63858.0
2405.0,31253.049482870523,196986.908566342,10651.909298298233,28.582124528204687,-98.4414084930817,34947.0,0.7756,447.18,21.0,191.67,113.38,63744.0
2577.0,23257.57001610754,158288.65560175222,10670.638418188222,28.234265417665764,-98.52404721625,35009.0,0.7757,447.1,21.0,191.6,113.11,63631.0
2749.0,15313.38547486666,119586.81496441952,10688.969723377331,27.886324549282048,-98.60562935718896,35069.0,0.7758,447.07,21.0,191.52,112.85,63518.0
2920.0,7421.034925623886,80876.72400767182,10707.3161968814,27.538261910921175,-98.68616546116355,35129.0,0.776,447.03,21.0,191.46,112.59,63406.0
3092.0,-427.98305234125877,42160.725566378074,10725.878023160984,27.190100448356198,-98.76575708194999,35190.0,0.7761,446.96,21.0,191.41,112.32,63293.0
3264.0,-8245.111306641913,3444.23916364155,10744.513946527126,26.841890449554352,-98.84453407051153,35251.0,0.7761,446.87,21.0,191.39,112.05,63181.0
3436.0,-16044.924938099992,-35268.5506253811,10763.260624442353,26.493670737497975,-98.92265534851934,35313.0,0.7762,446.76,21.0,191.4,111.78,63070.0
3607.0,-23846.15888837128,-73972.26348667793,10781.938602428634,26.14549083291666,-99.00032119716225,35374.0,0.7762,446.66,21.0,191.43,111.51,62958.0
3779.0,-31665.657761053764,-112664.40044628608,10800.49080121802,25.797373629900278,-99.07770994285166,35435.0,0.7763,446.58,21.0,191.47,111.25,62847.0
3951.0,-39512.33965351948,-151344.98156769038,10818.993385918635,25.44931928092867,-99.15491866748215,35495.0,0.7764,446.5,21.0,191.51,110.99,62736.0
4123.0,-47388.99624443207,-190014.38680660387,10837.621048540312,25.10132470945492,-99.23198242747195,35556.0,0.7764,446.41,21.0,191.56,110.72,62625.0
4295.0,-55293.29040990474,-228671.82978550156,10856.363715789206,24.753397459108307,-99.30888510377662,35618.0,0.7765,446.31,22.0,191.59,110.5,62515.0
4466.0,-63217.959535115726,-267317.76083518425,10875.56345017956,24.405534207051232,-99.38556206949161,35681.0,0.7764,446.14,19.0,191.6,110.07,62405.0
4638.0,-71150.18183174134,-305949.7917582905,10892.395285350278,24.057757566533006,-99.46189480672396,35736.0,0.777,446.35,43.0,191.6,111.07,62293.0
4810.0,-79083.03327039916,-344599.49981248874,10929.514406083941,23.70978464051461,-99.53782213967108,35858.0,0.7717,443.1,-52.0,191.58,105.47,62188.0
4982.0,-86952.70640199284,-382992.2295707332,10884.43522833686,23.364089839303837,-99.61274450312663,35710.0,0.7622,437.94,-552.0,191.57,79.54,62108.0
5154.0,-94741.91764247244,-421044.75762437657,10403.022418370663,23.021424291392734,-99.68651576436541,34131.0,0.7009,405.6,-1052.0,191.56,49.65,62059.0
5325.0,-101968.34243310046,-456387.1632986736,9485.275976193892,22.703133955315124,-99.75462133704225,31120.0,0.6423,376.71,-1249.0,191.55,36.35,62022.0
5497.0,-108684.81931243227,-489239.9709546799,8395.369284600702,22.407239305023353,-99.81763878005921,27544.0,0.5907,351.81,-1278.0,191.58,31.5,61991.0
5669.0,-114969.54478835984,-519914.14676825603,7279.916765465577,22.13094414962585,-99.87636909070156,23884.0,0.5458,330.05,-1277.0,191.64,28.35,61963.0
5841.0,-120893.52639833157,-548675.6333189806,6165.1997834728845,21.87185614766451,-99.93153087502029,20227.0,0.5064,310.8,-1262.0,191.72,26.1,61936.0
6012.0,-126506.56294853086,-575741.5711584068,5063.489280324002,21.628022260525448,-99.98362893944724,16612.0,0.4719,293.78,-1241.0,191.8,24.4,61912.0
6184.0,-131845.56534246428,-601308.2795890542,3980.3850679918355,21.397676921792947,-100.03303639834628,13059.0,0.4416,278.67,-1217.0,191.87,23.42,61889.0
6356.0,-136940.02997500615,-625544.633862587,2918.2762334009462,21.179301399373674,-100.08005041332488,9574.0,0.4147,265.13,-1192.0,191.94,24.79,61864.0
6528.0,-141812.17023700368,-648589.3988839292,1878.2442986025997,20.971647922395906,-100.12489541635102,6162.0,0.3907,252.92,-1166.0,191.98,26.2,61838.0
6700.0,-146474.84291726977,-670561.950801724,860.4831716153019,20.773643599896907,-100.16770368553,2823.0,0.3,196.51,-951.0,192.41,28.57,61809.0
6871.0,-150220.96797405413,-687583.7031999158,30.479999697174712,20.62023317769879,-100.20207493089327,100.0,0.2093,138.39,-736.0,192.84,35.53,61774.0
