ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,134607.54384550068,689192.2607657127,30.480000288287908,33.0016400008987,-97.32074999891603,100.0,0.1765,116.74,1226.0,192.41,290.13,66010.0
159.0,132578.1949958131,679971.2462081909,1020.0739489505576,32.91894618893959,-97.34372508686543,3347.0,0.2392,156.39,1726.0,177.41,283.09,65727.0
318.0,133147.59421776328,667375.2520204984,2413.4098420812625,32.80562381341465,-97.33935511329805,7918.0,0.3922,252.25,2049.0,162.41,248.76,65478.0
477.0,139298.39084602508,647971.7164342888,4068.2927451206588,32.63047556144702,-97.27642151015776,13347.0,0.5922,373.29,1549.0,169.9,209.93,65268.0
636.0,144607.54384497105,618179.9515080762,5319.433703620387,32.3619928930783,-97.22417612245245,17452.0,0.6879,426.85,1049.0,184.9,190.21,65078.0
795.0,141645.9859254415,583602.7388727095,6166.8327175772565,32.051424989183,-97.26053841940552,20232.0,0.752,461.55,710.0,189.24,178.74,64899.0
954.0,135606.00785239993,546495.3803159526,6740.037704572994,31.718428167771858,-97.32948231636092,22113.0,0.7662,466.71,498.0,190.24,165.04,64734.0
1113.0,128839.170221989,509041.8154252552,7142.336200351413,31.38235343225869,-97.40561309046917,23433.0,0.7758,470.03,-2.0,190.18,139.79,64594.0
1272.0,122047.3638423841,471210.86806131277,7140.892751636914,31.042841489256848,-97.48149770220765,23428.0,0.7763,470.36,-502.0,189.49,117.4,64477.0
1431.0,115686.38003428471,433174.3356012683,6735.707358448935,30.70139682395114,-97.55235356831933,22099.0,0.7676,467.6,-490.0,190.67,121.41,64355.0
1590.0,108586.87745968414,395502.2840857976,6339.641522291705,30.363251638576934,-97.63035439056324,20799.0,0.5797,354.95,10.0,205.67,107.07,64248.0
1748.0,96012.84432972643,369343.2841654951,6347.317630541073,30.129002887017574,-97.76363269996168,20825.0,0.759,464.76,176.0,220.67,154.37,64094.0
1907.0,71267.29082049892,340546.00841334864,6489.611344135626,29.87161426886798,-98.02265743519473,21291.0,0.763,466.32,676.0,225.91,174.33,63920.0
2066.0,43981.44724099329,314111.69250777044,7035.647001866361,29.635083050527346,-98.30655279128426,23083.0,0.7027,426.36,1176.0,210.91,178.33,63741.0
2225.0,26193.8215991368,284400.3026678945,7985.424603899702,29.36835542286541,-98.49121430029248,26199.0,0.7972,477.48,732.0,195.91,163.68,63578.0
2384.0,15536.596071071215,247007.9558098113,8576.477877231504,29.03224579452687,-98.60166600660523,28138.0,0.8076,479.73,268.0,188.91,138.68,63439.0
2543.0,9473.06094208492,208311.02444959368,8792.823614152881,28.684292786208726,-98.66433625378738,28848.0,0.8111,480.37,6.0,189.71,125.32,63314.0
2702.0,2848.0167231578075,169593.83737610653,8797.383046688725,28.336131036610432,-98.73233381657406,28863.0,0.812,480.87,18.0,189.93,125.85,63188.0
2861.0,-3930.8574757025767,130864.54188417557,8811.517380271322,27.98782745321426,-98.80146023929368,28909.0,0.813,481.37,24.0,189.99,126.02,63062.0
3020.0,-10761.402092806144,92104.32575886641,8830.800895844037,27.639212080637016,-98.87067239021029,28972.0,0.8141,481.87,32.0,190.03,126.23,62936.0
3179.0,-17624.767079376194,53310.1622225924,8856.516828965157,27.290257877175694,-98.93978324293907,29057.0,0.8152,482.37,33.0,190.05,126.06,62810.0
