ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,134607.54384552134,689192.2605645532,30.479999697478682,33.00163999908992,-97.32074999894371,100.0,0.3,198.38,500.0,192.41,193.36,66107.0
193.0,130391.2375905789,670034.0850926779,520.226965356731,32.829825353704294,-97.36843679402106,1707.0,0.5,328.79,6.0,186.56,169.41,65937.0
386.0,126665.35437866024,637635.0444104383,525.8453467587631,32.53888142848934,-97.41241074348014,1725.0,0.6356,417.94,506.0,201.56,267.93,65669.0
578.0,111475.26118200606,599191.2204680349,1021.2107036048372,32.1946382960583,-97.57847825682856,3350.0,0.46,300.78,1006.0,216.56,228.66,65441.0
771.0,93815.05132338185,575377.1741739266,2006.3230358930819,31.981935767986332,-97.76809114902203,6582.0,0.3135,202.6,1506.0,215.76,295.05,65146.0
964.0,82206.99107590127,559255.63419768,3481.182343614125,31.837771001299682,-97.89230068539406,11421.0,0.5104,324.12,1068.0,200.76,219.85,64926.0
1157.0,70893.22710485237,529401.6074713854,4527.744039916622,31.569984384114168,-98.01397798472306,14855.0,0.7104,445.3,568.0,185.76,224.83,64701.0
1350.0,66479.84685134438,485611.980580779,5084.558760791719,31.176427905719727,-98.0633127096496,16682.0,0.7142,444.53,68.0,170.76,189.01,64512.0
1543.0,73560.56163778441,442109.98988212337,5151.626506236093,30.784835282005353,-97.99199166072759,16902.0,0.7278,452.56,-432.0,155.76,165.35,64347.0
1735.0,92042.95922760249,401070.68938013294,4728.947276241913,30.41460008776782,-97.80219899887913,15515.0,0.5278,329.95,-169.0,168.92,117.47,64229.0
1928.0,98338.15639632994,368918.6681547513,4563.442368668013,30.125011907618582,-97.73950664894984,14972.0,0.3278,205.34,328.0,183.92,182.39,64047.0
2121.0,96948.01963243882,348641.78091887,4884.390337424721,29.942774783218603,-97.75574422121879,16025.0,0.5277,329.3,216.0,198.92,146.0,63901.0
2314.0,86370.25081855398,317785.1913986529,5095.777210446521,29.666028909584785,-97.86787475380405,16718.0,0.7277,452.88,-88.0,213.92,185.09,63716.0
2507.0,61287.53685544366,280489.02087628556,5009.886643874451,29.332027279573794,-98.12940436321975,16437.0,0.7259,452.21,80.0,207.49,194.88,63521.0
2699.0,40594.56291032818,240716.63226423794,5088.300802908882,28.975142161317173,-98.34421763055339,16694.0,0.7284,453.34,254.0,192.49,203.28,63317.0
2892.0,30887.07250254043,196882.920627639,5337.085455062258,28.581197761170618,-98.445158726154,17510.0,0.5284,327.83,754.0,198.28,182.86,63135.0
3085.0,20737.63173763925,166161.3037417576,6075.617082428072,28.30510633165254,-98.54962891104711,19933.0,0.3284,201.81,1060.0,190.07,271.67,62863.0
3278.0,17267.234802909985,146612.59917096538,7114.10767127371,28.129349511668558,-98.58535900602494,23340.0,0.5255,318.49,1169.0,181.74,207.64,62655.0
3471.0,16317.190522813129,115300.14322750043,8259.540157672674,27.847762081576974,-98.59547487205978,27098.0,0.7066,421.59,700.0,186.68,175.2,62480.0
3663.0,11473.291374785984,73969.97027250909,8945.30893215978,27.476120316593228,-98.64513243565965,29348.0,0.6892,407.29,200.0,194.0,137.21,62343.0
3856.0,1715.8142091982338,34823.98867062454,9141.330731361577,27.124118596693748,-98.74409262846761,29991.0,0.7098,418.3,-300.0,192.29,108.25,62235.0
4049.0,-7132.225494427471,-5801.113690666041,8847.605555169159,26.758751084007738,-98.8332642572556,29028.0,0.8196,485.04,-800.0,180.65,110.56,62124.0
4242.0,-7679.502984227257,-54168.28032370842,8064.133403557096,26.323771948394352,-98.83848140287755,26457.0,0.6844,409.48,-779.0,192.4,83.87,62040.0
4435.0,-16445.77785124125,-94038.41332019107,7300.791046421231,25.965137030948473,-98.92592723049,23953.0,0.579,350.03,-616.0,198.92,76.59,61964.0
4628.0,-27747.088392497837,-127011.18584667794,6697.504767456799,25.66843201610383,-99.03826569563553,21973.0,0.5271,321.24,-451.0,196.11,82.38,61881.0
4820.0,-36614.24855417457,-157710.82548722933,6255.499148528611,25.392147018095795,-99.12588129165097,20523.0,0.5581,342.11,-331.0,192.23,98.3,61783.0
5013.0,-43815.59157115506,-190945.01866856785,5931.6208880483955,25.093067820120613,-99.19646952269761,19461.0,0.587,361.37,-222.0,190.18,114.74,61668.0
5206.0,-50159.28058912142,-226275.21331201456,5714.6160033978185,24.775135734676514,-99.25814204838363,18749.0,0.6024,371.89,-114.0,189.6,128.01,61540.0
5399.0,-56318.51070421346,-262672.8890195217,5602.923182535418,24.44758603016128,-99.3176358432612,18382.0,0.6051,374.11,-10.0,189.51,136.69,61403.0
5592.0,-62451.46762708557,-299273.38588464004,5592.740025033026,24.11819069726929,-99.37655585893573,18349.0,0.5943,367.47,81.0,189.5,139.87,61264.0
5784.0,-68463.71231209181,-335205.6519011654,5672.013254508939,23.794788190175804,-99.4340225322764,18609.0,0.5715,353.01,140.0,189.28,137.83,61126.0
5977.0,-74106.79023316709,-369731.8815120927,5809.539596942941,23.484027523438364,-99.48766180343827,19060.0,0.5465,337.01,136.0,188.89,131.82,60994.0
6170.0,-79266.64261398833,-402729.9725745041,5943.187308261411,23.187016767848533,-99.53641113814244,19499.0,0.5603,344.88,40.0,188.8,126.13,60868.0
6363.0,-84496.37658338207,-436527.79474411055,5982.771334573026,22.88279574824039,-99.58558288476964,19629.0,0.638,392.52,-148.0,189.69,131.98,60736.0
6556.0,-91055.61335300386,-474942.9276208747,5838.254380602668,22.53695907976065,-99.64719207599698,19154.0,0.7022,432.82,-400.0,191.66,141.38,60594.0
6748.0,-99752.78997483023,-517094.62343380024,5446.098402776872,22.157360610929448,-99.72899106844915,17868.0,0.7107,440.29,-681.0,194.07,136.54,60458.0
6941.0,-110411.3206489574,-559634.9293782653,4778.892023973495,21.774088136804888,-99.82928948871853,15679.0,0.696,434.89,-961.0,196.55,127.41,60331.0
7134.0,-122766.37477608974,-601221.9318529213,3837.6812058919295,21.39919358417872,-99.94548069317443,12591.0,0.6465,408.71,-1202.0,198.93,106.21,60224.0
7327.0,-136004.62935864253,-639832.2655701112,2659.99506795808,21.05090591464116,-100.06981236201473,8727.0,0.4814,308.76,-1353.0,199.15,34.19,60190.0
7520.0,-146123.53128296256,-668965.6533524441,1334.931574575473,20.788030056064294,-100.16447677347934,4380.0,0.2935,191.19,-1332.0,192.41,31.58,60159.0
7713.0,-150220.96807399427,-687583.7033000631,30.480000000402853,20.62023317678881,-100.20207493184232,100.0,0.1055,69.79,-1311.0,185.67,118.68,60040.0
