ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,190114.0665319447,194723.00244266153,30.480000304450098,32.85131999911789,-96.8634500010903,100.0,0.3,198.38,2414.0,226.18,135.37,66165.0
76.0,184560.26508069478,189394.11243144432,966.9126132710655,32.804329412540994,-96.92393473970877,3172.0,0.4734,309.68,2274.0,225.02,121.4,66043.0
153.0,176020.96034562003,180859.53368376222,1849.2875355925992,32.72895540112669,-97.0168729212997,6067.0,0.494,319.91,2091.0,225.02,116.24,65927.0
229.0,167191.36114359845,172035.52629823255,2660.3544900267198,32.6509534629679,-97.11280529560094,8728.0,0.5141,329.72,1931.0,225.02,111.26,65816.0
305.0,158084.56484343455,162935.27366872536,3409.7066516185564,32.570433467007064,-97.21157405825686,11187.0,0.5366,341.04,1805.0,225.02,106.93,65709.0
382.0,148659.30721905237,153517.9390146723,4109.848031740965,32.48702693439985,-97.31360996397795,13484.0,0.5605,353.14,1704.0,225.03,103.19,65606.0
458.0,138895.15816304606,143763.45581772737,4770.838949634075,32.40054799077583,-97.4191151183559,15652.0,0.5841,364.97,1606.0,225.03,99.59,65506.0
535.0,128799.5937313026,133679.0239037907,5393.841271858381,32.311051848087104,-97.52798884549367,17696.0,0.6075,376.64,1510.0,225.04,96.12,65410.0
611.0,118376.9153758134,123269.36946540474,5979.744699757578,32.21857186705261,-97.64016461576658,19619.0,0.6308,388.12,1417.0,225.04,92.83,65317.0
687.0,107632.33084336472,112540.13476170965,6529.538874724532,32.123149528386556,-97.7555660792075,21422.0,0.6538,399.39,1327.0,225.05,89.73,65227.0
764.0,96571.29189038044,101497.27117268967,7044.252714258849,32.02482909320873,-97.87411429623069,23111.0,0.6765,410.42,1239.0,225.05,86.79,65141.0
840.0,85199.94151354223,90147.63909781218,7524.999158579398,31.92366299638058,-97.9957230238112,24688.0,0.6991,421.39,1153.0,225.06,84.03,65057.0
916.0,73519.85935123051,78493.23178047256,7972.4895092354445,31.819660291647185,-98.12035490268823,26156.0,0.7217,432.35,1069.0,225.07,81.47,64975.0
993.0,61531.30846157351,66534.41299070073,8387.327505528132,31.712815373147432,-98.24798639841005,27517.0,0.7439,443.11,988.0,225.08,79.1,64896.0
1069.0,49239.66968546504,54276.50893069698,8770.559733217877,31.6031669227025,-98.37853936960907,28775.0,0.7627,451.87,920.0,225.09,76.98,64819.0
1146.0,36701.13183815049,41775.53949622896,9127.375313021257,31.49120802579146,-98.51139816843178,29945.0,0.7742,456.38,876.0,225.09,75.12,64744.0
1222.0,24034.376193860382,29149.77366034531,9467.071674530953,31.377992682262235,-98.64529286421309,31060.0,0.7894,463.09,843.0,225.1,73.76,64670.0
1298.0,11178.687613344608,16338.670290130824,9794.135665448794,31.262973744602768,-98.78085503608474,32133.0,0.7805,455.67,343.0,225.11,61.12,64609.0
1375.0,-1491.5399732021856,3715.0395238175192,9927.211111931094,31.14949920034997,-98.91413855653683,32570.0,0.7656,446.14,-157.0,225.11,48.41,64561.0
1451.0,-13915.661157606413,-8661.246345887488,9866.298013976993,31.038114945870863,-99.04452338900417,32370.0,0.7279,424.55,-657.0,225.11,34.5,64526.0
1527.0,-25754.37977722247,-20452.994413111384,9611.39637158728,30.931869828835637,-99.16848110977182,31533.0,0.6795,397.76,-1157.0,225.12,20.45,64506.0
1604.0,-36858.35335594736,-31512.32585482536,9162.506184769623,30.832116726068364,-99.28449553483844,30061.0,0.6544,385.55,-1274.0,225.12,17.16,64488.0
1680.0,-47623.094145246556,-42233.84164247425,8668.220748484306,30.73531225567183,-99.3967356804243,28439.0,0.6292,373.33,-1294.0,225.11,15.9,64473.0
1757.0,-58045.94747824278,-52615.42921343227,8166.084026014169,30.641485243911315,-99.50519636742071,26792.0,0.6058,361.94,-1304.0,225.11,14.91,64458.0
1833.0,-68149.61519782907,-62680.03818078961,7660.132274221525,30.550437375964716,-99.61013485209273,25132.0,0.5837,351.14,-1307.0,225.11,14.1,64444.0
1909.0,-77950.54836073029,-72444.280950621,7153.196679608834,30.46202661942018,-99.71174106912848,23468.0,0.563,341.03,-1304.0,225.1,13.45,64430.0
1986.0,-87467.53179501202,-81927.03949245022,6647.124900087953,30.376089513971497,-99.81022712994901,21808.0,0.5436,331.55,-1299.0,225.1,12.87,64417.0
2062.0,-96718.29985514082,-91146.13152267713,6143.1016251051515,30.292471390703152,-99.90579230379528,20155.0,0.5255,322.65,-1292.0,225.09,12.38,64405.0
2138.0,-105719.07108502387,-100117.83251865477,5641.9560224219085,30.21103080459692,-99.99861843824516,18510.0,0.5087,314.34,-1283.0,225.09,11.97,64393.0
2215.0,-114486.28205449361,-108858.56465227979,5144.13103382238,30.131624283025797,-100.08888803696068,16877.0,0.4928,306.49,-1274.0,225.08,11.58,64381.0
2291.0,-123032.84925888701,-117381.07482583319,4650.011484940327,30.054141110699117,-100.1767459518638,15256.0,0.4777,298.96,-1263.0,225.08,11.25,64370.0
2368.0,-131367.96986151588,-125694.17732903684,4160.068767555837,29.978505820748367,-100.26229771562286,13649.0,0.4634,291.8,-1251.0,225.07,10.96,64359.0
2444.0,-139502.17461680836,-133808.20195191025,3674.53576360136,29.90462876905179,-100.34566159082858,12056.0,0.4499,285.03,-1240.0,225.07,10.68,64348.0
2520.0,-147446.2614062564,-141733.73595116686,3193.489388535594,29.8324175554517,-100.42695763107967,10477.0,0.4373,278.62,-1228.0,225.06,10.8,64338.0
2597.0,-155210.77532268598,-149480.90913286226,2716.9116241005495,29.76178353225516,-100.50630242979878,8914.0,0.4252,272.49,-1217.0,225.06,11.08,64327.0
2673.0,-162803.32424007807,-157057.38697505236,2244.8886072667688,29.692660238503084,-100.5837817135201,7365.0,0.4136,266.56,-1204.0,225.06,11.36,64315.0
2749.0,-170229.51028305385,-164468.77720827502,1777.6189914624797,29.62499971747928,-100.65946013937203,5832.0,0.4026,260.91,-1192.0,225.06,11.64,64304.0
2826.0,-177497.47866555015,-171722.80018524246,1315.0494538177095,29.55873442432834,-100.7334277867857,4314.0,0.3922,255.57,-1181.0,225.05,11.9,64292.0
2902.0,-184616.01734580664,-178828.10268378348,857.0122167080694,29.493788119827915,-100.80578060206648,2812.0,0.3824,250.47,-1169.0,225.05,12.15,64279.0
2979.0,-191591.5561214197,-185791.08051319385,403.4612169335962,29.43010490633408,-100.87658996627496,1324.0,0.3,197.54,-961.0,226.18,12.9,64267.0
3055.0,-197197.2539516585,-191169.7652637306,30.479999695948543,29.38085075659517,-100.93346933959957,100.0,0.2176,143.91,-754.0,227.32,15.59,64251.0
