ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,190114.0667318384,194723.0026426191,30.480000300665044,32.851320000882,-96.86344999891051,100.0,0.2557,169.11,2120.0,226.18,136.65,66163.0
76.0,185395.83989523505,190195.8498246781,849.8701945700993,32.811401052978326,-96.91483883737864,2788.0,0.26,170.32,1944.0,211.23,134.93,66028.0
152.0,181975.50591143733,184555.26059355843,1601.479315368474,32.76124338552476,-96.95251966189363,5254.0,0.2769,179.79,1885.0,196.23,132.32,65896.0
228.0,180027.03897861956,177862.4326576325,2330.211221673872,32.70138171924668,-96.97463148831606,7645.0,0.3157,203.25,1950.0,181.23,127.8,65768.0
304.0,179857.53575575867,169978.9827086601,3083.9972617627245,32.63053166721088,-96.97794523864755,10118.0,0.378,241.15,2020.0,166.23,120.58,65648.0
380.0,182085.9615271804,160884.7165287602,3864.9402965457375,32.54841495286389,-96.95590473495002,12680.0,0.5182,327.48,1869.0,181.23,106.76,65541.0
457.0,181812.06174918974,148145.87218740376,4587.520906197441,32.43392943524934,-96.96126345276005,15051.0,0.6275,393.02,1369.0,196.22,96.7,65444.0
533.0,177531.66818524137,133430.99848950416,5116.819667251256,32.30230575526753,-97.00959695658229,16787.0,0.705,438.59,869.0,194.72,90.43,65354.0
609.0,173180.44159110787,116863.6047252079,5452.836579707621,32.15401734050281,-97.05887058209758,17890.0,0.7334,454.33,697.0,194.59,88.05,65266.0
685.0,168707.46362007005,99683.55398652969,5722.442903044498,32.00021773234887,-97.10937497014825,18774.0,0.7405,457.1,702.0,194.41,87.13,65179.0
761.0,164261.67048170694,82385.10904848968,5993.82630676617,31.84532810561997,-97.15943509761543,19665.0,0.7475,459.8,707.0,194.58,86.19,65092.0
837.0,159737.70764183372,64998.46870805032,6267.028088321405,31.689634995305898,-97.21016042000977,20561.0,0.7544,462.41,712.0,194.47,85.22,65007.0
913.0,155221.821678732,47504.92353943623,6542.093974623543,31.53295782300336,-97.2606399770559,21464.0,0.7612,464.91,717.0,194.15,84.23,64923.0
989.0,150780.27741164877,29892.09881253396,6819.0732703718395,31.375177028685496,-97.31017798397606,22372.0,0.7679,467.28,722.0,194.19,83.21,64840.0
1065.0,146306.34464227915,12192.543258111415,7097.985450073427,31.2165997093998,-97.35989550764262,23287.0,0.7745,469.49,726.0,194.33,82.15,64758.0
1141.0,141767.2588718058,-5578.91856019152,7378.74525055107,31.057362871942697,-97.41013289647029,24208.0,0.7807,471.5,522.0,194.39,76.87,64681.0
1218.0,137185.77755540566,-23431.644279280797,7580.411251364609,30.897379070187206,-97.4606499650717,24870.0,0.7851,472.84,22.0,194.74,65.59,64615.0
1294.0,132476.26632302982,-41331.56235767512,7588.7954037614745,30.736963903216523,-97.51233630938793,24898.0,0.7856,473.07,-478.0,194.75,54.85,64560.0
1370.0,127756.08636815325,-59262.01498070456,7403.897707996567,30.576253050004077,-97.56395824999436,24291.0,0.7821,472.16,22.0,196.1,66.36,64494.0
1446.0,122631.67779214893,-77019.95294080017,7412.281860064703,30.41711302775875,-97.61959613666932,24319.0,0.7825,472.38,522.0,202.93,76.7,64417.0
1522.0,115436.85429162187,-94026.59193245856,7613.947860190568,30.264905323231382,-97.69651605935232,24980.0,0.787,473.75,733.0,207.23,80.07,64337.0
1598.0,106967.66751421313,-110482.74371576383,7897.220067196411,30.117714665781712,-97.78638126323985,25910.0,0.7927,475.34,321.0,218.68,70.5,64267.0
1674.0,95349.60766580656,-124997.38572564135,8021.434163146522,29.988172902549675,-97.90848163669457,26317.0,0.7952,476.05,-179.0,224.89,59.48,64207.0
1750.0,82191.48265289688,-138206.51709445287,7952.366411475196,29.870360167294503,-98.0461234543474,26090.0,0.7943,475.96,233.0,227.89,68.44,64139.0
1826.0,68378.2435253908,-150693.44127616333,8042.592964692168,29.758931358162794,-98.19017271544085,26386.0,0.7962,476.53,733.0,232.13,78.2,64061.0
1902.0,53682.52548743859,-162120.84080633413,8326.101365725825,29.656908698646927,-98.34297287043482,27317.0,0.8012,477.63,732.0,245.62,76.93,63984.0
1978.0,36687.432894864636,-169822.5762185271,8608.879297342257,29.588281912639495,-98.51909828714238,28244.0,0.8055,478.28,616.0,252.66,73.33,63910.0
2055.0,18846.036222021787,-175392.2513614088,8846.813394163912,29.538602545930317,-98.70368743447467,29025.0,0.8085,478.45,116.0,264.43,61.94,63848.0
2131.0,210.48584000791394,-177208.93424083386,8891.465642496814,29.52241174353697,-98.89629474718203,29171.0,0.8093,478.64,-384.0,269.29,51.22,63797.0
2207.0,-18544.395640707287,-177441.4113776668,8742.836042273999,29.52017872129979,-99.09008943769308,28684.0,0.8082,479.02,-884.0,270.36,41.42,63756.0
2283.0,-37337.8117570408,-177323.46003607617,8400.924593473894,29.520805705663633,-99.28429499429589,27562.0,0.8041,478.85,-1384.0,270.64,32.66,63723.0
2359.0,-56144.240200780885,-177113.1971835928,7865.731296087859,29.521970761358258,-99.47864172573765,25806.0,0.7951,477.01,-1884.0,270.73,24.93,63698.0
2435.0,-74895.06579749381,-176873.72839629723,7137.2561501131595,29.523109972445575,-99.67241989449698,23416.0,0.7798,472.48,-2384.0,270.76,18.24,63680.0
2511.0,-93480.77503840317,-176626.12461799162,6215.4991555531315,29.524044856208405,-99.86449639503999,20392.0,0.7575,464.63,-2500.0,270.78,18.58,63661.0
2587.0,-111757.33405641663,-176377.29110224868,5249.089912548726,29.52473418932319,-100.05338147694935,17221.0,0.7324,454.89,-2500.0,270.78,20.73,63641.0
2663.0,-129646.74649820857,-176133.63323364555,4282.680669541132,29.525142700095692,-100.23826750149405,14051.0,0.7066,444.24,-2500.0,270.79,22.71,63618.0
2739.0,-147113.33463869317,-175893.28402424534,3316.271426532002,29.525308654323243,-100.41878498745046,10880.0,0.6807,433.07,-2500.0,270.79,24.5,63593.0
2816.0,-164137.36016695423,-175659.71789186724,2349.862183522001,29.525221772997142,-100.59472861399244,7710.0,0.6632,426.92,-2500.0,256.18,28.54,63565.0
2892.0,-180432.3203325457,-179666.98043376495,1383.4529405160392,29.486875864495808,-100.76242436312916,4539.0,0.5,325.54,-2000.0,241.18,11.35,63554.0
2968.0,-191627.72974454088,-185825.79026211283,610.3255461085289,29.42978713693261,-100.87695718603123,2002.0,0.3,197.07,-1500.0,226.18,12.77,63541.0
3044.0,-197197.25395164907,-191169.76546330185,30.48000030191857,29.380850754800942,-100.93346933956293,100.0,0.1,66.13,-1000.0,211.18,111.88,63429.0
