ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,445267.58111864433,68326.78239772857,30.4800003041757,32.85131999914372,-96.86345000111724,100.0,0.3,198.38,2414.0,265.15,205.36,66095.0
116.0,433665.9412652128,67342.13194778646,1451.0515798777267,32.847083709492594,-96.9879886247444,4761.0,0.488,317.48,2156.0,262.56,179.48,65915.0
232.0,415084.18094555824,64916.54124961216,2720.259924166335,32.832424071255495,-97.187810750165,8925.0,0.5198,333.12,1901.0,262.49,167.7,65747.0
348.0,395563.9477802648,62342.017176650894,3838.9554860090175,32.81644547692511,-97.39766439667903,12595.0,0.5558,351.34,1722.0,262.45,158.18,65589.0
463.0,374959.1793502142,59612.30464493269,4852.460303439087,32.79909097882656,-97.61909959504722,15920.0,0.5924,369.8,1570.0,262.48,149.82,65439.0
579.0,353255.5102494754,56745.69060998699,5776.6965162898505,32.780468349016196,-97.85224667810239,18952.0,0.6285,387.7,1425.0,262.56,142.04,65297.0
695.0,330482.45604731323,53771.80104279883,6615.609843037656,32.76076998660237,-98.09676325277538,21705.0,0.6638,405.03,1287.0,262.62,134.9,65163.0
811.0,306673.9508724642,50688.411753034175,7373.148657940228,32.73990043701714,-98.35227210572285,24190.0,0.6989,422.14,1153.0,262.64,128.37,65034.0
927.0,281844.452051395,47479.855188370406,8051.910265278031,32.71764846458064,-98.61860698868168,26417.0,0.7338,439.1,1024.0,262.62,122.52,64912.0
1043.0,256004.66003569448,44134.56162303597,8654.357454944973,32.6938390666689,-98.89563774817435,28394.0,0.7646,453.73,912.0,262.61,117.43,64794.0
1159.0,229292.07678756403,40671.31136529344,9190.90296958398,32.668542262657525,-99.18186981243883,30154.0,0.784,461.72,1040.0,262.62,119.49,64675.0
1274.0,202126.30077122338,37153.65699041739,9802.8397187864,32.64219060733057,-99.47278884196497,32162.0,0.7919,462.32,917.0,262.63,112.44,64562.0
1390.0,174910.49308498765,33634.52449877108,10342.743827683626,32.615164213249365,-99.76406886005431,33933.0,0.7877,456.26,417.0,262.62,92.85,64469.0
