ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,445267.58131857077,68326.78239845014,30.480000291715065,32.85131999906982,-96.86344999897884,100.0,0.1909,126.23,1429.0,265.15,196.1,66104.0
108.0,438373.7965294586,67741.696071979,812.4578470451614,32.848817567158015,-96.93745325044318,2666.0,0.212,138.97,1490.0,280.15,193.83,65910.0
215.0,430872.8371542995,69084.41875561714,1627.7252245220275,32.863815749309325,-97.01704850124126,5340.0,0.2418,156.96,1595.0,295.15,189.86,65720.0
323.0,423081.0801102188,72742.44764771,2500.046460002976,32.89966363912113,-97.09872198755775,8202.0,0.2608,167.58,1548.0,281.53,185.31,65535.0
431.0,414068.0605888243,74581.4186264167,3346.7341774870797,32.91958547749635,-97.19435059670676,10980.0,0.313,199.09,1706.0,266.53,176.29,65359.0
538.0,403160.80654316396,73920.42671056233,4280.050797318533,32.917679714975044,-97.31139459759133,14042.0,0.4534,285.1,1779.0,251.53,151.06,65208.0
646.0,388299.2998254646,68957.07877021798,5253.44150147067,32.878422669446444,-97.47256941616475,17236.0,0.6534,405.82,1279.0,259.96,132.1,65075.0
754.0,366270.7085261906,65056.70413677982,5953.295788719485,32.85089765941521,-97.7098411939151,19532.0,0.738,454.21,779.0,261.54,122.8,64953.0
862.0,341453.2412479748,61366.70807367633,6379.613659064531,32.825677937599885,-97.97671501424284,20930.0,0.7576,463.67,714.0,262.36,120.0,64833.0
969.0,316062.03725005506,57960.22171279289,6770.096858763457,32.80260429572733,-98.24947441589451,22212.0,0.7672,467.11,721.0,262.49,117.98,64715.0
1077.0,290476.0125678722,54586.07678989247,7164.423773245614,32.77928283712352,-98.52416350222605,23505.0,0.7764,470.25,727.0,262.32,115.87,64599.0
1185.0,264729.6193889569,51114.29315228387,7562.382853354041,32.75452456761902,-98.80044908164808,24811.0,0.7851,472.98,732.0,262.3,113.65,64485.0
1292.0,238836.28835355752,47613.78666738306,7963.108255352164,32.728935390588326,-99.07815715823496,26126.0,0.7931,475.16,735.0,262.32,111.29,64374.0
1400.0,212823.30524606776,44105.327875677234,8365.052856143624,32.70268732012419,-99.35698443060261,27444.0,0.7999,476.62,349.0,262.32,97.65,64276.0
1508.0,186690.49005916136,40581.348215341866,8555.966362197294,32.675704856643875,-99.63692918585615,28071.0,0.803,477.16,69.0,262.31,88.13,64188.0
1615.0,160500.07584502283,37044.48901683856,8593.750582942685,32.647995257860856,-99.91732048541049,28195.0,0.804,477.51,39.0,262.31,87.01,64101.0
1723.0,134287.66108130908,33503.89377503946,8615.316714042598,32.619633378509164,-100.19777177111258,28265.0,0.8048,477.85,37.0,262.31,86.83,64014.0
1831.0,108056.26513668027,29961.537383207513,8635.768046503861,32.59063619024343,-100.47824648992447,28333.0,0.8056,478.19,37.0,262.3,86.72,63928.0
1938.0,81806.439782551,26414.41920752847,8655.758022018914,32.56097641716141,-100.75873512316132,28398.0,0.8064,478.53,38.0,262.12,86.64,63841.0
2046.0,55549.75624091407,22779.51659019372,8676.374244573173,32.529906671208735,-101.0391150336434,28466.0,0.8072,478.87,35.0,262.03,86.43,63754.0
2154.0,29279.5290293123,19103.138857296053,8695.32594799206,32.497844200319484,-101.31944509663036,28528.0,0.808,479.21,39.0,262.07,86.45,63668.0
2262.0,2988.65235013698,15442.007671885076,8716.712118210062,32.46529930639159,-101.59979381799585,28598.0,0.8088,479.55,34.0,262.1,86.18,63582.0
2369.0,-23323.274644582172,11791.833217533016,8735.412146732362,32.43223282563483,-101.88016287600654,28659.0,0.8096,479.88,38.0,262.08,86.2,63496.0
2477.0,-49651.761899896694,8127.024119319876,8756.183440970999,32.398414834068355,-102.16050017235737,28728.0,0.8104,480.22,35.0,262.07,85.99,63410.0
2585.0,-75998.94794946289,4458.028605747307,8775.569539884453,32.363939394483204,-102.44082460693858,28791.0,0.8112,480.56,36.0,262.07,85.91,63324.0
2692.0,-102364.69121874141,786.3264075635017,8795.343492308195,32.3288198119774,-102.72113088010441,28856.0,0.812,480.9,35.0,262.07,85.78,63238.0
2800.0,-128749.21377355636,-2887.7411453301243,8814.645348481763,32.29305914519132,-103.00141757289701,28919.0,0.8128,481.24,34.0,262.07,85.64,63152.0
2908.0,-155152.37339008474,-6565.328827637185,8833.394157057563,32.256647054229326,-103.28167919612835,28981.0,0.8136,481.59,35.0,262.07,85.57,63067.0
3015.0,-181574.07216541277,-10246.219417241782,8852.2882738936,32.219585568355974,-103.56191088614833,29043.0,0.8144,481.93,55.0,262.07,86.05,62981.0
3123.0,-208012.54852152616,-13927.996244041742,8882.379363214686,32.181896831383334,-103.84209063051549,29142.0,0.8153,482.27,367.0,262.06,94.84,62886.0
3231.0,-234436.69384461702,-17611.286603978835,9082.940827386576,32.143581930422464,-104.12188436946494,29800.0,0.818,482.47,-109.0,262.06,79.77,62806.0
3338.0,-260921.32988051503,-21303.352659011292,9023.081730043252,32.104560674281714,-104.4020810883184,29603.0,0.818,482.9,-609.0,262.07,65.65,62740.0
3446.0,-287479.1058265865,-25003.323303600988,8689.686215878522,32.0648349023825,-104.68281035298958,28509.0,0.8144,483.05,-1109.0,262.03,53.46,62687.0
3554.0,-314088.01985999086,-28728.38790386254,8082.754284838611,32.0242526797385,-104.963828228293,26518.0,0.8044,481.15,-1609.0,262.14,43.02,62644.0
3662.0,-340639.4975536426,-32392.36069043734,7202.2859369142625,31.983619133476868,-105.24400872305928,23630.0,0.7854,475.44,-2109.0,261.96,33.88,62610.0
3769.0,-366897.6379542011,-36099.775321173816,6048.281172111616,31.94207732547415,-105.52081628351338,19843.0,0.7563,464.93,-2500.0,262.56,28.31,62582.0
3877.0,-392629.32617685257,-39461.59709687887,4680.599087591021,31.90322416794218,-105.79194070696181,15356.0,0.7019,439.07,-2500.0,264.72,27.13,62555.0
3985.0,-417021.2890714199,-41714.08121913727,3312.9170030748314,31.874253342942946,-106.04914080196008,10869.0,0.5019,319.33,-2500.0,251.75,14.86,62540.0
4092.0,-433911.87454796454,-47284.6282545521,1945.234918600397,31.817879262042602,-106.22534376445263,6382.0,0.3019,195.24,-2000.0,266.75,17.08,62523.0
4200.0,-444726.1507328805,-47899.20965510008,851.089250993139,31.808161403518206,-106.33940471616457,2792.0,0.1595,104.49,-1500.0,265.15,19.72,62503.0
4308.0,-450464.7307787308,-48386.25194425308,30.480000278596805,31.801518640035816,-106.39984617183802,100.0,0.0172,11.34,-1000.0,263.55,198.44,62305.0
