ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,445267.5812332922,68326.78258264597,30.48000000141638,32.851320000757596,-96.86344999980227,100.0,0.2933,193.91,1663.0,265.15,181.52,66118.0
112.0,434190.2047627792,67386.62826315928,980.6148178728188,32.84727780084792,-96.98236113758824,3217.0,0.4933,322.65,1163.0,280.15,143.83,65975.0
225.0,415899.49214058946,70660.7900482781,1645.123673425908,32.883695431437744,-97.17651173175702,5397.0,0.6503,422.08,663.0,286.63,151.97,65823.0
337.0,392558.0826357641,77631.87033207926,2024.0065509060823,32.95482411743494,-97.42331373887912,6640.0,0.6556,423.65,662.0,271.63,149.06,65674.0
450.0,368117.46971001197,78326.78258478352,2402.1484086098144,32.96947715329277,-97.68479743532758,7881.0,0.661,425.25,661.0,270.0,146.17,65527.0
562.0,343575.0373411585,78326.78128250143,2779.848506191224,32.977381976899274,-97.94771583137782,9120.0,0.6666,426.88,661.0,265.69,143.32,65384.0
675.0,319008.61972625833,76475.17236707371,3157.4142792873868,32.96811343075773,-98.2115775361968,10359.0,0.6735,429.36,663.0,261.43,140.84,65243.0
787.0,294507.0465146723,72781.8960350136,3536.0307942608147,32.94172836163203,-98.47527585958547,11601.0,0.6837,433.84,669.0,246.6,139.16,65104.0
900.0,271530.951151586,62838.197158079514,3917.9694784179264,32.858245583327594,-98.72431517954607,12854.0,0.6721,424.46,906.0,261.6,139.89,64964.0
1012.0,247322.74128264343,59262.4770616005,4435.454651488626,32.83177796839627,-98.98435965571925,14552.0,0.6229,390.88,1406.0,252.3,143.91,64820.0
1125.0,225903.00170212606,52427.747896384535,5238.565575871546,32.774914983448944,-99.2152135480021,17187.0,0.6664,413.93,1207.0,251.21,136.82,64684.0
1237.0,203343.43045864606,44751.27733279684,5927.834220844345,32.71027002136593,-99.45813600200985,19448.0,0.7472,460.05,707.0,266.2,127.6,64556.0
1349.0,176861.0899974612,42990.81276938821,6331.477052122298,32.698975063547365,-99.74147301075739,20773.0,0.7576,463.99,714.0,267.97,125.48,64430.0
1462.0,150111.34144025974,42044.101463684354,6739.128674359587,32.69439944340657,-100.02746246429444,22110.0,0.7678,467.69,721.0,265.21,123.28,64307.0
1574.0,123227.0144507114,39790.7862268303,7150.901819159743,32.677444849106365,-100.31503127462935,23461.0,0.6307,382.09,1221.0,250.21,123.38,64184.0
1687.0,102537.13011065651,32345.62292048205,7848.300388580251,32.61259672936825,-100.53689269967914,25749.0,0.7924,475.52,721.0,242.55,116.46,64067.0
1799.0,78198.11635182475,19700.159137015693,8260.074734568867,32.50085607747212,-100.79779580505429,27100.0,0.8001,477.38,221.0,257.55,98.76,63969.0
1912.0,51255.600800909604,13749.652740460704,8386.223603592021,32.44890677579889,-101.085411423288,27514.0,0.8025,478.0,-279.0,272.07,82.44,63886.0
2024.0,23591.133124187414,14748.622735260238,8226.74681559991,32.45881812758234,-101.38020895282861,26991.0,0.8005,477.89,-779.0,270.65,67.9,63818.0
2137.0,-4134.392487199625,15063.29905210984,7781.644820315145,32.461889839035905,-101.67571701248129,25530.0,0.6005,360.7,-610.0,255.65,46.76,63771.0
2249.0,-24395.214788813144,9880.147473507524,7433.268368166419,32.4150177958468,-101.89153499876622,24387.0,0.4005,241.72,-157.0,240.65,71.82,63700.0
2361.0,-36591.0165007677,3022.2584606731857,7343.823913879263,32.35301107700439,-102.02119129859568,24094.0,0.3648,220.41,343.0,228.26,113.0,63587.0
2474.0,-46091.77299481274,-5454.280469744895,7540.00277804661,32.276429972266406,-102.12192040264623,24738.0,0.5648,340.35,647.0,243.26,98.3,63488.0
2586.0,-63628.15225107228,-14289.208207721156,7909.362248619726,32.196119684911544,-102.30785543235503,25949.0,0.7648,458.55,920.0,258.26,117.86,63370.0
2699.0,-89501.36239381567,-19665.769669512552,8435.104021226496,32.14600536525466,-102.58230405428364,27674.0,0.8067,480.18,420.0,248.91,103.63,63267.0
2811.0,-115374.96407570157,-29643.73412268569,8675.227543067582,32.053922803588314,-102.85589788319463,28462.0,0.8107,480.96,-77.0,253.82,86.99,63180.0
2924.0,-142104.54110607805,-37398.69080493731,8630.984889901074,31.98113609089675,-103.13834226318724,28317.0,0.8107,481.23,-491.0,266.81,74.63,63105.0
3036.0,-169953.5364313396,-38950.86469036503,8350.773876516652,31.963325916740978,-103.43329148829397,27398.0,0.6206,369.84,9.0,263.56,71.06,63034.0
3149.0,-191212.5690834426,-41352.24103516355,8356.179330293933,31.938332455883234,-103.65812571081922,27415.0,0.7548,449.78,-11.0,262.52,83.5,62951.0
3261.0,-217012.26913749948,-44738.688603859824,8350.15160269681,31.903222763001423,-103.93070930965173,27396.0,0.8077,481.34,-511.0,269.72,76.06,62875.0
3374.0,-244912.45143134228,-44876.66922372262,8058.506355712214,31.89627530657975,-104.22614515938717,26439.0,0.6411,383.6,-614.0,267.33,49.46,62825.0
3486.0,-267130.1099062067,-45911.76400329342,7707.648156438256,31.881935168049193,-104.4611185406121,25288.0,0.5889,354.08,-641.0,270.54,44.01,62781.0
3598.0,-287660.392758973,-45718.4654104739,7341.713876266839,31.878630487941933,-104.67852344753474,24087.0,0.5885,355.61,-752.0,272.37,40.68,62740.0
3711.0,-308269.60266217013,-44863.88494743429,6911.926163591506,31.880873354001746,-104.89695890775877,22677.0,0.6588,400.36,-994.0,272.37,44.45,62696.0
3823.0,-331491.0618540898,-43901.46528419206,6343.8653740409745,31.882944344334305,-105.14309287392436,20813.0,0.6418,393.0,-1303.0,268.28,34.37,62662.0
