ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,121284.36665332018,295095.25057317666,30.480000302186223,32.851320000888435,-96.8634499989173,100.0,0.2837,187.62,2321.0,203.63,133.51,66166.0
75.0,118421.45823449173,288550.6587187563,913.9535147621859,32.792768124139556,-96.89490458165707,2999.0,0.3021,197.79,2209.0,210.08,130.67,66036.0
150.0,114641.89311892695,282024.2880368303,1754.840630553519,32.734463564302295,-96.93611189548444,5757.0,0.321,208.07,2105.0,195.08,127.25,65909.0
225.0,112575.75589538022,274354.111311101,2556.149033262565,32.665694947328056,-96.95910128421201,8386.0,0.3638,233.57,2087.0,180.08,121.69,65787.0
300.0,112563.9030026274,265427.334337656,3350.57907069724,32.58542474079549,-96.96028193593254,10993.0,0.4397,279.68,2039.0,178.12,112.93,65674.0
375.0,112915.31684183658,254730.24176807472,4126.869022021739,32.48920020903512,-96.95779498047274,13540.0,0.5896,371.38,1560.0,193.12,99.04,65575.0
450.0,109680.59308865192,240850.0756306225,4720.6899434875495,32.364696147163976,-96.99385622831886,15488.0,0.6725,420.47,1060.0,194.59,91.91,65483.0
525.0,105610.12850618387,225207.4646267699,5124.165824112843,32.22440889040845,-97.03889236237218,16812.0,0.7247,450.82,692.0,194.3,87.83,65395.0
600.0,101325.3637692299,208396.0846929499,5387.558542937814,32.07361376821267,-97.08618332024311,17676.0,0.7317,453.62,696.0,194.67,86.94,65308.0
674.0,96905.43006557006,191508.8965717187,5652.631137055677,31.922130059233435,-97.13475559085012,18545.0,0.7386,456.36,701.0,194.59,86.06,65222.0
749.0,92482.09819603272,174513.97007680475,5919.418701812735,31.76965882089618,-97.18321183109069,19421.0,0.7455,459.03,705.0,194.71,85.13,65137.0
824.0,87996.09582736652,157429.4696894422,6187.959776474688,31.616367920711642,-97.23217595219091,20302.0,0.7524,461.63,710.0,194.64,84.2,65053.0
899.0,83507.52522563588,140242.95017787858,6458.296905866871,31.46214061205454,-97.28101228717905,21189.0,0.7591,464.12,715.0,194.56,83.24,64970.0
974.0,79018.28016140153,122957.93553079647,6730.477102222484,31.307008584959462,-97.32970045094629,22082.0,0.7657,466.49,720.0,194.6,82.26,64887.0
1049.0,74493.49255746912,105588.33167097524,7004.53531678465,31.151099218233,-97.3786057997514,22981.0,0.7722,468.72,725.0,194.59,81.26,64806.0
1124.0,69950.31636413014,88135.5178984335,7280.430837462326,30.994423649439103,-97.42754671136424,23886.0,0.7785,470.77,352.0,194.63,72.66,64733.0
1199.0,65371.03777767943,70591.29280881339,7414.282302598724,30.836909031213015,-97.47670858416353,24325.0,0.7815,471.77,-148.0,194.51,61.71,64672.0
1274.0,60813.34381713114,52976.98514042854,7357.788727099185,30.678743992745748,-97.52548530290807,24140.0,0.7807,471.59,-466.0,195.38,55.21,64616.0
1349.0,55985.62433076956,35427.31061186046,7180.4246212545695,30.521153989149717,-97.57691546703336,23558.0,0.7771,470.59,34.0,198.05,66.52,64550.0
1424.0,50363.4832462356,18180.127646077053,7193.405556034651,30.366296815477426,-97.63644216896537,23600.0,0.7777,470.84,534.0,205.97,76.68,64473.0
1499.0,42427.65610940716,1884.092067457651,7396.731531368615,30.220048743676667,-97.71981771612771,24267.0,0.7823,472.34,731.0,213.94,79.72,64394.0
1574.0,32280.484558043976,-13192.357089079076,7674.891410273349,30.084775713797512,-97.8258872428565,25180.0,0.7882,474.13,503.0,225.15,74.05,64320.0
1649.0,19340.438841321396,-26066.832464375493,7866.566408065106,29.969267022936762,-97.96061294456456,25809.0,0.7922,475.26,3.0,226.62,63.03,64257.0
1724.0,6023.925951041773,-38651.151688868595,7867.896365533101,29.85623190101291,-98.0989264008514,25813.0,0.7925,475.45,503.0,226.93,73.22,64183.0
1799.0,-7347.5741091719865,-51151.41185538004,8059.571362672898,29.74380715884581,-98.23749281043348,26442.0,0.7963,476.45,734.0,222.76,76.97,64106.0
1873.0,-19793.492474466675,-64608.80733770961,8338.834908543908,29.622644518063463,-98.36615575705373,27358.0,0.8011,477.5,732.0,213.24,75.72,64031.0
1948.0,-29862.396255517517,-79974.23181061143,8617.41751402644,29.484257705744554,-98.469894699322,28272.0,0.8053,478.1,563.0,207.26,71.13,63959.0
2023.0,-38290.229375102936,-96333.8163833313,8831.896035530015,29.336901406492665,-98.55638429238681,28976.0,0.808,478.26,63.0,206.33,59.97,63899.0
2098.0,-46466.93287369519,-112856.05581014136,8856.0295162545,29.18803593706313,-98.64002992706429,29055.0,0.8086,478.48,-437.0,204.88,49.48,63850.0
2173.0,-54235.83304897319,-129609.60573863551,8689.817956160612,29.03705609475749,-98.71922678471522,28510.0,0.8073,478.82,-937.0,204.31,39.91,63810.0
2248.0,-61851.44364989501,-146471.47089944972,8333.26135523523,28.88506334873483,-98.79661161541284,27340.0,0.8028,478.51,-1437.0,204.24,31.34,63779.0
2323.0,-69451.61708410046,-163348.2934786603,7786.359713472902,28.732892790608286,-98.87361079517109,25546.0,0.7933,476.45,-1937.0,204.21,23.78,63755.0
2398.0,-77014.6448849491,-180172.05464109257,7049.113030871952,28.58115811021453,-98.95000913097387,23127.0,0.7776,471.68,-2437.0,204.23,17.27,63738.0
2473.0,-84513.33259606909,-196835.79994066848,6121.521307434985,28.43082397544027,-99.02554124323323,20084.0,0.755,463.63,-2500.0,204.2,18.45,63719.0
2548.0,-91875.22819159486,-213217.19371403052,5169.796103198181,28.282997225145216,-99.09948505531099,16961.0,0.7302,453.95,-2500.0,204.23,20.52,63699.0
2623.0,-99090.55656643398,-229249.38209588587,4218.070898959036,28.138282399629354,-99.1717595815447,13839.0,0.7047,443.43,-2500.0,204.22,22.42,63676.0
2698.0,-106134.02901672665,-244907.8663385719,3266.345694718757,27.996904559002466,-99.2421236184531,10716.0,0.6792,432.43,-2500.0,204.22,24.15,63652.0
2773.0,-113002.3193814566,-260174.15311524458,2314.620490477828,27.85903323766054,-99.31056011901812,7594.0,0.6626,426.71,-2500.0,204.23,28.23,63624.0
2848.0,-119781.12381724786,-275235.03365311446,1362.895286239945,27.72298361588726,-99.37793497841221,4471.0,0.5,325.62,-2000.0,204.23,11.19,63613.0
2923.0,-124947.11984034117,-286711.5601504179,601.5151228475846,27.619290629734127,-99.4291672254835,1973.0,0.3,197.09,-1500.0,203.63,12.58,63600.0
2998.0,-127993.7352045226,-293676.10500475694,30.480000302577725,27.556364048215976,-99.45931412086806,100.0,0.1,66.13,-1000.0,203.02,110.43,63490.0
