ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,64623.90472167523,370946.49934169697,30.48000030429681,32.85131999910637,-96.86345000107588,100.0,0.3,198.38,2414.0,190.58,175.84,66124.0
99.0,62791.802196381854,361134.5899390518,1246.844976431353,32.763182365226584,-96.88369842911297,4091.0,0.4811,313.75,2209.0,190.89,155.48,65969.0
198.0,59792.31487608122,345550.8787710389,2360.009184533274,32.62319617538496,-96.91673270335045,7743.0,0.5081,327.03,1982.0,190.89,146.76,65822.0
298.0,56664.96032690109,329288.7042998048,3358.9893268538776,32.47710617812593,-96.95106650791547,11020.0,0.5371,341.57,1802.0,190.87,138.99,65683.0
397.0,53401.28173391333,312287.73351866874,4267.023139646646,32.32436912487938,-96.98678029200106,13999.0,0.5684,357.45,1670.0,190.84,132.69,65550.0
496.0,49992.571678627486,294484.45049524074,5108.590002471858,32.16441301855448,-97.02395546679209,16760.0,0.5993,372.86,1543.0,190.8,126.7,65424.0
595.0,46446.54509762513,275901.1952671361,5886.321227434469,31.997437182873224,-97.06249327193622,19312.0,0.6297,387.89,1421.0,190.76,121.07,65302.0
694.0,42770.23993576544,256556.80956202396,6602.579879911289,31.823609575812405,-97.10230281249338,21662.0,0.6597,402.6,1304.0,190.71,115.84,65187.0
794.0,38970.00525671413,236466.72107992967,7259.520165114937,31.64306754573915,-97.14330114188083,23817.0,0.6895,417.08,1190.0,190.66,110.99,65076.0
893.0,35050.98136230862,215641.27122800218,7859.007477722727,31.455902803635873,-97.18541874382622,25784.0,0.719,431.41,1079.0,190.6,106.53,64969.0
992.0,31017.377193069395,194087.46927173325,8402.738741017794,31.262177176671088,-97.22859639861336,27568.0,0.7484,445.69,971.0,190.54,102.48,64867.0
1091.0,26872.35379019295,171807.10767343725,8892.090345200146,31.061905650427228,-97.27278634311632,29174.0,0.7696,455.14,894.0,190.48,99.06,64768.0
1190.0,22663.549462046976,149043.3415036066,9342.753538645944,30.85727304002288,-97.3174698002121,30652.0,0.7841,460.79,1018.0,190.41,100.92,64667.0
1290.0,18431.019130414792,126004.4216452929,9855.905076961108,30.650151069789324,-97.36221628031755,32336.0,0.7895,460.56,918.0,190.34,95.94,64571.0
1389.0,14225.653203894944,102964.10331240027,10318.299167047173,30.44300101588061,-97.40648855342059,33853.0,0.7886,456.91,498.0,190.28,81.98,64489.0
1488.0,10073.0976636997,80063.47555786038,10569.156826779412,30.237091983636248,-97.45002245591209,34676.0,0.7705,444.78,-2.0,190.21,65.31,64423.0
1587.0,6048.622748321462,57722.96627832053,10568.03600147976,30.03620532874373,-97.49204111708225,34672.0,0.7734,446.48,12.0,190.15,65.84,64358.0
1686.0,2033.7019556396713,35293.72539676733,10574.236313110641,29.834507433800837,-97.53379124178471,34692.0,0.7746,447.09,23.0,190.09,66.16,64291.0
1786.0,-1961.697073434901,12830.29790811656,10585.839769046435,29.632489097594934,-97.5751714451631,34730.0,0.7744,446.95,25.0,190.02,66.12,64225.0
1885.0,-5931.615789770899,-9630.126910885916,10598.283163201839,29.43048503650993,-97.61612299614485,34771.0,0.7741,446.68,10.0,189.96,65.55,64160.0
1984.0,-9875.979333405698,-32082.533376624728,10603.264722828808,29.22854088400285,-97.6566486921749,34788.0,0.7755,447.46,52.0,189.91,66.8,64093.0
