ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,64623.90492143132,370946.4995416418,30.48000030021101,32.8513200008934,-96.8634499989251,100.0,0.2729,180.44,2249.0,190.58,162.08,66138.0
91.0,63099.53082988926,362782.6409323408,1066.5390717265607,32.77798657232989,-96.88030020629364,3499.0,0.2969,193.99,2143.0,175.58,158.0,65980.0
181.0,63789.38175740267,353864.84180990164,2053.7418646599717,32.69775238197082,-96.87352099203302,6738.0,0.3288,212.43,2073.0,190.58,152.26,65828.0
272.0,61989.13308506439,344223.5236410118,3008.591240144748,32.61114545847108,-96.89337309921736,9871.0,0.3954,252.5,2065.0,205.58,142.35,65685.0
363.0,56949.684448927655,333694.3504257298,3960.0737913205376,32.51671223745161,-96.9477725273868,12992.0,0.579,365.46,1610.0,194.06,121.28,65564.0
453.0,52829.44728597129,317247.9098020425,4701.910618313755,32.369001678404565,-96.99259351915606,15426.0,0.6658,416.38,1110.0,194.99,111.79,65452.0
544.0,47823.24419487383,298551.32686448743,5213.41114789673,32.20107609576592,-97.04679429653419,17104.0,0.7271,451.78,693.0,194.76,105.91,65346.0
635.0,42464.79796872034,278214.76654256415,5532.828881444982,32.01839212600412,-97.1046036358568,18152.0,0.7355,455.13,699.0,194.76,104.63,65242.0
725.0,37067.42766070736,257727.75153666054,5854.727118168395,31.83433069700444,-97.16260266373078,19208.0,0.7438,458.4,704.0,194.9,103.29,65138.0
816.0,31581.837657843065,237107.6638919637,6179.171206021984,31.649049160131785,-97.2213090087907,20273.0,0.7521,461.55,710.0,194.81,101.93,65036.0
907.0,26088.989275856336,216338.5988196832,6506.2346281714035,31.46240177127073,-97.27986446190475,21346.0,0.7603,464.55,716.0,194.79,100.53,64936.0
998.0,20570.700653680782,195432.42016663458,6835.999776811261,31.274495719817896,-97.33845967066598,22428.0,0.7683,467.37,722.0,194.84,99.09,64837.0
1088.0,15000.728136191276,174404.92684780978,7168.509147213234,31.08547334988107,-97.39736868081432,23519.0,0.776,469.96,222.0,194.66,85.25,64752.0
1179.0,9454.861451681487,153209.29427886027,7270.682220258424,30.89491254652891,-97.45579510366056,23854.0,0.7785,470.84,-278.0,194.48,72.06,64680.0
1270.0,3957.139143050608,131923.87476288166,7142.518995962493,30.703518498584412,-97.51348859699144,23433.0,0.7761,470.17,-727.0,194.57,61.09,64618.0
1360.0,-1571.4940203892884,110649.50346564925,6807.738492874177,30.512198884402252,-97.5712786459266,22335.0,0.7688,467.86,-227.0,191.67,75.66,64543.0
1451.0,-5989.854497620095,89259.48965577695,6703.294287117988,30.319820301062386,-97.61727656755507,21992.0,0.5688,346.63,273.0,200.64,68.71,64474.0
1542.0,-11684.974337675354,74139.59992498354,6829.186378716196,30.183803125676278,-97.67644044728115,22405.0,0.3857,234.68,773.0,215.64,104.6,64369.0
1632.0,-18045.89866780831,65267.71324591134,7185.41476763877,30.103939926158134,-97.74246586500385,23574.0,0.5857,354.67,734.0,230.64,83.67,64286.0
1723.0,-30806.829370357693,54800.52578198912,7523.6667888759775,30.009554812614333,-97.8748151649262,24684.0,0.7857,473.6,234.0,226.74,83.79,64202.0
1814.0,-46885.173223705344,39670.82275733201,7631.582512934981,29.872988225644058,-98.04113020664184,25038.0,0.7883,474.43,-266.0,224.71,70.72,64131.0
1904.0,-62469.712002833985,23929.158556364546,7509.161950117064,29.730738346242944,-98.20184381418431,24636.0,0.7861,473.92,234.0,209.71,83.87,64047.0
1995.0,-73419.94991525602,4741.168288029025,7617.077684425301,29.557586682888363,-98.31394647572375,24990.0,0.7887,474.77,732.0,194.71,95.31,63952.0
2086.0,-79031.55491889098,-16629.821875373542,7954.487414852373,29.36506004674059,-98.37041370096063,26097.0,0.7956,476.74,733.0,180.0,93.6,63859.0
2176.0,-79031.55491794943,-38816.38218303605,8292.09440083138,29.165541332800373,-98.36881917832203,27205.0,0.8018,478.23,730.0,180.0,91.77,63767.0
2267.0,-79031.55491872804,-61071.95959281108,8628.520154523196,28.965401934293574,-98.36723243770852,28309.0,0.8071,479.11,244.0,180.0,78.23,63689.0
2358.0,-79031.55435320013,-83405.53883221881,8740.998254124914,28.764561053030206,-98.36565287321129,28678.0,0.8089,479.44,76.0,178.9,73.47,63615.0
2448.0,-78602.59659768238,-105762.49794980392,8776.063736293325,28.56353640074547,-98.35969234708837,28793.0,0.8098,479.72,249.0,178.23,77.55,63538.0
2539.0,-77911.5169587083,-128113.31227822055,8890.703609865901,28.362582590012,-98.35108306181976,29169.0,0.8115,479.95,294.0,177.73,78.01,63460.0
2630.0,-77026.05080622154,-150464.3664041183,9026.353756691917,28.161637534015977,-98.34053047416408,29614.0,0.8132,480.04,-206.0,177.52,64.88,63395.0
2721.0,-76055.38086171029,-172852.94644601888,8931.66760625996,27.96035896049837,-98.32915450097155,29303.0,0.8129,480.5,-706.0,177.42,53.01,63342.0
2811.0,-75044.66951162428,-195295.36890347523,8606.64515844378,27.75859727904443,-98.31741753938587,28237.0,0.8095,480.69,-1206.0,177.38,42.56,63299.0
2902.0,-74014.92373419265,-217776.96270611126,8051.286413225352,27.556483117519196,-98.30553552709554,26415.0,0.8007,479.15,-1706.0,177.36,33.45,63266.0
2993.0,-72979.46272273021,-240212.92510524113,7265.591370600398,27.354778303735195,-98.29364918423363,23837.0,0.7844,474.46,-2206.0,177.35,25.48,63240.0
3083.0,-71949.76649300996,-262451.10417768103,6249.560030571077,27.15485048731569,-98.28188321955261,20504.0,0.7597,465.77,-2500.0,177.35,22.55,63218.0
3174.0,-70937.24963172077,-284289.9298519269,5097.878543486172,26.95851178590464,-98.27036294030144,16725.0,0.7294,453.91,-2500.0,177.34,25.6,63192.0
3265.0,-69949.73730391405,-305566.2641620138,3946.197056398749,26.76722894380173,-98.25917350114715,12947.0,0.6984,440.91,-2500.0,177.34,28.36,63164.0
3355.0,-68988.56213650481,-326226.93229922076,2794.515569310125,26.58148018885425,-98.24832737631478,9168.0,0.6704,429.24,-2500.0,177.33,31.8,63132.0
3446.0,-68051.87315064207,-346335.35419967526,1642.8340822257665,26.400695388511227,-98.23779848873949,5390.0,0.5,324.55,-2000.0,177.33,13.41,63118.0
3537.0,-67344.26006675602,-361513.41027458466,721.488892555396,26.264236398258547,-98.22987079670884,2367.0,0.3,196.82,-1500.0,190.58,15.16,63103.0
3627.0,-69031.55491908973,-370549.7988380897,30.48000030157039,26.182886807769286,-98.24628028403437,100.0,0.1,66.13,-1000.0,203.82,131.09,62972.0
