ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,64623.90482172632,370946.4994423189,30.480000000046367,32.85132000000572,-96.8634499999986,100.0,0.2885,190.75,2350.0,190.58,201.89,66098.0
113.0,62610.69249827323,360164.6462065208,1384.9218831109965,32.75446945622053,-96.88569788218149,4544.0,0.4885,318.02,2054.0,184.35,173.18,65925.0
227.0,61213.77684173019,341818.3337025767,2569.2209999648467,32.58955645409792,-96.90180020296039,8429.0,0.5755,369.49,1554.0,199.35,157.87,65767.0
340.0,54109.92658283662,321594.10661271506,3465.282915415106,32.40802895134771,-96.97872248731886,11369.0,0.6441,409.07,1054.0,207.85,145.37,65622.0
454.0,42998.34957065885,300564.958939936,4073.107929018258,32.219369819465335,-97.09796532870112,13363.0,0.6971,439.41,675.0,221.58,138.04,65484.0
567.0,26016.436060684948,281425.5880942236,4462.448432746216,32.04774128821247,-97.27892635086485,14641.0,0.7075,443.84,682.0,221.65,136.21,65347.0
681.0,8840.407640002035,262115.2766272093,4855.370992488238,31.87433154490219,-97.46128036359276,15930.0,0.7181,448.22,688.0,208.42,134.28,65213.0
794.0,-3581.817330193698,239163.6516011822,5251.964950964399,31.667950035672746,-97.59271348433744,17231.0,0.7286,452.53,695.0,193.42,132.32,65081.0
908.0,-9698.377274927903,213536.37679722675,5652.329481891874,31.437444686129705,-97.65708119436133,18544.0,0.7392,456.72,582.0,190.01,126.7,64954.0
1021.0,-14321.036258479462,187338.07129581796,5987.787611499512,31.20179193353549,-97.70542630039728,19645.0,0.748,460.13,82.0,178.97,109.29,64845.0
1135.0,-13837.764155511624,160488.70019538852,6035.0106431136055,30.960335755279417,-97.69998234841577,19800.0,0.7495,460.77,-418.0,180.08,92.87,64752.0
1248.0,-13874.30618603713,133548.29944862533,5793.998198085046,30.71805488309308,-97.70000340659898,19009.0,0.7437,458.66,-918.0,180.03,77.66,64674.0
1362.0,-13889.323639173926,106685.73574077101,5264.75136637404,30.476474258135454,-97.69980254408333,17273.0,0.5681,352.75,-1418.0,180.18,22.74,64652.0
1475.0,-13953.57241364826,86001.62190626372,4447.27455964215,30.290457120627842,-97.70019843800983,14591.0,0.3681,230.93,-1918.0,167.06,15.52,64636.0
1589.0,-10923.441274624249,72815.37889534842,3341.5874692321954,30.17190110632075,-97.66850414643416,10963.0,0.2179,138.59,-1418.0,152.06,17.53,64619.0
1702.0,-7132.878903247861,65668.4959843152,2524.1215305111973,30.107655391932838,-97.62902550293074,8281.0,0.1985,127.52,-918.0,160.55,40.92,64578.0
1816.0,-4652.142511781005,58644.338564527454,1994.885519520857,30.0444974636341,-97.6032060864744,6545.0,0.1874,121.16,-418.0,175.55,104.3,64473.0
1929.0,-4102.389824713282,51586.46275445748,1753.8778102709075,29.98102641441381,-97.59746758033377,5754.0,0.3727,241.59,82.0,187.42,76.56,64397.0
2043.0,-5923.0252059553395,37604.85309316524,1801.088355280883,29.855279446896695,-97.61629281370452,5909.0,0.5727,371.03,582.0,175.32,129.31,64267.0
2156.0,-4160.999051937688,16061.677239745128,2136.5071574278395,29.661544186895537,-97.5979386500868,7010.0,0.3727,240.5,1082.0,167.87,135.88,64132.0
2270.0,-1224.5661072321914,2399.4818578853633,2760.125020189268,29.538683454906675,-97.56753305097983,9056.0,0.2017,129.22,936.0,176.38,199.63,63932.0
2383.0,-751.1422190846554,-5085.269794228158,3299.607972883544,29.471371827689733,-97.56263408019669,10825.0,0.3596,228.87,1436.0,184.41,157.45,63774.0
2497.0,-1771.5078904643485,-18313.96788109236,4127.3007546922145,29.352402239155666,-97.57315255618643,13541.0,0.5596,352.54,1351.0,169.41,138.38,63636.0
2610.0,1989.0980779200956,-38431.398731832065,4906.057863954409,29.17148151116935,-97.53438931573713,16096.0,0.7072,441.18,851.0,154.41,135.21,63501.0
2724.0,13076.06949867542,-61584.45327237428,5396.61086089701,28.96319484822774,-97.42047269110417,17705.0,0.5072,314.45,1351.0,167.35,133.43,63367.0
2837.0,17072.67122871666,-79389.82815025342,6175.3702829208005,28.80301993106149,-97.37966580792236,20260.0,0.3073,188.55,928.0,171.61,164.5,63203.0
2950.0,18671.799123710036,-90228.35546294792,6710.135709397352,28.705524429118658,-97.36343503121134,22015.0,0.3295,200.81,924.0,165.0,157.24,63046.0
3064.0,21691.480229471705,-101500.05544738233,7242.557850264102,28.604107987730355,-97.33269142695104,23762.0,0.3601,217.88,958.0,180.0,149.37,62896.0
3177.0,21691.111758083425,-114160.29927894838,7794.571770624594,28.490252101992912,-97.33293809372526,25573.0,0.5584,335.34,1112.0,195.0,117.63,62779.0
3291.0,16648.93340722175,-132976.43868381061,8435.77710479553,28.32111063943428,-97.3848044088895,27676.0,0.7584,451.42,612.0,210.0,104.11,62675.0
3404.0,3505.4718587010566,-155740.78607856733,8788.763928025057,28.11648960506002,-97.51913923041178,28835.0,0.8159,483.26,112.0,195.84,92.94,62582.0
