ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,75771.69996876844,184230.3332457019,30.48000029945101,32.851320000892244,-96.86344999892326,100.0,0.2506,165.74,2077.0,203.18,110.71,66189.0
62.0,73728.75969772598,179458.3206065963,680.2711406869051,32.808541393210724,-96.8856921056741,2232.0,0.2723,178.73,2081.0,218.18,109.02,66080.0
123.0,70265.50488155316,175053.54352537417,1331.0817001621153,32.76915031637534,-96.92307317466899,4367.0,0.2804,182.66,1976.0,206.3,107.47,65973.0
185.0,67725.67670119478,169914.4960189243,1949.0874787037017,32.72309034248914,-96.95060372064327,6395.0,0.2995,193.72,1949.0,191.3,105.21,65868.0
246.0,66533.57772407816,163948.39346303866,2558.644290523163,32.6695086037493,-96.96376673389175,8395.0,0.3399,218.27,2009.0,176.3,101.42,65766.0
308.0,66976.2851764591,157103.23603715267,3186.945908984828,32.60792507687675,-96.95952348553054,10456.0,0.3923,250.0,2030.0,172.0,96.35,65670.0
369.0,68070.32503115381,149316.6253658067,3821.895511124543,32.53783632726867,-96.94840501439263,12539.0,0.4786,302.66,1956.0,187.0,89.0,65581.0
431.0,66908.38807358342,139856.33347616196,4433.704285017602,32.4528301782815,-96.96146546688554,14546.0,0.6113,383.6,1456.0,194.99,79.48,65501.0
493.0,63775.898935376965,128160.74681906233,4889.113263120081,32.3478325592143,-96.99562951324445,16040.0,0.6891,429.97,956.0,194.94,74.35,65427.0
554.0,60272.654854856104,115028.93112467448,5188.122445357893,32.229929261219304,-97.03374576671145,17021.0,0.7265,451.56,693.0,194.61,71.99,65355.0
616.0,56669.20449361827,101208.4280395199,5404.901621936267,32.105825957913424,-97.07286671001106,17733.0,0.7322,453.86,697.0,195.01,71.4,65284.0
677.0,52951.97512207092,87343.14321728483,5622.81820282544,31.981312950074656,-97.11308918768115,18448.0,0.7379,456.12,700.0,194.86,70.78,65213.0
739.0,49252.53697930503,73399.41984164348,5841.891724305355,31.856080901143823,-97.15301725843958,19166.0,0.7436,458.33,704.0,195.07,70.17,65143.0
800.0,45483.65593167792,59401.999463143,6062.143282605392,31.730356010284336,-97.19357275539751,19889.0,0.7493,460.49,708.0,195.03,69.54,65073.0
862.0,41706.06082370149,45336.34524790046,6283.5957389301175,31.604004756071497,-97.2341122488164,20615.0,0.7549,462.59,712.0,194.91,68.9,65004.0
924.0,37940.58805494964,31198.909289042796,6506.273960466142,31.476994554606872,-97.27441579339127,21346.0,0.7604,464.62,716.0,194.84,68.25,64936.0
985.0,34176.65535153526,16994.91447900281,6730.204436551598,31.349372894344505,-97.31459514909052,22081.0,0.7659,466.57,720.0,194.83,67.59,64868.0
1047.0,30399.596601324803,2731.0211661848157,6955.402795887472,31.221200157475653,-97.35480448631458,22820.0,0.7712,468.42,724.0,194.88,66.91,64801.0
1108.0,26594.601389400188,-11585.610836742348,7181.846224491809,31.092541050153713,-97.39519877568799,23562.0,0.7764,470.15,224.0,194.76,57.88,64744.0
