ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,75771.69987502176,184230.3331851471,30.48000000242871,32.851320000353965,-96.86344999993158,100.0,0.2223,146.99,1806.0,203.18,96.84,66203.0
54.0,74195.4983000634,180548.55425520282,521.4593017498778,32.81831511617828,-96.88061246888844,1711.0,0.2334,153.48,1792.0,198.57,96.07,66107.0
107.0,72862.54497364114,176581.86773464605,1008.6076971478213,32.78273015932073,-96.89518263974846,3309.0,0.4073,266.36,1688.0,183.57,77.31,66030.0
161.0,72407.61056623826,169298.68017237962,1467.5110274109186,32.71726315770387,-96.90060955138557,4815.0,0.6073,395.03,1188.0,176.47,75.55,65954.0
214.0,73075.94752156056,158471.80945224132,1790.5181364712007,32.61985658840059,-96.89430593115621,5874.0,0.6504,421.43,688.0,184.87,71.89,65882.0
268.0,72092.86528396983,146928.51628169435,1977.6290190868633,32.516112893734636,-96.90568050820302,6488.0,0.6141,397.03,1163.0,199.87,73.68,65809.0
321.0,68387.46819498476,136674.4880851604,2293.818215096534,32.42412860357617,-96.94593233557397,7526.0,0.6592,424.6,663.0,205.15,69.95,65739.0
375.0,63425.934655773264,126108.79276048414,2474.1112230331896,32.32939903166313,-96.99949083993242,8117.0,0.662,425.48,661.0,210.44,69.3,65669.0
428.0,57499.022170432836,116024.68611287427,2653.7062545652007,32.23902662524248,-97.06317151839652,8706.0,0.6299,403.99,1064.0,218.29,70.81,65599.0
482.0,50623.14182314592,107315.42230762675,2942.9652295932096,32.16102868371688,-97.13673271676666,9655.0,0.5796,370.48,1538.0,231.57,73.14,65525.0
535.0,42661.76672042358,100999.13608654746,3361.0100758512017,32.10454959993501,-97.22158385111494,11027.0,0.6348,403.67,1128.0,222.04,69.18,65456.0
589.0,35238.091068897746,92766.472566617,3667.6151094400157,32.03076408022592,-97.30069561106471,12033.0,0.642,406.73,1126.0,217.59,68.46,65388.0
642.0,28424.156863021108,83916.21051481739,3973.7411107059684,31.951360916383948,-97.37323578972271,13037.0,0.5783,365.02,1626.0,221.58,71.56,65316.0
696.0,21780.894324752124,76429.22487290528,4415.763225224371,31.884173885621927,-97.44381329622256,14487.0,0.5387,338.15,1793.0,224.51,72.77,65243.0
749.0,15285.497188566877,69821.04096762746,4903.146311427162,31.824849545180342,-97.51270965774104,16086.0,0.5652,352.62,1690.0,209.78,70.37,65173.0
803.0,10485.001985749337,61431.06184399876,5362.463628207755,31.749450284468796,-97.56360922856372,17593.0,0.6674,413.93,1202.0,194.78,64.83,65108.0
856.0,7586.453167018913,50442.56451556182,5689.105727845644,31.65065104755362,-97.5943482859653,18665.0,0.7401,457.05,702.0,202.14,61.33,65047.0
910.0,2852.675873349093,38805.75889540821,5879.851640745219,31.546020069840985,-97.64439175524379,19291.0,0.745,458.97,705.0,217.14,60.86,64986.0
963.0,-4763.501731268302,28748.56966784461,6071.4878742971805,31.455567343698824,-97.7247140236612,19920.0,0.75,460.86,708.0,219.98,60.38,64926.0
1017.0,-12902.904987981829,19042.360020882483,6264.02945011148,31.36821559840225,-97.8103970390768,20551.0,0.7549,462.7,712.0,222.48,59.91,64866.0
1070.0,-21491.56160044762,9662.817245747576,6457.492496267506,31.28373686176762,-97.90065576170689,21186.0,0.7597,464.49,715.0,216.26,59.41,64806.0
1124.0,-29043.091934773984,-631.053460557429,6651.894175788888,31.190998984149847,-97.97982255684308,21824.0,0.7645,466.22,719.0,201.26,58.92,64747.0
1177.0,-33690.22502011719,-12572.756100672583,6847.246951604334,31.083480997114822,-98.02827589065882,22465.0,0.7692,467.88,722.0,187.15,58.4,64689.0
1231.0,-35291.68364692942,-25332.129408259712,7043.544315429256,30.968687221398177,-98.04464551984871,23109.0,0.7738,469.46,704.0,172.38,57.59,64631.0
1284.0,-33581.495510850276,-38121.59511509379,7235.007588954858,30.853719983197294,-98.02628402304582,23737.0,0.7782,470.91,204.0,157.38,49.84,64582.0
1338.0,-28599.06711359262,-50081.50465061591,7290.574698577888,30.746294228640437,-97.9737531268675,23919.0,0.7796,471.39,-296.0,142.38,42.21,64539.0
1391.0,-20675.62647472429,-60364.24041019348,7210.24561798096,30.65398518649594,-97.8906342876349,23656.0,0.7781,470.97,-796.0,142.43,34.84,64505.0
1445.0,-12760.724158689014,-70651.85162666201,6994.020362149594,30.561578636435232,-97.80776439340688,22946.0,0.7734,469.53,-1296.0,152.48,27.82,64477.0
1498.0,-6777.408957659992,-82135.56250153256,6641.898984586825,30.45835264166253,-97.74519947993545,21791.0,0.7654,466.84,-1796.0,167.48,21.24,64456.0
1552.0,-3984.8029039228527,-94710.69130798103,6153.8817183101655,30.345274525628465,-97.71601618804763,20190.0,0.7536,462.61,-1486.0,182.48,27.03,64428.0
