ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-289830.7751202346,-318343.2440618985,30.480000304224035,32.851306648023524,-96.863431432512,100.0,0.3,198.38,2414.0,39.15,197.61,66102.0
111.0,-282754.82620289497,-309652.1815787215,1397.42309111215,32.93134935883155,-96.79048774855272,4585.0,0.4872,317.18,2165.0,40.74,173.11,65929.0
223.0,-270994.1300451192,-296000.47209767916,2623.7415797477015,33.05716191904564,-96.66871760367258,8608.0,0.5176,332.11,1918.0,40.75,162.2,65767.0
334.0,-258661.70096775322,-281689.34618000354,3709.866041710299,33.188925485164845,-96.54065284284991,12171.0,0.5518,349.38,1739.0,40.77,153.17,65614.0
446.0,-245672.77708684612,-266624.0123251769,4694.477587239148,33.32749296882245,-96.40535223114183,15402.0,0.587,367.14,1592.0,40.78,145.38,65469.0
557.0,-232010.95043540333,-250785.334994262,5596.310901824874,33.47301666236496,-96.26257615681419,18361.0,0.6216,384.36,1453.0,40.8,138.14,65330.0
669.0,-217694.58708665092,-234197.94755915762,6418.94422572293,33.62524568910184,-96.11244272704235,21060.0,0.6558,401.17,1318.0,40.82,131.39,65199.0
780.0,-202736.25981396862,-216881.8011061581,7165.4418400964105,33.78397172596312,-95.95500692613993,23509.0,0.6896,417.7,1188.0,40.86,125.21,65074.0
892.0,-187142.58179047116,-198851.9722054256,7838.41355322411,33.94903041997458,-95.7902580890321,25717.0,0.7232,434.03,1063.0,40.89,119.63,64954.0
1003.0,-170919.30360932642,-180117.2215483342,8440.173718508931,34.120313075321334,-95.61817459692445,27691.0,0.7557,449.78,943.0,40.92,114.62,64840.0
1115.0,-154087.76763109458,-160703.16931576186,8974.480778686084,34.297555712237646,-95.43889811249372,29444.0,0.7754,458.04,872.0,40.96,110.55,64729.0
1226.0,-136930.0068029146,-140938.64248020772,9468.411760633344,34.47773240278298,-95.25536396232432,31064.0,0.7881,462.3,985.0,41.0,111.92,64617.0
1338.0,-119608.00991670068,-121013.55092180741,10026.491528065222,34.659097599492426,-95.0692647093738,32895.0,0.7934,461.68,753.0,41.04,101.97,64515.0
1449.0,-102278.92874466426,-101106.90098373828,10452.858036873267,34.84001441991244,-94.88227089964823,34294.0,0.7862,454.61,253.0,41.07,83.36,64432.0
1561.0,-85165.8309487628,-81472.31695902508,10596.052754322962,35.01817958492984,-94.69679847088103,34764.0,0.7656,441.77,-75.0,41.11,70.48,64361.0
1672.0,-68501.57043910655,-62375.473247727925,10553.41367255041,35.191195476806115,-94.51541188840359,34624.0,0.7789,449.71,57.0,41.14,75.84,64285.0
1784.0,-51535.51508910302,-42956.328701985854,10585.541335420972,35.366854596572594,-94.3299450628186,34729.0,0.7747,447.08,13.0,41.17,73.91,64211.0
1895.0,-34657.03025523127,-23654.622400162192,10593.109672335613,35.54117059187791,-94.14463370160688,34754.0,0.7758,447.67,25.0,41.17,74.28,64137.0
2007.0,-17755.03096389365,-4329.881189595406,10607.097457857553,35.71541012784155,-93.95825671116496,34800.0,0.7754,447.39,24.0,41.18,74.1,64063.0
2118.0,-861.156927857815,14980.133969880999,10620.752669360998,35.88922920309587,-93.7711544050273,34845.0,0.7752,447.13,20.0,41.18,73.83,63989.0
2230.0,16023.21443299544,34279.982359726535,10631.828073055998,36.06266592708685,-93.58333618207848,34881.0,0.7755,447.24,30.0,41.17,74.07,63915.0
2341.0,32907.7371860468,53586.33719839067,10649.013014935577,36.23586752994809,-93.39468780570998,34938.0,0.7743,446.46,-2.0,41.15,72.79,63842.0
2453.0,49758.30862450119,72868.00417305807,10648.066694168627,36.40855206864551,-93.20558435046068,34935.0,0.7774,448.26,116.0,41.13,76.83,63766.0
2564.0,66663.05883427187,92222.91580160201,10713.916686318807,36.58159275535046,-93.01502698922452,35151.0,0.7624,439.16,-384.0,41.1,58.87,63707.0
2676.0,83248.3795135789,111232.14999829569,10496.594888148145,36.751248590915054,-92.8272378452423,34438.0,0.7379,426.41,-884.0,41.07,41.03,63666.0
2787.0,99371.60931209887,129733.52614908543,9996.101298708496,36.91608984342493,-92.64388170509288,32796.0,0.689,401.07,-1143.0,41.03,29.93,63636.0
2899.0,114536.76994243206,147160.37981885893,9348.98525672935,37.07110182881014,-92.4706937253992,30673.0,0.6491,381.44,-1214.0,40.99,25.77,63610.0
3010.0,128948.34174355483,163747.05959730232,8661.26726260942,37.2184092036732,-92.30545128050015,28416.0,0.6133,363.92,-1250.0,40.94,22.93,63587.0
3122.0,142685.3599785859,179581.70782508343,7953.590914398915,37.35882637834762,-92.14733781546664,26094.0,0.5807,347.96,-1252.0,40.9,21.23,63566.0
3233.0,155806.77554162437,194729.6295169309,7244.801645440551,37.49295984805684,-91.9957526912048,23769.0,0.5508,333.26,-1252.0,40.86,19.71,63546.0
3345.0,168361.43472236884,209245.08981254708,6535.568924414722,37.62131430943563,-91.85020035634675,21442.0,0.5237,319.86,-1240.0,40.82,18.64,63527.0
3456.0,180398.69321709586,223182.94139330296,5833.270599833236,37.7443961259969,-91.71016950415579,19138.0,0.4989,307.51,-1225.0,40.77,17.75,63510.0
3568.0,191960.012628879,236588.70860370735,5139.269522859264,37.862626078184114,-91.57523186100441,16861.0,0.4758,295.92,-1209.0,40.74,16.95,63493.0
3679.0,203075.304923423,249493.79615732603,4454.651526752017,37.976297791035016,-91.44508721355513,14615.0,0.4552,285.61,-1192.0,40.71,16.31,63476.0
3790.0,213794.39431257392,261952.9742473997,3779.3633053288536,38.085908366659915,-91.31919559670945,12399.0,0.4354,275.44,-1173.0,40.68,15.71,63461.0
3902.0,224124.47774494582,273971.5573102228,3114.839602259188,38.1915177522922,-91.19751194134255,10219.0,0.4182,266.74,-1153.0,40.66,15.93,63445.0
4013.0,234122.0915631961,285612.5171927384,2461.8228473709605,38.29369101986411,-91.07940560972703,8077.0,0.4013,257.97,-1136.0,40.64,16.51,63428.0
4125.0,243786.06955076518,296871.83311709506,1818.5323201185997,38.3924033469774,-90.96492223234148,5966.0,0.3863,250.26,-1118.0,40.63,17.08,63411.0
4236.0,253157.8887785752,307795.088076523,1185.4912163098818,38.48806386329251,-90.85359982651492,3889.0,0.3722,242.88,-1099.0,40.62,17.62,63394.0
4348.0,262250.9343617696,318395.60300800455,563.3393883970355,38.58079767135547,-90.74530552653528,1848.0,0.3,197.18,-941.0,39.15,18.74,63375.0
4459.0,269404.73497213866,327182.2871438656,30.479999696297455,38.65769999913075,-90.65974000118835,100.0,0.2278,150.64,-783.0,37.68,20.04,63355.0
