ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-289830.7752315745,-318343.24417262693,30.480000000671705,32.851306646997585,-96.86343143366715,100.0,0.2008,132.79,1558.0,39.15,179.63,66120.0
99.0,-285616.0331616687,-313166.4703062995,812.7089281926477,32.89898862622695,-96.81999883653836,2666.0,0.2214,145.13,1595.0,45.03,177.41,65943.0
198.0,-280450.7020416457,-308007.3250124211,1613.2347238083705,32.94675367833956,-96.76633543054258,5293.0,0.2538,164.79,1705.0,60.03,173.43,65770.0
296.0,-273267.348308626,-303865.73904369003,2469.2677705280757,32.985883052680755,-96.69068176334919,8101.0,0.2982,191.67,1824.0,45.03,166.95,65603.0
395.0,-266441.64646420116,-297048.198239074,3385.132286599872,33.04892318538077,-96.619593011687,11106.0,0.4013,255.12,2016.0,30.03,152.76,65450.0
494.0,-260010.4810520591,-285924.47143537004,4397.261750254044,33.15052532195514,-96.55389542013172,14427.0,0.6013,377.51,1517.0,37.67,128.6,65321.0
593.0,-248348.2602729334,-270818.5791144664,5158.85495444387,33.28915334760318,-96.43294968756162,16925.0,0.6884,428.07,1017.0,39.2,118.67,65203.0
692.0,-234644.1873425511,-254013.84039418824,5669.452871284764,33.44340131404554,-96.29008559406333,18601.0,0.7393,456.71,701.0,39.64,113.37,65089.0
791.0,-219868.18183413305,-236177.84348797714,6021.499074003018,33.6069855827396,-96.13540675235036,19756.0,0.7484,460.22,707.0,39.71,111.76,64977.0
889.0,-204957.68808071135,-218223.01322110277,6376.599000362828,33.7714727126886,-95.97871535356965,20921.0,0.7574,463.59,714.0,39.69,110.14,64867.0
988.0,-189945.82750912328,-200131.94563081127,6734.852847066716,33.937005625827446,-95.82035464850298,22096.0,0.7662,466.75,720.0,39.72,108.43,64759.0
1087.0,-174822.620946601,-181925.92812607222,7096.348424225167,34.10338854640239,-95.66019339553932,23282.0,0.7747,469.67,726.0,39.72,106.67,64652.0
1186.0,-159603.32600563936,-163608.99262144708,7460.965155454911,34.2705761216971,-95.49837831765929,24478.0,0.7828,472.25,731.0,39.72,104.82,64547.0
1285.0,-144302.10279910712,-145190.90303752988,7828.139540202969,34.4384723576114,-95.33504447706235,25683.0,0.7904,474.41,734.0,39.73,102.86,64445.0
1383.0,-128928.67894558057,-126691.53052811204,8196.802600810388,34.606891639716494,-95.17027857853326,26892.0,0.7971,476.02,632.0,39.77,98.11,64346.0
1482.0,-113485.33850991943,-108133.20188287925,8513.814167733364,34.77562755501851,-95.00408748830142,27932.0,0.802,476.86,132.0,40.5,82.83,64264.0
1581.0,-97747.74209914973,-89709.2748826715,8579.90662157489,34.942957903224396,-94.83397325809771,28149.0,0.8033,477.2,44.0,41.06,80.04,64184.0
1680.0,-81817.28212526001,-71419.0263053786,8602.155544727702,35.10886477203926,-94.6610316804563,28222.0,0.8041,477.51,38.0,41.46,79.76,64104.0
1779.0,-65746.78000001262,-53229.75693430123,8621.199423692882,35.27362706695251,-94.48583548595676,28285.0,0.8048,477.83,38.0,41.76,79.67,64024.0
1878.0,-49570.814690345636,-35112.97553443515,8640.21145361927,35.43748997699905,-94.3087582516769,28347.0,0.8056,478.14,37.0,41.97,79.54,63945.0
1976.0,-33316.628067373334,-17044.964165904505,8658.89452475064,35.60065814043851,-94.13009321193272,28408.0,0.8063,478.45,39.0,42.12,79.5,63865.0
2075.0,-17005.087155005374,992.4227545512742,8678.475986229027,35.7632878972836,-93.95006342362504,28473.0,0.8071,478.76,33.0,42.15,79.24,63786.0
2174.0,-675.541537714415,19035.555870024757,8695.132952636646,35.92570063382886,-93.76909740570275,28527.0,0.8078,479.07,36.0,42.21,79.24,63707.0
2273.0,15683.511523334382,37072.917712398186,8713.375998020801,36.08778884672455,-93.58705978698582,28587.0,0.8085,479.38,37.0,42.29,79.17,63627.0
2372.0,32078.546656547813,55098.89596516649,8731.997023522601,36.249497815970095,-93.40387083001545,28648.0,0.8093,479.69,36.0,42.39,79.05,63548.0
2470.0,48515.52302638364,73108.16694745005,8750.268110773639,36.41077477430324,-93.21945623112433,28708.0,0.81,480.01,36.0,42.51,78.96,63469.0
2569.0,65000.87348792111,91094.66738504803,8768.489274627344,36.57155979064249,-93.03373633926057,28768.0,0.8107,480.32,37.0,42.55,78.89,63391.0
2668.0,81511.58962189629,109079.30191094926,8787.108969193963,36.732037433979194,-92.84695890348821,28829.0,0.8115,480.63,68.0,42.5,79.63,63311.0
