ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-608866.0935397169,-465109.2023527533,30.480000303630565,32.851292519446915,-96.86342143942122,100.0,0.3,198.38,2414.0,46.12,320.38,65980.0
181.0,-595834.8369334538,-452576.36128772027,2246.686766353275,32.971319581636436,-96.73277407882149,7371.0,0.5,322.25,2029.0,50.02,270.15,65709.0
361.0,-573174.4859153726,-433575.9628994325,4109.327599288422,33.15467898426738,-96.50292289639155,13482.0,0.5683,358.05,1668.0,50.01,242.79,65467.0
542.0,-547939.4876564814,-412406.22358295595,5640.980045111003,33.35847077741946,-96.24583491910106,18507.0,0.6251,386.29,1438.0,49.98,223.13,65244.0
723.0,-520685.1739007108,-389523.32844203094,6961.160440140621,33.57814843734499,-95.96683744312827,22838.0,0.6805,413.3,1222.0,49.95,205.7,65038.0
904.0,-491501.60020184715,-364992.5660222595,8083.634503818652,33.81293585060492,-95.66653609301277,26521.0,0.7349,439.57,1019.0,49.91,190.73,64847.0
1084.0,-460440.6862735329,-338850.68929150235,9019.423037709796,34.06232596892861,-95.34512845845944,29591.0,0.7738,456.83,877.0,49.88,178.89,64668.0
1265.0,-428151.17386301944,-311637.34040002996,9825.008541899111,34.321031468009714,-95.00902653785228,32234.0,0.7886,460.23,670.0,49.84,162.39,64506.0
1446.0,-395594.5412602613,-284164.52917075146,10439.960720689605,34.58125751157234,-94.6680681524202,34252.0,0.7817,452.11,170.0,49.82,130.34,64376.0
1627.0,-363514.18557987484,-257070.12998029217,10595.810216866823,34.83696179925058,-94.33002528449133,34763.0,0.7679,443.11,-0.0,49.81,118.54,64257.0
1807.0,-332036.6305645042,-230481.65903584767,10595.810215175241,35.08698256427431,-93.99630003485804,34763.0,0.773,446.06,19.0,49.84,119.89,64137.0
1988.0,-300342.60511674115,-203733.30533924338,10613.258866244021,35.337594089132075,-93.65820940414568,34820.0,0.7736,446.3,21.0,49.89,119.77,64017.0
2169.0,-268609.03529561457,-176997.30431812283,10632.557170188473,35.58716565586973,-93.31758592807353,34884.0,0.7738,446.27,21.0,49.95,119.48,63898.0
2350.0,-236847.27847667196,-150298.57123372064,10651.665284798362,35.83545205950898,-92.97452059468992,34946.0,0.774,446.26,21.0,50.02,119.2,63779.0
2530.0,-205055.30100348196,-123636.46046605469,10670.781962107472,36.08244179589258,-92.62896753653904,35009.0,0.7742,446.25,21.0,50.07,118.92,63660.0
2711.0,-173237.42617965824,-97006.73951915702,10689.900048787884,36.32815396663142,-92.28095235928228,35072.0,0.7744,446.23,21.0,50.11,118.63,63541.0
2892.0,-141402.2415055713,-70399.81645064874,10709.026033520293,36.57265557911442,-91.93054948962076,35135.0,0.7746,446.2,21.0,50.13,118.35,63423.0
3073.0,-109557.87745650992,-43806.598575457756,10728.068868772096,36.816010149105374,-91.57782796607013,35197.0,0.7748,446.19,21.0,50.14,118.07,63305.0
3253.0,-77710.04430480885,-17218.811033292794,10747.142502466222,37.05827493376053,-91.22282923117768,35260.0,0.7749,446.16,21.0,50.14,117.79,63187.0
3434.0,-45864.08117806473,9369.1035479304,10766.237369954955,37.29948334256895,-90.86558980183477,35322.0,0.7751,446.13,21.0,50.13,117.5,63069.0
3615.0,-14023.206692035692,35960.55938033449,10785.326094671127,37.539649910042996,-90.50612172740072,35385.0,0.7753,446.11,21.0,50.12,117.22,62952.0
3796.0,17810.94967753709,62557.88470473945,10804.426819274653,37.778779465138435,-90.1444193093475,35448.0,0.7754,446.08,21.0,50.11,116.94,62835.0
3976.0,49637.03296149722,89162.93436108477,10823.559208541901,38.01687315805494,-89.78047379577741,35510.0,0.7756,446.05,21.0,50.08,116.66,62719.0
4157.0,81452.29088712024,115779.08514680686,10842.733948674742,38.25394577331959,-89.41429179467154,35573.0,0.7758,446.01,21.0,50.05,116.38,62602.0
4338.0,113252.53893361679,142411.49270748172,10861.988350947458,38.49002834183714,-89.04589585775615,35636.0,0.7759,445.97,21.0,50.02,116.1,62486.0
4519.0,145033.8735665695,169064.46390081578,10881.362225034456,38.7251445722174,-88.67530512197104,35700.0,0.7761,445.92,21.0,49.97,115.82,62370.0
4699.0,176791.17948164404,195743.24571599398,10900.745726095063,38.95932719361588,-88.30255222217701,35764.0,0.7762,445.88,22.0,49.92,115.59,62255.0
4880.0,208525.6931205323,222448.25752516554,10920.646927681868,39.192564567110466,-87.92759729561497,35829.0,0.7763,445.77,17.0,49.88,115.03,62140.0
5061.0,240236.2822202376,249173.097638074,10936.059693645457,39.42478399781186,-87.55043014911998,35879.0,0.7776,446.41,62.0,49.85,117.24,62022.0
5242.0,271977.0601891352,275946.9366870098,10992.767226019909,39.656215442358814,-87.17038281616824,36066.0,0.7659,439.34,-375.0,49.84,92.61,61930.0
5422.0,303289.280954977,302367.3845042133,10648.682970142172,39.88338027781029,-86.79297503763262,34937.0,0.7579,437.0,-500.0,49.85,86.94,61843.0
5603.0,334453.0291036846,328654.7291290367,10189.580287523333,40.108182035835796,-86.41488331105936,33430.0,0.7359,427.17,-500.0,49.87,86.69,61756.0
5784.0,364923.10485427035,354338.50661189697,9730.477604888827,40.326624743377444,-86.04280716497477,31924.0,0.6588,385.02,-1000.0,49.9,51.58,61705.0
5965.0,392480.0508838049,377544.1661175882,8812.272239622576,40.52295320267964,-85.7042489406033,28912.0,0.6226,368.64,-1460.0,49.93,29.05,61676.0
6145.0,418938.11869150057,399799.290236175,7471.57635056891,40.710297007603394,-85.37734618698545,24513.0,0.5702,343.9,-1456.0,49.97,26.02,61649.0
6326.0,443621.43288735097,420536.2249745523,6134.8378269189,40.8840154104188,-85.07073490341695,20127.0,0.5254,322.58,-1441.0,50.0,23.89,61626.0
6507.0,466774.5891014569,439964.4788873737,4812.114810738431,41.0460193886867,-84.78168888155594,15788.0,0.4866,303.9,-1421.0,50.03,23.47,61602.0
6688.0,488586.24564269686,458246.5195671051,3507.795167032341,41.197792662363725,-84.50810784576221,11509.0,0.4531,287.6,-1400.0,50.05,25.08,61577.0
6868.0,509225.92222739797,475532.02914769354,2221.868255891081,41.340688069300754,-84.2480732600851,7290.0,0.4241,273.43,-1383.0,50.07,26.81,61550.0
7049.0,528844.495215921,491954.3012375755,951.6867009226311,41.47589985594396,-83.99985526930148,3122.0,0.3,196.3,-1003.0,46.12,29.96,61520.0
7230.0,542053.571473771,504658.1607621704,30.479999697900546,41.58138999916845,-83.83070000128556,100.0,0.1759,116.29,-623.0,42.17,81.17,61439.0
