ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-608866.0937395998,-465109.202552623,30.48000029432323,32.85129251753646,-96.86342144141726,100.0,0.236,156.08,1945.0,46.12,302.18,65998.0
167.0,-599338.940638793,-455946.4407459338,1685.425863544024,32.939057405853774,-96.76793962025863,5530.0,0.2826,183.35,1906.0,51.01,290.01,65708.0
335.0,-587242.8121486142,-446156.0075480896,3306.686078681207,33.033865797245646,-96.64521210825616,10849.0,0.4549,289.5,1703.0,36.01,232.2,65476.0
502.0,-572733.3772490084,-426195.58569502406,4755.439219981022,33.221089341758905,-96.50302441544535,15602.0,0.6549,409.34,1203.0,41.08,207.83,65268.0
670.0,-549720.0718519381,-399797.2949616125,5778.831349202256,33.4705600387607,-96.27294519602934,18959.0,0.7419,457.64,703.0,41.82,191.34,65076.0
837.0,-523533.9934900372,-370535.15811636805,6376.86246634593,33.74696844313511,-96.0090876641841,20921.0,0.7571,463.38,713.0,41.91,186.65,64890.0
1005.0,-496980.24758849526,-340946.9683923109,6983.849158601978,34.02594087571873,-95.7397661224363,22913.0,0.7717,468.55,724.0,41.83,181.74,64708.0
1172.0,-470173.0033384995,-310996.971849002,7600.088140957735,34.30771011147629,-95.46614943776186,24935.0,0.7853,472.85,733.0,41.83,176.47,64532.0
1340.0,-443125.2593289359,-280774.7674875099,8223.627320806832,34.591439752207215,-95.18824705679137,26980.0,0.7969,475.76,352.0,42.3,153.39,64378.0
1507.0,-415596.9976911688,-250524.55624410452,8523.359987555452,34.87501261973704,-94.90322905529894,27964.0,0.8019,476.71,56.0,43.4,136.74,64241.0
1675.0,-387386.4700739049,-220696.16428592367,8571.069205407342,35.15442198766715,-94.60857436578648,28120.0,0.8033,477.25,37.0,44.03,135.42,64106.0
1842.0,-358815.76795007737,-191141.5398446209,8602.298195974767,35.43080921458734,-94.30782708977054,28223.0,0.8046,477.78,40.0,44.4,135.29,63971.0
2010.0,-330023.1411823427,-161740.45604575262,8636.233138799964,35.705163365740795,-94.00251990795394,28334.0,0.8058,478.31,34.0,44.57,134.72,63836.0
2177.0,-301112.83986453334,-132388.8795284727,8664.83410339261,35.97835412699334,-93.69380910360752,28428.0,0.807,478.83,36.0,44.69,134.57,63701.0
2345.0,-272109.3265196578,-103066.33612270337,8695.527447960108,36.250535096358725,-93.38193543898574,28529.0,0.8083,479.36,36.0,44.86,134.3,63567.0
2512.0,-242987.49585475444,-73797.10462128866,8726.324852591706,36.52147290228213,-93.06657196279727,28630.0,0.8095,479.89,33.0,44.81,133.9,63433.0
2679.0,-213853.87711167903,-44474.12490401602,8754.046759774237,36.79208132313069,-92.7489057341732,28721.0,0.8107,480.42,33.0,44.63,133.67,63300.0
2847.0,-184782.9430658775,-15025.056274695937,8781.765071007056,37.06298111420228,-92.42975592920904,28812.0,0.8119,480.95,21.0,44.62,132.9,63167.0
3014.0,-155680.97766622773,14461.251087747012,8799.955243633736,37.33338089898431,-92.10800693429641,28871.0,0.813,481.47,-2.0,44.61,131.72,63035.0
3182.0,-126548.06652264517,43988.66575227041,8798.675142887421,37.60329820009275,-91.78362076844263,28867.0,0.8139,481.99,-144.0,44.6,125.37,62910.0
3349.0,-97368.14126370857,73581.64930944369,8676.25300302655,37.8729370771367,-91.4563771006625,28465.0,0.8131,482.36,-500.0,44.73,110.55,62799.0
