ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-608866.0936505455,-465109.20245197526,30.480000000046786,32.851292518491576,-96.86342144053592,100.0,0.2936,194.15,1660.0,46.12,314.79,65985.0
195.0,-594993.0204810974,-451766.7420019165,1677.046038811346,32.9790687261811,-96.72432221732176,5502.0,0.4936,320.28,1160.0,31.12,242.96,65742.0
390.0,-578492.4768331097,-424431.7506413734,2827.7230282783366,33.23362315735001,-96.56593144003735,9277.0,0.6669,426.87,660.0,33.64,248.28,65494.0
586.0,-554840.3307423543,-388883.1256176682,3482.5105297123523,33.565606282133615,-96.33501371654111,11426.0,0.6818,432.95,521.0,44.93,234.55,65259.0
781.0,-524232.0703339462,-358195.4826756876,3999.4104760390464,33.85727275840331,-96.02419193799564,13121.0,0.6958,439.03,21.0,47.2,202.95,65056.0
976.0,-491883.15255795664,-328239.0789447827,4020.427901894013,34.142479119956214,-95.6919671009537,13190.0,0.4958,312.76,479.0,62.2,171.98,64884.0
1171.0,-464181.4821472314,-313633.06591660215,4495.873524366497,34.286882430633234,-95.39957104905359,14750.0,0.3786,237.37,969.0,77.2,230.74,64654.0
1367.0,-441093.1341488499,-308387.11980690045,5457.080003586778,34.344520662957805,-95.15143793051163,17904.0,0.5319,329.48,484.0,80.13,167.27,64486.0
1562.0,-408595.1999722103,-302735.1418086279,5936.7745706687965,34.40922279481751,-94.80074519648515,19478.0,0.7101,437.1,475.0,65.13,197.68,64289.0
1757.0,-368888.9506666749,-284332.67864985956,6408.1548794885275,34.59011686519701,-94.3766362035483,21024.0,0.5943,363.59,975.0,50.13,201.06,64088.0
1952.0,-341049.7781678629,-261083.5132271496,7375.400179699612,34.80899220981877,-94.08246665270863,24198.0,0.6572,396.94,500.0,35.13,169.02,63919.0
2148.0,-318185.5279920235,-228591.91564723905,7871.275739667193,35.108580633157835,-93.84494649079362,25824.0,0.7942,476.42,0.0,30.05,164.14,63755.0
2343.0,-294221.5907267897,-187175.53051196484,7871.281643842517,35.48824301621596,-93.59686651037468,25824.0,0.7474,448.33,362.0,45.05,171.71,63583.0
2538.0,-262431.5151556142,-155445.43424200182,8230.314711567527,35.78254502402575,-93.25645782151177,27002.0,0.5474,326.73,500.0,60.05,160.0,63423.0
2733.0,-234098.31957619038,-139122.90724598753,8726.070855007845,35.93657282473499,-92.94737329415157,28629.0,0.6154,364.81,-0.0,75.05,121.55,63301.0
2928.0,-198697.55942933002,-129673.11695915884,8725.960147876209,36.029519988172595,-92.55670379836556,28628.0,0.8112,480.87,-500.0,70.77,127.8,63174.0
3124.0,-152940.19761626364,-113709.45975162153,8230.072541276155,36.181465150037305,-92.05111726227508,27002.0,0.7913,472.36,-500.0,55.77,129.68,63044.0
3319.0,-113584.91441752137,-86930.82751474073,7734.193097960828,36.427761586752055,-91.61662775557902,25375.0,0.6654,399.92,-500.0,40.77,101.32,62943.0
3514.0,-87269.8699381675,-56409.40827439256,7238.324335549869,36.705012159313526,-91.32601524457172,23748.0,0.6047,365.91,-278.0,38.16,107.14,62835.0
3709.0,-64520.825781268395,-27461.06602281083,6962.849066904922,36.96717074653618,-91.0733171932887,22844.0,0.4391,266.67,222.0,53.16,145.16,62690.0
3905.0,-43117.52241669235,-11427.189593290084,7183.229758518394,37.112592794888656,-90.83333228859841,23567.0,0.5344,323.61,-133.0,54.06,108.67,62582.0
4100.0,-16779.59517256242,7666.383282482449,7051.3898729853245,37.2851491521542,-90.53673923667039,23134.0,0.721,437.35,-416.0,39.06,130.18,62451.0
4295.0,10974.558004829389,41866.70569439524,6638.631354797254,37.592806235034914,-90.2225164739729,21780.0,0.7024,428.42,81.0,24.06,159.48,62292.0
4490.0,28507.857894200293,81136.54174643349,6718.809678868806,37.94559099897284,-90.02197642530793,22043.0,0.6689,407.56,500.0,38.54,174.6,62117.0
4686.0,53926.11214142639,113045.37248738704,7214.686528535168,38.23140370334786,-89.72971446554934,23670.0,0.4689,283.81,500.0,53.54,163.3,61954.0
4881.0,76771.63966993698,129925.21574199673,7710.569695722332,38.38156206887588,-89.4663593591747,25297.0,0.6689,402.15,500.0,62.67,163.74,61790.0
5076.0,112527.48892298888,148407.61038901898,8206.449887672057,38.54403486077766,-89.05326543271734,26924.0,0.8111,484.3,334.0,65.17,178.12,61612.0
5271.0,156570.61042208967,168783.0963738561,8537.974346082605,38.720689138903786,-88.5424192935251,28012.0,0.6111,363.19,500.0,50.17,152.76,61459.0
5467.0,184485.22000528683,192062.52386100162,9033.85656800819,38.92469294599094,-88.2145875917349,29639.0,0.4491,265.1,500.0,35.17,179.51,61280.0
5662.0,199766.1052912104,213745.7865037668,9529.74517592617,39.116338427875,-88.03173025200012,31266.0,0.6491,380.44,500.0,23.83,149.79,61130.0
5857.0,215149.88755677582,248569.53550627685,10025.633637661054,39.42577822839798,-87.84250706092891,32892.0,0.62,360.77,500.0,38.83,149.4,60981.0
6052.0,237787.01653006615,276690.2820039925,10521.52205898381,39.67273877468984,-87.56919907605993,34519.0,0.82,473.69,203.0,53.83,141.08,60840.0
6247.0,276139.262877635,304724.97687949083,10722.77492784426,39.913490867399375,-87.10987437097862,35180.0,0.8066,464.55,-297.0,63.96,110.49,60729.0
6443.0,318151.890598361,325254.9976779162,10428.139233650689,40.083713349410644,-86.60796555564853,34213.0,0.7868,455.14,-797.0,51.95,83.17,60646.0
6638.0,354352.2785402657,353589.7703006988,9637.614250478986,40.324258937676554,-86.16772182058915,31619.0,0.82,479.84,-1297.0,66.95,74.8,60571.0
6833.0,399090.8276011751,372627.18439163355,8351.19971902623,40.475811641999805,-85.6292250288815,27399.0,0.82,488.66,-1797.0,51.95,70.98,60500.0
7028.0,438188.22211058496,403229.5105945354,6568.895515082617,40.731535826461815,-85.14712248857903,21551.0,0.7762,473.89,-2297.0,43.39,62.45,60438.0
7224.0,471333.78622153745,438297.3442817293,4290.701613679607,41.0285796021668,-84.72871382448339,14077.0,0.7,440.06,-1932.0,48.85,88.09,60350.0
7419.0,504978.84232255956,467698.35661011894,2374.738422269502,41.27299810512366,-84.3051384424615,7791.0,0.5,321.76,-1432.0,44.46,39.44,60310.0
7614.0,527783.8503542726,490934.2233562015,954.6645777856231,41.467418590434,-84.01341394833145,3132.0,0.3,196.3,-932.0,46.12,32.35,60278.0
7809.0,542053.5715276443,504658.1608468537,30.47999999991387,41.58138999989265,-83.83070000056557,100.0,0.1,66.13,-432.0,47.77,349.77,59928.0
