ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,156227.58483180325,681113.3629624454,30.480000303726438,32.85131999911373,-96.86345000108311,100.0,0.3,198.38,2414.0,194.48,303.0,65997.0
171.0,151947.77334770735,664546.2029117643,2126.429381558981,32.70289044429006,-96.9117426193016,6976.0,0.5,322.71,2039.0,193.6,256.55,65740.0
342.0,145356.10240660177,637308.9401569768,3897.1397980748748,32.45877340030325,-96.98606232139826,12786.0,0.5638,356.2,1684.0,193.62,231.6,65509.0
513.0,138054.15103977916,607176.6215336869,5359.901617639656,32.188659879542584,-97.0679173525191,17585.0,0.6182,383.42,1463.0,193.66,213.91,65295.0
684.0,130162.92145001092,574704.7624538535,6630.502633580768,31.897518144549508,-97.15582360812456,21754.0,0.6715,409.61,1255.0,193.71,198.12,65097.0
855.0,121690.52041543984,539980.2079908665,7720.212139155205,31.586115955283965,-97.24957268518965,25329.0,0.7241,435.29,1056.0,193.77,184.34,64912.0
1026.0,112640.73223196277,503045.0957404553,8637.336156545387,31.25481922719548,-97.34900659766015,28338.0,0.7693,456.61,892.0,193.82,173.07,64739.0
1197.0,103103.55695223258,464272.76620939816,9412.116878553425,30.90696503777858,-97.45303105377396,30880.0,0.793,465.54,930.0,193.87,170.05,64569.0
1368.0,93348.09788131843,424765.55976596294,10219.949966439994,30.552436099213875,-97.55864662702201,33530.0,0.7877,457.08,430.0,193.92,138.52,64431.0
1538.0,83705.35754535432,385859.1445747644,10593.592527384508,30.203218775104514,-97.66227821651506,34756.0,0.766,442.0,-27.0,193.96,110.62,64320.0
1709.0,74327.28289068828,348130.2739355889,10570.534871492266,29.864495771374006,-97.76235791862334,34680.0,0.7764,448.19,31.0,193.99,114.57,64206.0
1880.0,64802.348325336076,309892.44806688995,10597.465212181336,29.521128623444508,-97.86330998316004,34769.0,0.7747,447.01,19.0,194.02,113.46,64092.0
2051.0,55281.58404940026,271756.9574473864,10614.255970917566,29.178606532243837,-97.96353425801439,34824.0,0.7752,447.2,21.0,194.05,113.35,63979.0
2222.0,45733.900820322706,233611.10846815896,10632.683430024685,28.8359187556075,-98.06337133395746,34884.0,0.7753,447.16,21.0,194.08,113.09,63866.0
