ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,156227.58503078998,681113.3631622908,30.48000028673807,32.85132000088549,-96.86344999892525,100.0,0.2608,172.46,2160.0,194.48,288.12,66012.0
161.0,152725.153643905,667555.447038489,1793.5088592193556,32.7298524154493,-96.90298269276967,5884.0,0.3469,224.78,2199.0,182.16,268.91,65743.0
321.0,152035.01834738927,649274.1691360455,3587.9517410824355,32.565562391669275,-96.91316645570775,11771.0,0.5469,346.82,1699.0,197.16,219.31,65524.0
482.0,143658.98027682683,622151.8008787245,4974.307797509462,32.32268246438809,-97.00630491556937,16320.0,0.6593,410.93,1199.0,194.41,197.76,65326.0
643.0,135262.11600276522,589474.821166233,5952.577028487882,32.02979232450355,-97.09991568535409,19529.0,0.746,459.15,706.0,194.62,182.33,65144.0
803.0,125721.84673477076,552895.9476449263,6528.601235923266,31.701862522632297,-97.20548616175334,21419.0,0.7604,464.5,549.0,194.62,170.86,64973.0
964.0,116058.79656523338,515860.0471003153,6976.703764693303,31.369748831487012,-97.31165986928508,22889.0,0.7713,468.31,49.0,194.2,144.98,64828.0
1125.0,106563.73413720081,478346.769059107,7016.719468066674,31.033242659066193,-97.41537688057693,23021.0,0.7727,468.93,-451.0,194.48,121.9,64706.0
1285.0,96850.11066367145,440728.65822321986,6648.648346050177,30.69572856399713,-97.52066034812515,21813.0,0.7648,466.4,-951.0,196.36,101.91,64604.0
1446.0,85938.82538846812,403557.55868464964,5872.490398751445,30.36223033054507,-97.63765227208127,19267.0,0.7461,459.69,-451.0,211.15,131.38,64473.0
1607.0,66238.1586105319,370965.0964902098,5504.4192757461105,30.070278303160094,-97.84482793869671,18059.0,0.7371,456.28,49.0,226.15,157.15,64315.0
1767.0,39048.25283712186,344845.1831371483,5544.4349780310695,29.836469368776793,-98.12814645812696,18190.0,0.5371,332.3,549.0,231.22,141.11,64174.0
1928.0,17701.708149455942,327695.0708901057,5992.537505701319,29.682694197638295,-98.3496207476874,19661.0,0.3371,207.35,1049.0,216.22,223.55,63951.0
2089.0,7644.364270026026,313964.0747225664,6848.726858712294,29.559304739525416,-98.45377785872554,22470.0,0.4081,248.2,1286.0,201.22,211.51,63739.0
2249.0,280.9094804406107,295000.68799164897,7897.940700462031,29.388784895088897,-98.52988162917912,25912.0,0.6081,364.63,870.0,186.22,152.66,63587.0
2410.0,-2968.1072605181157,265195.29514964,8608.031504838202,29.120735297658253,-98.56332631675771,28242.0,0.8081,479.82,370.0,189.77,144.27,63442.0
2571.0,-9681.58926372174,226195.7244726765,8910.035484110651,28.76997227478333,-98.63208924538468,29232.0,0.8124,480.36,-120.0,189.97,119.96,63322.0
2731.0,-16562.992448631583,187065.46004042117,8811.851719662935,28.417999137554762,-98.70211881979584,28910.0,0.8122,480.92,8.0,190.2,126.63,63196.0
2892.0,-23599.134702409483,147945.3170063407,8818.317427789712,28.06608071215434,-98.77327413399307,28931.0,0.8132,481.43,21.0,190.23,127.19,63069.0
3053.0,-30664.79598624914,108791.2937046339,8835.80055389144,27.713822486857282,-98.84427670194407,28989.0,0.8142,481.93,31.0,190.25,127.5,62941.0
3213.0,-37752.005360604926,69600.8808049434,8860.901567573894,27.36120240518953,-98.91505196929053,29071.0,0.8154,482.44,33.0,190.25,127.39,62814.0
3374.0,-44843.82297057412,30369.188827988535,8887.924997870516,27.008177403489203,-98.98543559191185,29160.0,0.8165,482.95,35.0,190.25,127.25,62686.0
3535.0,-51944.53203485611,-8903.2163530471,8916.456411490106,26.654753033814938,-99.05547875218252,29253.0,0.8177,483.46,35.0,190.25,127.02,62559.0
3695.0,-59052.183487643495,-48217.11628075118,8945.26662903862,26.300923145586182,-99.12516959721529,29348.0,0.8189,483.97,23.0,190.25,126.27,62433.0
3856.0,-66166.56639192098,-87575.64988363373,8963.749293531098,25.946660193673097,-99.19451398067234,29409.0,0.82,484.48,-81.0,190.24,121.69,62311.0
4017.0,-73290.9537281574,-126999.44216750545,8897.429976415935,25.59177910302407,-99.2635512015519,29191.0,0.82,484.93,-73.0,190.24,122.76,62189.0
4177.0,-80419.777742418,-166458.55385624617,8838.097928682748,25.2365499649988,-99.33223476642445,28996.0,0.82,485.34,-66.0,190.24,123.71,62065.0
4338.0,-87552.27917930204,-205949.56937885238,8784.032569568779,24.881004159213433,-99.40056520947802,28819.0,0.82,485.71,-61.0,190.23,124.52,61940.0
4499.0,-94687.6433034747,-245469.90559075924,8734.121851080306,24.525165590700617,-99.4685424843973,28655.0,0.82,486.05,-57.0,190.23,125.23,61815.0
4659.0,-101825.31153615132,-285017.47865614726,8687.597774346743,24.16905366245803,-99.53616904896339,28503.0,0.82,486.37,-54.0,190.23,125.87,61689.0
4820.0,-108964.91701310237,-324590.5544404017,8643.903571119094,23.812684618828605,-99.60344919494612,28359.0,0.82,486.67,-51.0,190.22,126.47,61563.0
4981.0,-116106.31141703678,-364187.6423573199,8602.62033301611,23.45607249350566,-99.67038928500692,28224.0,0.82,486.95,-48.0,190.22,127.05,61436.0
5141.0,-123249.51338570785,-403807.4373268099,8563.423480129613,23.099229631008477,-99.73699721892052,28095.0,0.82,487.22,91.0,190.22,133.26,61303.0
5302.0,-130389.10493181231,-443417.8278283887,8637.584593139563,22.742445849417702,-99.8032305477029,28339.0,0.82,486.71,-409.0,190.22,111.23,61191.0
5463.0,-137539.96106658265,-483099.0823284272,8303.65888074901,22.384998679109966,-99.86923460099992,27243.0,0.8162,486.74,-909.0,190.21,93.97,61097.0
5623.0,-144709.15192094643,-522888.3420351197,7561.646342918001,22.026553967000446,-99.93508038731684,24809.0,0.8,481.93,-1409.0,190.21,79.42,61018.0
5784.0,-151823.66048946689,-562378.5977119425,6411.546979642451,21.670779033051236,-100.00010736759383,21035.0,0.7706,471.44,-1909.0,190.21,66.91,60951.0
5945.0,-158797.00657454034,-601088.2795298704,4853.3607909236525,21.32201393294686,-100.06354524708436,15923.0,0.7,436.95,-2409.0,190.21,42.26,60909.0
6105.0,-165269.4957222165,-637018.6737189183,2887.087776785106,20.998270065905402,-100.12216808561308,9472.0,0.5,319.79,-2000.0,190.21,22.59,60886.0
6266.0,-169992.52407189392,-663236.8307042032,1254.7404756339192,20.762024815246008,-100.16479177824404,4117.0,0.3,195.62,-1500.0,194.48,26.31,60860.0
6427.0,-174053.62912540117,-678957.3776663542,30.479999809265085,20.62023208982717,-100.20207534354068,100.0,0.1,66.13,-1000.0,198.76,210.16,60650.0
