ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,156227.58493329515,681113.3630617365,30.479999999993733,32.85131999999368,-96.86344999998292,100.0,0.3,198.38,500.0,194.48,212.76,66087.0
212.0,150830.42009284298,660220.9281623159,569.3604346469003,32.66413616031888,-96.92432432479518,1868.0,0.5,328.61,985.0,201.52,264.69,65823.0
424.0,137757.30214360106,627075.2829826116,1631.20702677581,32.36761654368285,-97.06832794217402,5352.0,0.6503,422.15,485.0,216.52,277.45,65545.0
636.0,110421.34851810704,590166.5263721657,2154.2611807398525,32.03843464288421,-97.36296478905497,7068.0,0.6578,424.39,-15.0,231.52,240.77,65304.0
849.0,74155.94930660274,561345.5216366444,2138.6127304764063,31.781910405051363,-97.7492530052626,7016.0,0.6579,424.54,52.0,246.52,245.06,65059.0
1061.0,31670.118316059117,542894.1321714036,2194.7288389813784,31.617749608808996,-98.19872155970559,7201.0,0.6341,408.94,552.0,237.89,260.85,64798.0
1273.0,-5997.203395548484,519255.76703236805,2789.6263454281125,31.405545215731532,-98.59590182671619,9152.0,0.4341,277.98,1052.0,228.69,241.93,64557.0
1485.0,-28613.43034511663,499379.02490506176,3923.274672017408,31.22648400051111,-98.83339565174768,12872.0,0.2341,147.85,934.0,213.69,356.29,64200.0
1697.0,-37490.70088796591,486062.537100139,4930.373414154424,31.106498356290285,-98.92618414681081,16176.0,0.3706,231.09,1023.0,198.69,260.07,63940.0
1909.0,-45507.99008250128,462361.5580164657,6032.850414636855,30.893094952095222,-99.0092895486454,19793.0,0.5706,350.8,523.0,183.69,183.75,63756.0
2122.0,-47962.13284041597,424299.33206744975,6596.58198388125,30.550710636623418,-99.033275835051,21642.0,0.7667,467.93,23.0,168.69,194.5,63562.0
2334.0,-37947.53795792956,374229.32542004815,6621.5100557250225,30.100756411924777,-98.92702054090083,21724.0,0.768,468.54,-477.0,177.27,164.89,63397.0
2546.0,-35505.18595855937,322979.57965241215,6107.690909098008,29.639929332418237,-98.90000047648721,20038.0,0.7088,435.34,-695.0,180.18,135.98,63261.0
2758.0,-35651.656116882725,275239.86218716914,5358.281790419346,29.210596060036657,-98.9000032107131,17580.0,0.7363,456.64,-801.0,180.78,158.48,63103.0
2970.0,-36332.24339199809,225138.35751474893,4495.425040517089,28.760008652579636,-98.90542499216036,14749.0,0.5363,336.26,-301.0,165.78,120.96,62982.0
3182.0,-27297.982755356712,189491.97544777827,4171.401752803803,28.4396479081716,-98.8119287756911,13686.0,0.3363,211.71,199.0,150.78,169.37,62812.0
3394.0,-16033.333770960453,169353.92391547482,4386.221693067451,28.258722129065386,-98.69646229222907,14390.0,0.2394,150.3,699.0,160.99,327.83,62484.0
3607.0,-10720.914437010044,153934.31163628423,5139.89180662595,28.12010248072271,-98.64208886140653,16863.0,0.4295,267.11,1199.0,175.99,246.94,62237.0
3819.0,-8700.7744907378,125122.72214480778,6432.384915443037,27.86100812893163,-98.62128177046404,21104.0,0.6295,384.99,1184.0,182.96,230.47,62007.0
4031.0,-10847.881734148015,83535.212489975,7707.940507727342,27.486987720276268,-98.64274834592902,25289.0,0.5656,340.06,684.0,193.27,183.27,61824.0
4243.0,-19321.906300022634,47600.71266536892,8444.675050040363,27.16372954234508,-98.72808581748987,27706.0,0.7656,455.65,184.0,190.71,169.06,61655.0
4455.0,-28549.779107139846,-1195.9493906786406,8642.563138314701,26.72473449486958,-98.82024198949478,28355.0,0.82,486.68,-316.0,180.39,152.28,61502.0
4667.0,-28911.360124473016,-54436.805300743916,8301.598600605374,26.245923233346428,-98.82266833076426,27236.0,0.6401,381.74,-698.0,179.68,84.2,61418.0
4880.0,-28676.22658914479,-96309.3164286136,7549.826137469201,25.8693616222279,-98.81937959117369,24770.0,0.4842,291.73,-867.0,176.06,51.44,61367.0
5092.0,-26476.602389006304,-128261.60792250512,6615.733826668189,25.582051590126934,-98.79674841061886,21705.0,0.3852,235.03,-669.0,173.88,66.28,61300.0
5304.0,-23728.96447980685,-153878.60782426494,5895.063823222648,25.351721245388877,-98.76889422327528,19341.0,0.3628,223.44,-422.0,173.03,91.69,61209.0
5516.0,-20763.192509716042,-178152.4234802897,5440.627168237862,25.133467909116224,-98.73900469854101,17850.0,0.3822,236.81,-179.0,173.1,111.86,61097.0
5728.0,-17654.844378879552,-203842.2259272979,5247.668468929381,24.902475631800662,-98.707793821935,17217.0,0.4191,260.28,49.0,174.76,130.65,60966.0
5940.0,-15063.22258091957,-232121.12288306444,5300.302766032755,24.64818690462183,-98.68178823177784,17389.0,0.4568,283.52,246.0,177.9,148.21,60818.0
6152.0,-13931.62325289774,-262990.5770852047,5564.983666571485,24.370582809416,-98.67028024185105,18258.0,0.4863,300.83,391.0,181.66,160.85,60657.0
6365.0,-14881.10382354862,-295718.2364793595,5986.465920778978,24.076247043779432,-98.67930083160199,19641.0,0.5083,312.71,463.0,185.87,166.02,60491.0
6577.0,-18358.97001064547,-329554.6993906921,6485.85070825561,23.771910076891565,-98.71310404732999,21279.0,0.5446,332.83,419.0,190.9,162.0,60329.0
6789.0,-25203.727105478116,-365115.64907362784,6937.9637874946475,23.45200410509922,-98.77970788369419,22762.0,0.6304,382.98,231.0,196.81,157.08,60172.0
7001.0,-37273.984227059584,-405059.91200142587,7187.11476056365,23.0925287753742,-98.89693711404622,23580.0,0.7438,450.33,-63.0,202.78,166.35,60006.0
7213.0,-56315.51760279092,-450396.07918825856,7119.089311269451,22.684230020797433,-99.08123264093997,23357.0,0.7772,471.01,-412.0,207.13,159.98,59846.0
7425.0,-79829.61372162927,-496280.05026281154,6674.868314157868,22.2705528143047,-99.30778261556448,21899.0,0.7721,470.73,-782.0,209.18,146.57,59699.0
7638.0,-105018.29123309486,-541378.8313520419,5831.694101937081,21.863484261984222,-99.54919767558212,19133.0,0.7509,462.88,-1144.0,209.68,135.03,59564.0
7850.0,-130226.51415936822,-585606.2391241186,4598.603177437296,21.463867594017508,-99.78943706483933,15087.0,0.6887,431.3,-1412.0,209.47,112.89,59451.0
8062.0,-153596.5034204674,-626955.6022406248,3076.517062970439,21.08993634548272,-100.01089240775453,10094.0,0.4958,316.35,-1481.0,205.75,33.61,59418.0
8274.0,-168722.51378164874,-658320.6205667972,1480.2966157382111,20.806365311507715,-100.15311791085415,4857.0,0.2985,194.11,-1345.0,194.48,34.43,59383.0
8486.0,-174053.62922529117,-678957.3777663312,30.48,20.620232088917284,-100.20207534448782,100.0,0.1012,66.91,-1209.0,183.22,173.47,59210.0
