ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,190808.48617952532,589759.5430094196,30.480000303887117,32.851319999116875,-96.86345000108771,100.0,0.3,198.38,2414.0,199.86,271.74,66028.0
153.0,185589.20850924318,575307.3746049757,1910.2554191644806,32.72219523583953,-96.92199568879713,6267.0,0.5,323.54,2058.0,199.1,231.84,65796.0
307.0,177334.68610612385,551472.3515273482,3512.8606102237804,32.50912845901697,-97.01442132784902,11525.0,0.5484,348.07,1751.0,199.1,212.16,65584.0
460.0,168438.39276395921,525781.2315377689,4876.480447799683,32.27939463809762,-97.1135456135366,15999.0,0.5972,372.69,1549.0,199.09,197.48,65387.0
613.0,158908.2011794455,498240.68204931926,6082.873821824317,32.03303710971226,-97.21918206845174,19957.0,0.6451,396.33,1359.0,199.07,184.12,65203.0
767.0,148772.95775779145,468919.4077449313,7141.023610058893,31.770654084735103,-97.3309099397567,23429.0,0.6922,419.36,1177.0,199.04,172.14,65031.0
920.0,138052.92190699597,437860.47625878104,8058.051130397405,31.49261472028327,-97.44840507799219,26437.0,0.7389,442.13,1003.0,199.0,161.72,64869.0
1073.0,126766.07955009352,405075.73518183833,8839.212031930545,31.19900802206672,-97.57137248789545,29000.0,0.7735,457.79,879.0,198.95,153.32,64715.0
1226.0,115098.8858084619,371098.30966178887,9523.468132056449,30.89459553110572,-97.69769606465599,31245.0,0.7931,464.85,939.0,198.94,151.97,64564.0
1380.0,103266.58879058235,336609.4244745598,10254.780322499428,30.58547595454425,-97.82499489738876,33644.0,0.7875,456.7,439.0,198.96,124.38,64439.0
1533.0,91591.24790068966,302631.288802549,10596.683929440987,30.280815811675314,-97.9498095175495,34766.0,0.7647,441.27,-37.0,199.03,98.63,64340.0
1686.0,80241.42214662558,269722.5868507708,10567.622561315882,29.985635720275674,-98.07039667188836,34671.0,0.7764,448.18,34.0,199.1,102.93,64238.0
1840.0,68678.53800468701,236325.74989415327,10593.980567578672,29.685968672652084,-98.19250670105629,34757.0,0.7743,446.82,19.0,199.14,101.78,64136.0
1993.0,57125.10426001448,203035.54604466664,10608.585919814384,29.387149619164745,-98.31379010838529,34805.0,0.7749,447.06,21.0,199.14,101.72,64034.0
2146.0,45564.71763200008,169728.4772898671,10625.282402007406,29.08807077822375,-98.43443772569846,34860.0,0.775,447.0,21.0,199.09,101.5,63933.0
2300.0,34033.944049695136,136415.93143963325,10641.562404208562,28.78883538102877,-98.55408533816428,34913.0,0.7752,446.99,21.0,199.0,101.3,63831.0
2453.0,22556.487674398148,103085.33808070053,10657.895163720794,28.489332678859103,-98.67250532529488,34967.0,0.7753,446.97,21.0,198.9,101.09,63730.0
2606.0,11140.947438193809,69734.75084658727,10674.207668834692,28.189548356718795,-98.78962604577184,35020.0,0.7755,446.95,21.0,198.81,100.89,63629.0
2760.0,-223.64240792356745,36368.07069152144,10690.533992559891,27.889520898826117,-98.90557555868752,35074.0,0.7756,446.93,21.0,198.76,100.68,63529.0
2913.0,-11558.746766592276,2993.0748338096623,10706.873582733775,27.589323007391833,-99.02058707382153,35128.0,0.7757,446.9,21.0,198.75,100.47,63428.0
3066.0,-22885.796338680946,-30382.583879056656,10723.185524849941,27.2890255417021,-99.13489052488924,35181.0,0.7759,446.87,21.0,198.75,100.27,63328.0
3220.0,-34216.78770877106,-63755.007065252496,10739.478141657411,26.988665424505452,-99.2486194939962,35235.0,0.776,446.84,21.0,198.76,100.06,63228.0
3373.0,-45551.086502534774,-97124.53559035188,10755.789861327654,26.68824112895776,-99.36177843184305,35288.0,0.7762,446.81,21.0,198.76,99.86,63128.0
3526.0,-56881.87547284994,-130493.19977162589,10772.154075599345,26.38773623350314,-99.47430942980435,35342.0,0.7763,446.76,21.0,198.74,99.65,63028.0
3679.0,-68203.97185788263,-163862.1507134593,10788.47877072543,26.08714233815479,-99.58617147425895,35395.0,0.7764,446.73,22.0,198.72,99.49,62929.0
3833.0,-79510.30102681644,-197234.264582041,10805.282663951475,25.786435770867797,-99.69730488503532,35450.0,0.7764,446.62,17.0,198.69,99.05,62830.0
3986.0,-90798.80104898376,-230605.2080293236,10818.81800431238,25.485657558541465,-99.80770087359504,35495.0,0.7772,447.01,46.0,198.67,100.22,62730.0
4139.0,-102084.84108706117,-264005.74674742774,10854.870934209697,25.18453187401802,-99.91752128279428,35613.0,0.7719,443.72,-56.0,198.64,94.88,62635.0
4293.0,-113275.80904670405,-297185.493634119,10811.311984188358,24.88531920577838,-100.0258790184364,35470.0,0.7634,439.11,-556.0,198.59,71.69,62563.0
4446.0,-124349.39543365304,-330116.5419042365,10378.344450678987,24.588275885179122,-100.13257778410158,34050.0,0.7088,410.3,-1056.0,198.51,45.33,62518.0
4599.0,-134680.53601966106,-360978.4074532989,9555.96833369302,24.309833948804336,-100.23165563298002,31352.0,0.6546,383.52,-1249.0,198.43,33.75,62484.0
4753.0,-144303.42203477782,-389860.9587903639,8582.892987929374,24.04919688889092,-100.3235382607133,28159.0,0.6068,360.43,-1288.0,198.37,29.23,62455.0
4906.0,-153321.45564004648,-417010.6343001959,7580.097008248917,23.804150947006033,-100.40930020328042,24869.0,0.5647,340.13,-1295.0,198.35,26.31,62428.0
5059.0,-161820.45475877755,-442628.0311420062,6571.496828914464,23.572893222530183,-100.48982847870641,21560.0,0.5276,322.07,-1288.0,198.36,24.2,62404.0
5213.0,-169867.1681608324,-466878.0202864519,5568.5705640809465,23.353941763330862,-100.56581225960345,18270.0,0.4945,305.86,-1273.0,198.38,22.6,62382.0
5366.0,-177515.5218883351,-489896.8473477857,4577.456644933879,23.14607172218543,-100.63780736361885,15018.0,0.465,291.26,-1253.0,198.42,21.37,62360.0
5519.0,-184811.97334603834,-511804.79727919283,3601.2984960993886,22.9482013090933,-100.70628985053918,11815.0,0.4384,277.98,-1232.0,198.47,21.28,62339.0
5672.0,-191791.43627483107,-532701.7006926254,2641.913778042596,22.75943302324064,-100.77161879897902,8668.0,0.4145,265.89,-1209.0,198.51,22.41,62317.0
5826.0,-198479.79757651628,-552679.099796728,1700.175316834131,22.578944274756818,-100.83406110318376,5578.0,0.3931,254.98,-1187.0,198.53,23.53,62293.0
5979.0,-204899.40474314571,-571829.4460188885,775.5636513292809,22.405904193108853,-100.89384480568752,2545.0,0.3,196.7,-957.0,199.86,25.58,62267.0
6132.0,-210185.36223135272,-586466.2506945619,30.479999696964818,22.273580405811497,-100.9431196398752,100.0,0.2069,136.83,-726.0,201.18,34.38,62233.0
