ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,190808.4863486481,589759.5432008547,30.48000008533804,32.851320000811405,-96.86344999924239,100.0,0.264,174.55,2184.0,199.86,247.61,66052.0
138.0,186662.05441090104,578278.0841081215,1563.9876573817826,32.748739624122884,-96.90997516243756,5131.0,0.3071,199.55,2081.0,184.86,237.25,65815.0
276.0,185477.60957174652,564338.5209089022,3025.2436103648934,32.623596450923046,-96.92527058191676,9925.0,0.4454,284.36,1691.0,189.55,192.6,65623.0
415.0,182154.4425754679,544580.1753394405,4212.242822653713,32.44645625482444,-96.96436892391161,13820.0,0.6454,406.1,1191.0,194.02,174.75,65448.0
553.0,175198.54728337965,516726.8229934094,5048.216477522496,32.197044320581774,-97.04332318959374,16562.0,0.7228,450.09,691.0,194.22,162.42,65285.0
691.0,167363.69446507876,485806.9776713401,5533.164574959798,31.92013009580658,-97.13165490067023,18153.0,0.7356,455.23,699.0,194.1,159.43,65126.0
829.0,159507.11583567923,454519.59680786816,6023.818661715196,31.63985160780438,-97.21973578852078,19763.0,0.7484,460.16,707.0,194.06,156.31,64970.0
967.0,151587.03233993993,422890.5156447406,6520.40809000957,31.35644654871472,-97.30799809770387,21392.0,0.7608,464.8,207.0,193.97,134.13,64836.0
1106.0,143615.82178154457,390854.4596038755,6665.972014116276,31.069326085153698,-97.39631451303188,21870.0,0.7647,466.26,-293.0,193.53,113.65,64722.0
1244.0,135847.5187636667,358582.5276637272,6460.510394929841,30.780001330086787,-97.48199862185157,21196.0,0.7603,464.8,-741.0,191.99,97.33,64625.0
1382.0,128957.90274842067,326151.655416051,5940.6276927449835,30.489101106102126,-97.55801336060429,19490.0,0.7478,460.3,-241.0,201.74,120.87,64504.0
1520.0,116823.43852585074,295720.7173046416,5771.770530217741,30.216626057488412,-97.68790022357459,18936.0,0.7438,458.89,259.0,216.74,141.37,64362.0
1658.0,97331.11681550585,269607.68400342745,5953.938901088707,29.983427611435406,-97.89302424225501,19534.0,0.7489,460.9,603.0,228.05,152.79,64209.0
