ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-239868.48961127328,162257.43464445035,30.48000000100138,32.91570837375736,-97.02597889382248,100.0,0.1784,117.98,1253.0,121.83,154.6,66145.0
85.0,-235536.37747947947,159568.35695111766,570.0023304813824,32.89245370588768,-96.97890660736438,1870.0,0.2081,136.79,1508.0,106.83,153.05,65992.0
169.0,-229883.99683844685,157858.6617932031,1219.102652676022,32.878255665777836,-96.91796900597998,4000.0,0.2277,148.55,1559.0,104.79,151.04,65841.0
254.0,-223681.29936082006,156220.9597663307,1890.19533823486,32.864785242872394,-96.85117801526941,6201.0,0.2311,149.6,1424.0,119.79,149.35,65692.0
339.0,-218067.4938345744,153007.16310807236,2502.9531273203147,32.836997877578085,-96.79034111145103,8212.0,0.2455,157.76,1412.0,134.79,146.84,65545.0
424.0,-213223.9344399273,148198.92678345868,3110.716265303421,32.79470242097393,-96.73741777577274,10206.0,0.2802,178.74,1554.0,149.79,142.37,65403.0
508.0,-209334.02408191704,141517.99036688567,3779.5231680119127,32.735372915393576,-96.69432139237092,12400.0,0.3461,218.94,1770.0,164.79,133.97,65269.0
593.0,-206850.07126053554,132381.63286261458,4541.579352124182,32.653697889403595,-96.66576039950432,14900.0,0.4398,275.62,1868.0,178.59,122.64,65146.0
678.0,-206555.81829824485,120459.1300990882,5345.802907219143,32.54657139513797,-96.6600062302701,17539.0,0.6398,396.89,1368.0,163.59,104.59,65042.0
763.0,-201688.75533611295,103936.95491592553,5934.813767640787,32.39891585218385,-96.6045781215533,19471.0,0.7264,447.19,868.0,157.31,97.35,64944.0
847.0,-194189.5400155583,86000.25653654675,6308.611934577898,32.238968980600006,-96.5210679532744,20698.0,0.7559,463.07,713.0,156.97,94.7,64850.0
932.0,-186309.43215653344,67464.06512300727,6615.3140766222305,32.07363654231285,-96.43370223577281,21704.0,0.7635,465.85,718.0,156.67,93.45,64756.0
1017.0,-178285.41417942915,48858.879791756066,6924.386757373996,31.907642911627512,-96.3451242727577,22718.0,0.771,468.46,724.0,156.56,92.19,64664.0
1101.0,-170179.6356852408,30166.29504493197,7235.817340122782,31.740810747642165,-96.2559949882797,23740.0,0.7781,470.85,729.0,156.54,90.87,64573.0
1186.0,-162026.73597058526,11381.347338195812,7549.38986145154,31.57308929298716,-96.16668311865406,24768.0,0.785,472.98,732.0,156.49,89.47,64484.0
1271.0,-153821.83621470543,-7481.341162565106,7864.609241230703,31.40461019206839,-96.0771416263078,25803.0,0.7914,474.78,734.0,156.71,88.01,64396.0
1356.0,-145658.88907975538,-26446.799021261882,8180.712776731401,31.235136062088106,-95.9883568483162,26840.0,0.7971,476.16,534.0,156.79,81.98,64314.0
1440.0,-137491.27100800019,-45489.895128976954,8410.503125744375,31.064899903946262,-95.89984004812169,27594.0,0.8009,476.91,34.0,156.82,69.27,64244.0
1525.0,-129310.7336871804,-64597.99550513929,8425.082671246699,30.894016735579854,-95.81150559384542,27641.0,0.8016,477.18,-466.0,157.01,57.39,64187.0
1610.0,-121175.22934764963,-83770.89013793865,8224.451324003388,30.722482794881696,-95.72395900860461,26983.0,0.799,476.97,-966.0,157.5,46.57,64140.0
1695.0,-113199.37063290704,-103030.88452247788,7808.609281799777,30.55008809242881,-95.63839061548468,25619.0,0.792,475.54,-568.0,158.61,58.08,64082.0
1779.0,-105627.75591196559,-122362.2180873614,7563.969622148223,30.376956508666645,-95.55734169419281,24816.0,0.7875,474.39,-68.0,145.18,71.1,64011.0
1864.0,-93818.02157626934,-139341.0577181249,7534.541611591583,30.22526928050106,-95.43270566773406,24720.0,0.7872,474.41,432.0,130.18,82.75,63928.0
1949.0,-78039.53070564018,-152665.11231297744,7720.32531417323,30.106592371685842,-95.26749766386781,25329.0,0.7913,475.69,733.0,115.18,88.56,63840.0
2034.0,-59317.79475158469,-161466.60276631542,8035.696959723866,30.028522563453848,-95.07239417288696,26364.0,0.7977,477.44,732.0,100.18,87.02,63753.0
2118.0,-38881.23535564026,-165136.07155528743,8350.802905958786,29.9963655414878,-94.85999770346787,27398.0,0.8034,478.76,729.0,86.14,85.41,63667.0
2203.0,-18107.948231121518,-163734.85657252208,8664.478295590972,30.00946404607944,-94.64433443747093,28427.0,0.8082,479.53,391.0,85.81,76.27,63591.0
2288.0,2712.924103737262,-162207.98139108642,8832.900024109917,30.02333042396786,-94.42812858079031,28979.0,0.8106,479.81,507.0,86.02,78.03,63513.0
2372.0,23543.45654156657,-160759.98001868505,9051.153069821226,30.03612250610723,-94.2117545687769,29695.0,0.813,479.76,7.0,86.77,65.42,63448.0
2457.0,44422.02942434827,-159582.22098715458,9054.196193290678,30.04611794546243,-93.99483711050786,29705.0,0.8135,480.05,-493.0,86.87,53.79,63394.0
2542.0,65345.775337934334,-158436.73404721418,8842.026875797805,30.055454278544815,-93.7774087685293,29009.0,0.8121,480.61,-993.0,86.3,43.38,63350.0
2627.0,86309.69833251344,-157081.0159725449,8414.644942420979,30.066310040673407,-93.5595048421047,27607.0,0.8067,480.3,-1493.0,85.82,34.25,63316.0
