ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-239868.48963579233,162257.43464750677,30.480000011360154,32.9157083737796,-97.02597889408585,100.0,0.3,198.38,2414.0,121.83,125.55,66174.0
71.0,-233801.08175315903,158491.20446232756,898.9759881114588,32.88313374673416,-96.96005798819208,2949.0,0.3493,228.7,2399.0,125.58,121.01,66053.0
142.0,-227093.19019072058,153692.91721046978,1762.3689787666503,32.84137695223679,-96.88708038234807,5782.0,0.359,232.71,2238.0,110.58,117.86,65936.0
212.0,-219227.65045617195,150740.07537404654,2567.6861888793096,32.81639296903666,-96.80222265591058,8424.0,0.3864,248.06,2132.0,95.58,113.35,65822.0
283.0,-210305.22487984842,149868.85694181465,3334.9808468578526,32.810263195752185,-96.70657749559957,10942.0,0.5683,361.49,1632.0,96.79,96.84,65725.0
354.0,-197285.02817842376,148319.343447325,3922.360517097282,32.798689716454604,-96.5669706346966,12869.0,0.5858,369.96,1568.0,111.79,94.33,65631.0
425.0,-184821.4764273824,143337.6184442892,4486.488372443037,32.75601627947527,-96.43267561237057,14719.0,0.6662,417.76,1068.0,120.35,87.69,65543.0
496.0,-171720.90012954775,135666.63014164448,4870.701250654237,32.68911982805364,-96.2912095237637,15980.0,0.718,448.11,688.0,116.86,83.8,65460.0
567.0,-157178.65586522545,128300.82523391786,5118.172934380914,32.62501111750862,-96.13461504651119,16792.0,0.7246,450.79,692.0,120.79,83.03,65377.0
637.0,-143091.50195619307,119906.26657306952,5367.116418177867,32.55140233033236,-95.98294354207859,17609.0,0.7312,453.44,696.0,133.19,82.25,65294.0
708.0,-131065.10516470259,108617.35722232536,5617.558718503137,32.45135087502425,-95.85308584865287,18430.0,0.7378,456.04,700.0,135.36,81.44,65213.0
779.0,-119409.29493338392,96813.38643365186,5869.529201887774,32.34649579564256,-95.72739686536895,19257.0,0.7443,458.58,705.0,142.78,80.64,65132.0
850.0,-109319.49304301121,83529.84720214286,6123.059938346855,32.22806200045333,-95.61848008188056,20089.0,0.7508,461.06,709.0,130.26,79.8,65052.0
921.0,-96521.92701369249,72691.2864719278,6378.186110320595,32.13175258308966,-95.48134645598377,20926.0,0.7572,463.44,714.0,115.26,78.95,64973.0
992.0,-81277.01790240125,65497.40080144071,6634.946502456027,32.06824739502618,-95.31884789503222,21768.0,0.7635,465.73,718.0,100.26,78.08,64895.0
1062.0,-64608.24283630646,62479.574923731605,6893.377956303482,32.042172175275674,-95.14175448360209,22616.0,0.7697,467.89,723.0,93.07,77.19,64818.0
1133.0,-47614.556578002164,61569.55328486157,7153.475047872814,32.03482213872002,-94.96141988659868,23469.0,0.7757,469.91,727.0,94.62,76.27,64742.0
1204.0,-30579.03338143644,60193.93631172566,7415.137723043536,32.023033364496825,-94.78065602669373,24328.0,0.7815,471.75,731.0,109.62,75.33,64667.0
1275.0,-14417.36505287128,54433.74663262226,7678.137601283338,31.9715486823853,-94.60914138864322,25191.0,0.787,473.37,734.0,124.62,74.35,64592.0
1346.0,-248.88634593940736,44653.50598224826,7942.11200881751,31.883683600096724,-94.4589359838533,26057.0,0.7921,474.74,735.0,139.62,73.31,64519.0
1417.0,10937.487413307079,31501.84018731561,8206.593761829256,31.765355825820382,-94.34060769990009,26925.0,0.7968,475.79,415.0,154.62,66.16,64453.0
1487.0,18361.60242599897,15854.99022394482,8356.09642011515,31.62454609452032,-94.26237232313468,27415.0,0.7993,476.31,460.0,144.14,66.4,64386.0
1558.0,28517.58695510375,1805.781915241026,8521.477299250873,31.497992852383,-94.15551701418686,27958.0,0.8019,476.71,185.0,142.54,60.37,64326.0
1629.0,39078.47085806038,-11976.073928812652,8588.203200729286,31.3737424272107,-94.04467443673296,28177.0,0.803,476.96,75.0,137.37,57.94,64268.0
1700.0,50847.268788244,-24760.855095635045,8615.04444920153,31.258312070479533,-93.92136650486572,28265.0,0.8037,477.18,8.0,140.74,56.51,64212.0
1771.0,61850.20401767899,-38224.77884875646,8617.910896410993,31.136698363672192,-93.80644832886007,28274.0,0.8041,477.41,404.0,148.32,64.21,64147.0
1842.0,70976.0720281117,-53013.814926170315,8763.26191081172,31.003182679751127,-93.71161344100274,28751.0,0.806,477.58,288.0,145.3,61.34,64086.0
1912.0,80876.50869934856,-67309.94113107376,8867.061109580018,30.873978002733654,-93.60888783554613,29091.0,0.8074,477.67,-212.0,130.3,51.09,64035.0
1983.0,94159.24219397244,-78573.08341723039,8790.945717434224,30.771700948802142,-93.47076693842341,28842.0,0.8071,478.01,-712.0,120.78,41.58,63993.0
2054.0,109148.70855343813,-87503.06494486002,8534.915451499577,30.690101168710452,-93.31484600603986,28002.0,0.8045,478.2,-1212.0,120.35,32.95,63960.0
2125.0,124227.74244844899,-96330.79084716205,8098.970245943923,30.609224766881535,-93.15824103867737,26571.0,0.7981,477.3,-1712.0,121.71,25.28,63935.0
2196.0,139078.10486967824,-105504.46310826074,7483.110083081266,30.525076642507763,-93.00433233195443,24551.0,0.7864,474.28,-2212.0,128.82,18.59,63916.0
2267.0,152601.3977386477,-116385.30148216693,6687.334968168216,30.425569608931678,-92.86478453262784,21940.0,0.7684,468.4,-2500.0,138.93,16.06,63900.0
2337.0,163866.01463517378,-129312.24031252005,5787.759981528766,30.307832544495497,-92.74937397640977,18989.0,0.7459,460.08,-2500.0,130.6,18.0,63882.0
2408.0,176651.2452416365,-140270.1624110673,4888.184986148699,30.207473383119254,-92.61808642901482,16037.0,0.7223,450.67,-2500.0,115.76,19.79,63863.0
2479.0,191503.22496670255,-147437.68591604423,3988.609986375925,30.14073031981955,-92.46488968848925,13086.0,0.6982,440.61,-2500.0,105.11,21.45,63841.0
2550.0,207065.39848822434,-151640.4581871718,3089.0349848211513,30.100337581279117,-92.30393458821611,10135.0,0.6742,430.18,-2500.0,90.11,22.96,63818.0
2621.0,222800.28485249385,-151671.47887833163,2189.4599827828165,30.097215021115517,-92.14042787875455,7183.0,0.5588,360.39,-2500.0,91.83,10.09,63808.0
2692.0,235965.36424601896,-152091.91691669053,1289.8849956430895,30.09089662398767,-92.00372245507945,4232.0,0.3588,233.86,-2000.0,106.83,11.23,63797.0
2762.0,244127.3731809837,-154560.7073191798,570.2249996849625,30.0670581667833,-91.91949404056359,1871.0,0.1588,104.37,-1500.0,121.83,13.15,63784.0
2833.0,247336.5215881251,-156552.7261812948,30.479999994197257,30.048489999086556,-91.88662999899721,100.0,-0.0412,-27.24,-1000.0,136.83,130.52,63653.0
