ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-586697.020180371,-22348.062043281447,30.4800000151286,32.915692151460156,-97.02596673793153,100.0,0.1573,104.01,914.0,82.64,255.27,66045.0
139.0,-579350.1656320816,-21399.628186705704,677.971552738095,32.928134368795014,-96.94799888077297,2224.0,0.1675,109.96,917.0,97.64,253.9,65791.0
279.0,-571585.7027060131,-22441.718765240767,1327.9987359473653,32.92290155144102,-96.8642985595347,4357.0,0.1875,122.14,1051.0,112.64,251.31,65540.0
418.0,-563561.7621100302,-25789.019433247904,2072.7685154232254,32.897076607691496,-96.77641487044072,6800.0,0.2166,139.88,1232.0,107.88,246.53,65293.0
558.0,-554094.6931278041,-28842.617492498317,2945.793526334451,32.87455717112605,-96.67333337362133,9665.0,0.2668,170.5,1506.0,92.88,237.02,65056.0
697.0,-542001.6341959521,-29450.37512128355,4013.1143012527364,32.87519681269403,-96.54368115586576,13166.0,0.4656,293.73,1709.0,77.88,190.31,64866.0
837.0,-521584.8942844715,-25064.86101388975,5224.147874611217,32.92451488047366,-96.32786581053514,17140.0,0.6656,413.54,1209.0,76.24,169.84,64696.0
976.0,-492933.13312358694,-18050.321500918322,6080.903232496263,33.00082567313214,-96.0250653266404,19950.0,0.7511,461.5,709.0,78.99,157.27,64539.0
1116.0,-460539.08917976747,-11744.828650763,6583.380374924552,33.07164921991569,-95.68126940549911,21599.0,0.7638,466.23,718.0,79.27,153.96,64385.0
1255.0,-427784.6792006139,-5536.573206354964,7092.132626899224,33.140809391754374,-95.33301411314685,23268.0,0.7761,470.53,727.0,79.3,150.5,64234.0
1395.0,-394728.1592150025,712.3191048011687,7606.989395726496,33.20948621189709,-94.98098972098104,24957.0,0.7876,474.21,733.0,79.32,146.77,64087.0
1534.0,-361413.5305346055,6996.072725646144,8126.049603483646,33.2775820140774,-94.62565913658952,26660.0,0.7979,476.98,629.0,79.34,138.86,63948.0
1674.0,-327885.624049112,13307.168554951728,8571.945464860617,33.34498815960296,-94.26749643774164,28123.0,0.8052,478.38,129.0,79.35,116.4,63832.0
1813.0,-294172.2284068306,19645.893049060975,8663.56314200045,33.411675987191074,-93.90679787371998,28424.0,0.8071,478.87,25.0,79.36,111.67,63720.0
1953.0,-260406.51599098058,25991.15692813008,8681.388689357877,33.477402442036905,-93.54499061358975,28482.0,0.808,479.31,32.0,79.36,111.83,63609.0
2092.0,-226610.82844941886,32340.701407898574,8703.890740860319,33.542133479345104,-93.18231932813757,28556.0,0.809,479.75,35.0,79.41,111.79,63497.0
2232.0,-192778.79786764045,38664.72874912201,8728.547447601572,33.605595430739875,-92.81871409587978,28637.0,0.81,480.19,33.0,79.54,111.54,63385.0
2371.0,-158901.33672181176,44918.609263090926,8752.269090004378,33.66738078185512,-92.45407738407313,28715.0,0.8111,480.63,30.0,79.79,111.26,63274.0
2511.0,-124965.51769680252,51031.65103121491,8773.836272272038,33.72684688165822,-92.08827314068733,28786.0,0.812,481.07,26.0,80.29,110.96,63163.0
2650.0,-90945.64543668438,56853.34884701629,8792.084759147969,33.782632728455745,-91.72102962857285,28845.0,0.813,481.51,21.0,81.3,110.65,63052.0
2790.0,-56796.34311813402,62078.27995376784,8807.083964417247,33.83198183415371,-91.35187489311977,28895.0,0.8139,481.95,19.0,83.42,110.49,62942.0
2929.0,-22445.5286098262,66039.188757343,8820.890447348464,33.86887844128818,-90.98008556602348,28940.0,0.8148,482.38,31.0,87.47,110.86,62831.0
3069.0,12128.525770042977,67568.95228025054,8842.610824834679,33.88280318589416,-90.60559575224232,29011.0,0.8158,482.83,48.0,90.0,111.35,62720.0
3208.0,46765.18681334011,67568.95228331997,8876.373665315481,33.881846375397956,-90.23039224858817,29122.0,0.817,483.28,64.0,90.0,111.69,62608.0
3348.0,81431.20002614323,67568.95228347546,8921.760080993483,33.87976205160365,-89.85488419503733,29271.0,0.8182,483.73,58.0,90.0,111.11,62497.0
3487.0,116130.70255366,67568.9522820531,8962.862966602646,33.87654712600937,-89.47903666363504,29406.0,0.8195,484.18,-25.0,90.0,107.7,62389.0
3626.0,150876.68981622835,67568.95227836576,8945.464081920301,33.872196744539494,-89.1027188535052,29349.0,0.82,484.61,-79.0,90.0,105.9,62283.0
3766.0,185663.08992958904,67568.95226881647,8889.266058065985,33.86670773492907,-88.72600656895808,29164.0,0.82,484.99,-72.0,90.0,106.69,62177.0
3905.0,220475.8514355321,67568.95226761953,8838.109863205735,33.860079435757015,-88.34906204333959,28996.0,0.82,485.34,-67.0,90.02,107.36,62069.0
4045.0,255312.74283461817,67557.81027559005,8790.914497061483,33.85221012579727,-87.9719227350123,28842.0,0.82,485.66,-62.0,90.84,107.99,61961.0
4184.0,290168.2050467025,67044.11765777656,8746.937876226064,33.83868377463034,-87.59482190002058,28697.0,0.82,485.96,-58.0,91.5,108.56,61853.0
4324.0,325036.3209430778,66128.30250827683,8705.644440263108,33.82040603773447,-87.2178559236412,28562.0,0.82,486.25,178.0,92.3,117.55,61735.0
4463.0,359867.4362894816,64729.31388407162,8831.573352875748,33.79666790486784,-86.84165203932977,28975.0,0.82,485.39,-284.0,91.85,99.13,61636.0
4603.0,394726.54655744566,63602.2137089112,8630.17882970302,33.77423390121599,-86.46523641712986,28314.0,0.82,486.76,-784.0,91.77,83.06,61553.0
4742.0,429768.2571481199,62521.601478565535,8074.506091421034,33.75101537427089,-86.08702603402868,26491.0,0.8097,484.35,-1284.0,91.73,69.22,61484.0
4882.0,464712.12464117195,61463.78079251841,7164.5551378299815,33.726904962807694,-85.71006897684202,23506.0,0.7887,477.7,-1784.0,91.29,57.43,61426.0
5021.0,499247.27363159717,60687.37026525126,5900.32596892244,33.70437904693637,-85.3375811393545,19358.0,0.7556,465.35,-2284.0,89.95,46.68,61380.0
5161.0,532948.8842578352,60714.07928812436,4281.818584869317,33.68836677891691,-84.97380440413195,14048.0,0.5556,349.31,-2500.0,94.33,18.22,61361.0
5300.0,558154.4993252152,58804.518101476235,2510.4275083550137,33.658400005412496,-84.70303695865364,8236.0,0.3556,228.45,-2000.0,97.64,21.0,61340.0
5440.0,574478.4090091742,56613.639950221135,1093.31464655525,33.63012862483422,-84.52839674901435,3587.0,0.1598,104.38,-1500.0,82.64,25.23,61315.0
