ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-586697.0201515314,-22348.062102371103,30.479999998446104,32.91569215094601,-97.02596673758526,100.0,0.1573,104.01,500.0,82.64,277.94,66022.0
158.0,-578365.6184260825,-21272.52921861577,430.8744944651389,32.929798095439565,-96.93754880123669,1414.0,0.2178,143.39,46.0,97.64,155.25,65867.0
315.0,-566850.4516513294,-22818.012282670687,467.69576032023247,32.92200684569524,-96.81341833452714,1534.0,0.4178,274.93,-0.0,108.98,111.93,65755.0
473.0,-545781.326408102,-30065.4275122606,467.6475826727347,32.86779183025359,-96.58372530038999,1534.0,0.6178,406.53,500.0,93.98,212.46,65542.0
630.0,-512992.8348138699,-32348.062118024474,867.7305182561352,32.8632641797105,-96.2318605695439,2847.0,0.499,326.8,1000.0,89.41,193.64,65349.0
788.0,-486643.95856119297,-32075.015959070493,1667.9446276478195,32.877814589297834,-95.9502480405438,5472.0,0.299,194.0,1500.0,74.41,245.58,65103.0
945.0,-471651.97081777034,-27890.94970554369,2868.289547104152,32.92196660871654,-95.79204939318392,9410.0,0.2133,136.43,1000.0,64.22,275.26,64828.0
1103.0,-461770.2299429481,-23117.329787227896,3668.5042327959854,32.96905367305036,-95.68870800245354,12036.0,0.3611,228.78,1500.0,79.22,226.04,64602.0
1260.0,-443730.676956463,-19681.315890109767,4868.850025018147,33.007417701544775,-95.49720456222853,15974.0,0.5605,349.82,1206.0,94.22,181.64,64420.0
1418.0,-415647.6122689144,-21751.483109637746,5833.693949986988,32.99994970498989,-95.19536969004815,19139.0,0.7457,459.64,706.0,92.36,179.34,64241.0
1575.0,-378570.256238997,-23279.99629034842,6398.40672167892,32.999787749691436,-94.79744765871199,20992.0,0.7603,465.23,309.0,79.96,158.27,64083.0
1733.0,-341506.4162319089,-16714.951739684948,6645.485363235748,33.07105921027616,-94.40271065886176,21803.0,0.7208,439.58,-109.0,64.96,125.56,63957.0
1890.0,-309213.22749911057,-1625.8508604568678,6558.569946186876,33.21633154615946,-94.06146336723818,21518.0,0.7652,467.2,-602.0,60.77,117.1,63840.0
2048.0,-276068.5925396007,16919.186057770712,6076.889645163,33.391967142633455,-93.71099521756778,19937.0,0.5652,347.28,-102.0,75.77,98.13,63742.0
2205.0,-248773.65341805352,23839.971221169388,5995.340422736004,33.460822750497805,-93.41901042283227,19670.0,0.3652,224.62,398.0,60.77,149.38,63592.0
2363.0,-232923.0839843011,32708.658441358355,6313.921974576185,33.54408996689587,-93.25050423353689,20715.0,0.4362,267.19,-60.0,75.61,94.96,63498.0
2521.0,-211942.2420684545,38089.84415984273,6266.216706348398,33.59681085805426,-93.02545109249043,20558.0,0.6362,389.94,440.0,90.59,138.05,63359.0
2678.0,-180417.536800917,37763.934832368475,6618.639193079859,33.599648259327964,-92.68508007173578,21715.0,0.4362,266.11,940.0,105.59,171.22,63188.0
2836.0,-159761.6345668892,31999.698509032296,7371.191274177638,33.551098348196795,-92.46105375482006,24184.0,0.4223,255.05,795.0,108.49,168.62,63020.0
2993.0,-140252.73080693616,25476.55458438569,8007.234090138291,33.495171768865745,-92.24953036064727,26270.0,0.6223,372.6,302.0,93.68,117.14,62902.0
3151.0,-110170.34579038246,23540.822661836148,8249.304772905902,33.481270741004714,-91.92490167656081,27065.0,0.8063,481.2,-197.0,99.37,120.97,62782.0
3308.0,-71652.32955296135,17183.636358318126,8091.259678630457,33.42735999364505,-91.50908861546333,26546.0,0.804,480.87,-162.0,95.81,123.97,62658.0
3466.0,-32848.25007030858,13232.575548320392,7961.735990523026,33.39371212852238,-91.09080555949689,26121.0,0.8021,480.55,-598.0,80.81,106.63,62551.0
3623.0,5720.389149996653,19469.75412001013,7483.140626896806,33.45029048225111,-90.67532269189383,24551.0,0.7636,460.53,-98.0,82.44,124.87,62426.0
3781.0,42737.749745902816,24379.73665354272,7404.674613764708,33.49361211169107,-90.27609918365316,24294.0,0.6745,407.22,402.0,97.44,131.07,62295.0
3938.0,75388.44993528452,20113.42661862897,7726.338113880031,33.453451546952905,-89.92436702018215,25349.0,0.5285,317.65,889.0,112.44,151.21,62144.0
4096.0,99056.20843423,10336.82407683741,8437.87630279493,33.36361699341443,-89.67034673370617,27683.0,0.7285,433.59,420.0,101.08,130.6,62013.0
4253.0,133456.89212112423,3597.054138832775,8774.184297296168,33.2993031641959,-89.30096137596466,28787.0,0.82,485.78,-60.0,107.54,122.24,61891.0
4411.0,171007.68300912326,-8270.339167854168,8725.898904864665,33.18730811954192,-88.8992287377335,28628.0,0.82,486.11,-56.0,103.71,122.92,61768.0
4568.0,209292.49827869702,-17608.75993095892,8680.765536829691,33.09662831160634,-88.49006618904265,28480.0,0.82,486.42,-53.0,104.05,123.53,61644.0
4726.0,247544.08473969682,-27182.633426385295,8638.283585939818,33.002513125121475,-88.0821709153342,28341.0,0.82,486.7,-50.0,92.14,124.1,61520.0
4883.0,286970.841656412,-28657.80782621621,8598.07367428021,32.979549878131856,-87.66002495592711,28209.0,0.82,486.98,403.0,90.15,142.91,61377.0
5041.0,326345.6188168051,-28759.264046068605,8920.783053294646,32.96752053988755,-87.23817196037538,29268.0,0.82,484.78,-22.0,89.81,121.41,61256.0
5199.0,365637.1136493862,-28632.184694516483,8903.300316154306,32.956147947081725,-86.81724147435463,29210.0,0.82,484.89,-522.0,79.73,100.87,61155.0
5356.0,404415.60713943397,-21605.792683781194,8485.686276350572,33.00550084273584,-86.39886485596209,27840.0,0.8199,487.68,-1022.0,64.73,85.91,61069.0
5514.0,440351.5707489693,-4641.825615140832,7667.940879716278,33.1438020906209,-86.00567695180088,25157.0,0.8025,482.77,-1522.0,66.04,72.48,60997.0
5671.0,476381.0273971453,11372.854034117838,6450.064119908286,33.272262667898175,-85.61072932284543,21162.0,0.7716,471.83,-2022.0,68.75,60.81,60936.0
5829.0,512363.87527852546,25369.195379090295,4832.056000251662,33.38134746391654,-85.21625823321372,15853.0,0.7,437.07,-2500.0,55.62,38.39,60898.0
5986.0,541918.2862061824,45590.43266563619,2831.39934179661,33.548233842163604,-84.8862239630098,9289.0,0.5,320.0,-2000.0,67.64,22.2,60875.0
6144.0,566087.2872139429,55530.39706902751,1230.8740115314379,33.62488195347839,-84.61956072157417,4038.0,0.3,195.67,-1500.0,82.64,25.82,60850.0
6301.0,581878.5455058258,57568.952102331445,30.4799999990511,33.634699999225695,-84.44799000041635,100.0,0.1,66.13,-1000.0,97.64,206.23,60643.0
