ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-234873.81283239945,153959.33258821492,30.48000000063294,32.91570862445337,-97.0259784355468,100.0,0.3,198.37,2414.0,121.05,137.98,66162.0
78.0,-228153.4009213599,149913.2963137976,984.9614104078704,32.88072577746664,-96.95301657123608,3232.0,0.3192,208.77,2275.0,112.94,134.58,66027.0
156.0,-220538.2015208265,146690.45014658733,1884.516171313582,32.85327652115684,-96.87073177374802,6183.0,0.3277,212.09,2105.0,127.94,131.33,65896.0
234.0,-213904.50435969993,141519.06422828868,2716.7949731944896,32.808071211606645,-96.79855230250884,8913.0,0.3443,220.67,1989.0,142.94,127.35,65769.0
311.0,-208624.8868266365,134528.36007391574,3503.1843146316455,32.74621913055199,-96.74051807364918,11493.0,0.381,241.86,1940.0,157.94,121.51,65647.0
389.0,-205015.3970220114,125622.0300491768,4270.530259886997,32.66681616539955,-96.6999878484005,14011.0,0.4542,285.6,1907.0,172.94,112.74,65535.0
467.0,-203619.0360882348,114349.42848020556,5024.7694270130605,32.565730212310136,-96.68263668645383,16485.0,0.6267,390.32,1407.0,160.78,97.85,65437.0
545.0,-198495.0366983232,99651.03179530545,5581.281049482235,32.43450293162143,-96.62488793044157,18311.0,0.7116,440.06,907.0,157.04,91.12,65346.0
623.0,-191638.3783135235,83464.77343043333,5940.064656989187,32.29016477986582,-96.54858264532008,19488.0,0.7457,459.01,706.0,156.6,88.4,65257.0
701.0,-184353.60305679095,66626.68147608517,6219.068583597252,32.13998722841762,-96.46785540311461,20404.0,0.7527,461.67,710.0,156.61,87.36,65170.0
778.0,-177029.43681740842,49689.968833891595,6500.021767952671,31.98887510348635,-96.38696556035143,21326.0,0.7597,464.23,716.0,156.59,86.35,65083.0
856.0,-169658.4713354343,32662.730277289273,6782.978013256611,31.836901884738662,-96.30583836028029,22254.0,0.7665,466.65,721.0,156.62,85.28,64998.0
934.0,-162257.21325738,15543.789902414039,7067.972087310719,31.68405413472662,-96.22465041428386,23189.0,0.7732,468.9,726.0,156.65,84.19,64914.0
1012.0,-154829.40176781805,-1661.1934737156682,7354.942504969526,31.530382043264627,-96.14344358075734,24130.0,0.7796,470.95,730.0,156.77,83.05,64831.0
1090.0,-147407.32855206786,-18957.217742329532,7643.664664112458,31.37583645854394,-96.06255837534597,25078.0,0.7856,472.75,733.0,156.86,81.86,64749.0
1168.0,-139981.81855788035,-36329.36080119688,7933.726581912326,31.220553223746222,-95.98189998828555,26029.0,0.7912,474.23,735.0,156.91,80.63,64668.0
1246.0,-132550.44906098454,-53763.1061218228,8224.561123793159,31.064663529372353,-95.90144455076417,26983.0,0.7962,475.33,235.0,156.96,68.79,64600.0
1323.0,-125105.72266623491,-71269.19760523828,8317.67240359221,30.90807191190475,-95.8211115445647,27289.0,0.798,475.74,-265.0,157.07,57.5,64542.0
1401.0,-117677.88138446126,-88828.59761121096,8213.059084677381,30.75094671268265,-95.74121964276542,26946.0,0.7968,475.74,-765.0,157.45,47.01,64495.0
1479.0,-110358.3005115447,-106459.12074219286,7910.72224974562,30.593119964068315,-95.66271946114102,25954.0,0.7921,474.93,-767.0,155.97,48.37,64447.0
1557.0,-102596.67782728058,-123863.67679402829,7607.221279381422,30.437313780087585,-95.57989509824561,24958.0,0.7867,473.64,-267.0,140.97,60.73,64386.0
1635.0,-90642.45453055094,-138607.67947482545,7501.446015650447,30.305706194390346,-95.45391926522808,24611.0,0.7849,473.21,233.0,125.97,72.0,64314.0
1713.0,-75314.020934847,-149730.2874070145,7593.397317804008,30.206758542584165,-95.29345477264994,24913.0,0.787,473.93,733.0,110.97,81.98,64232.0
1790.0,-57628.12700009716,-156507.0029153275,7883.0743084041405,30.146808045851056,-95.10905485203646,25863.0,0.793,475.61,734.0,95.97,80.74,64151.0
1868.0,-38724.543210550946,-158482.2980796676,8173.245854580833,30.129811906587495,-94.9124069245602,26815.0,0.7984,476.94,733.0,90.0,79.42,64072.0
