ts,x,y,h,latitude,longitude,altitude,mach,tas,vertical_rate,heading,fuel,mass
0.0,-234873.81272831274,153959.3326838191,30.480000292121453,32.91570862533451,-97.02597843445628,100.0,0.3,198.38,2414.0,121.05,123.16,66177.0
69.0,-228871.7006339145,150345.75029478353,882.4355844441216,32.884466879846364,-96.96081222736744,2895.0,0.4242,277.78,2437.0,106.05,114.16,66063.0
139.0,-219412.6896113983,147624.4658517644,1742.6249161687463,32.86189302914943,-96.85890641073094,5717.0,0.4831,313.21,2148.0,103.88,106.97,65956.0
208.0,-208617.0926289813,144957.69273880328,2500.8173424489214,32.83997669962659,-96.74276221770891,8205.0,0.563,361.76,1648.0,118.88,97.92,65858.0
278.0,-197344.3514447291,138741.05253487383,3082.5212297850558,32.78612521118438,-96.62082079466205,10113.0,0.6254,399.08,1148.0,133.88,90.9,65767.0
347.0,-187090.8512275221,128882.27554693303,3487.736578171329,32.699243295691446,-96.5091940039808,11443.0,0.6319,401.19,1173.0,148.88,89.92,65677.0
417.0,-179700.10461510133,116642.2547865158,3901.668918988006,32.590401058207554,-96.42788880056816,12801.0,0.6925,437.45,673.0,163.88,85.03,65592.0
486.0,-175364.3073307504,101644.44893839752,4139.112720933615,32.456241436159345,-96.3788355860942,13580.0,0.6989,440.18,676.0,177.54,84.33,65508.0
556.0,-174690.56238078128,85949.79810946883,4377.882825786828,32.31523879189762,-96.36877146069756,14363.0,0.7053,442.89,680.0,162.82,83.64,65424.0
625.0,-170022.84429929144,70848.90280438587,4617.9978956536825,32.18017653597959,-96.3164226249468,15151.0,0.7117,445.6,684.0,159.88,82.93,65341.0
695.0,-164551.49398509972,55917.8021781908,4859.477857662718,32.046733864138766,-96.25573851247377,15943.0,0.7182,448.28,688.0,157.52,82.21,65259.0
764.0,-158433.75613757508,41136.42835647528,5102.344089096851,31.914696395846892,-96.18841378309702,16740.0,0.7247,450.93,692.0,144.47,81.47,65177.0
834.0,-149083.49590892936,28040.002348478716,5346.619605168169,31.79819600141618,-96.08735024890285,17541.0,0.7312,453.55,696.0,141.33,80.71,65097.0
903.0,-138971.74914865204,15402.71390833954,5592.329277343925,31.685834254618438,-95.97856362011373,18348.0,0.7376,456.12,700.0,136.73,79.94,65017.0
973.0,-127814.95894208463,3551.7421516449836,5839.500089533384,31.58056481327282,-95.8591155403669,19158.0,0.7441,458.64,704.0,121.73,79.15,64938.0
1042.0,-113894.85081129099,-5054.953261653876,6088.161439050462,31.50463099683801,-95.71117847977462,19974.0,0.7505,461.1,709.0,106.73,78.37,64859.0
1112.0,-98137.88044211053,-9790.719925369403,6338.345494250652,31.463491658289634,-95.54450955390372,20795.0,0.7569,463.48,713.0,93.48,77.54,64782.0
1181.0,-81630.61101308161,-10794.618064730326,6590.087622260969,31.455747997232724,-95.37038947072199,21621.0,0.7631,465.76,718.0,91.9,76.72,64705.0
1251.0,-65020.79332921103,-11345.406694036928,6843.422610938865,31.45184872943111,-95.19524750359042,22452.0,0.7693,467.94,722.0,89.0,75.86,64629.0
1320.0,-48327.191986776204,-11053.801134528698,7098.349743562177,31.455289816783516,-95.01927863121081,23289.0,0.7753,469.98,726.0,75.31,74.97,64554.0
1390.0,-32106.742195048686,-6801.415077129424,7354.781960333919,31.494096700184674,-94.84841462213346,24130.0,0.7811,471.86,730.0,85.69,74.07,64480.0
1459.0,-15319.103812905481,-5534.911402090915,7612.510052024492,31.505831504083766,-94.67137816107198,24975.0,0.7866,473.54,733.0,92.52,73.13,64407.0
1529.0,1559.7796570977202,-6278.309301588201,7871.190560939964,31.499246720290277,-94.4933385324233,25824.0,0.7918,475.0,666.0,106.37,70.9,64336.0
1598.0,17822.906660382272,-11054.935500786227,8106.111666250198,31.456152875542397,-94.32189129328681,26595.0,0.7962,476.1,734.0,121.37,71.2,64265.0
1668.0,32326.119203285245,-19896.615388875725,8365.27696621919,31.376323601679363,-94.16928049566503,27445.0,0.8005,476.97,732.0,129.23,70.12,64195.0
1737.0,45508.6085871991,-30657.573595094815,8623.51976355261,31.279106355022687,-94.03091700892834,28292.0,0.8042,477.45,447.0,123.56,63.77,64131.0
1807.0,59713.6038352934,-40081.86099446144,8781.24327328695,31.19370981958455,-93.88201029476795,28810.0,0.8063,477.6,201.0,137.3,58.44,64072.0
1876.0,71285.75617526633,-52621.34009065624,8852.350063936768,31.080291999106905,-93.76124792617615,29043.0,0.8073,477.73,-299.0,146.39,48.5,64024.0
1946.0,80745.74423780052,-66853.14456572413,8746.968316722789,30.951691839541883,-93.66306030430412,28697.0,0.8067,478.07,-799.0,135.31,39.3,63985.0
2015.0,92785.90394933653,-79024.64848989193,8465.098030909112,30.841344051778496,-93.53792770213954,27773.0,0.8036,478.13,-1299.0,120.31,30.97,63954.0
2085.0,107582.37975819773,-87674.75837174103,8006.739206335027,30.762292469862548,-93.38387407617502,26269.0,0.7965,476.95,-1799.0,108.31,23.57,63930.0
2154.0,123826.80411857768,-93051.53925950486,7371.891842964587,30.712340408360426,-93.21453583332226,24186.0,0.7841,473.56,-2299.0,107.92,17.16,63913.0
2223.0,140002.48355254697,-98283.61969506102,6560.5559408390645,30.66347610194818,-93.04607284862158,21524.0,0.7654,467.31,-2500.0,107.06,16.03,63897.0
